"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CABRA"	"CREO"	"BIEN"	"WINAQ"	"FUERZA"	"SEMILLA"	"CONVERGENCIA"	"UNE"	"VIVA"	"UNIDOS"	"UNIONISTA"	"URNG_MAIZ"	"VAMOS"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18031"	"4"	"17"	"10"	"2"	"380"	"61"	"42"	"10"	"1"	"11"	"0"	"1"	"67"	"0"	"3"	"1"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"22"	"6"	"0"	"232"	"232"	"1"	"0"
"18032"	"4"	"17"	"10"	"2"	"376"	"78"	"32"	"5"	"2"	"7"	"1"	"1"	"50"	"2"	"2"	"0"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"17"	"6"	"0"	"211"	"211"	"1"	"0"
"18033"	"4"	"17"	"10"	"2"	"377"	"79"	"40"	"4"	"2"	"4"	"2"	"0"	"45"	"2"	"0"	"0"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"185"	"185"	"17"	"9"	"0"	"211"	"211"	"1"	"0"
"18034"	"4"	"17"	"10"	"2"	"276"	"75"	"34"	"1"	"2"	"6"	"1"	"0"	"37"	"1"	"6"	"0"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"172"	"172"	"12"	"2"	"0"	"186"	"186"	"1"	"0"
"18035"	"4"	"17"	"10"	"2"	"275"	"84"	"28"	"2"	"2"	"5"	"1"	"0"	"34"	"1"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"160"	"160"	"9"	"3"	"0"	"172"	"172"	"1"	"0"
"18036"	"4"	"17"	"10"	"2"	"380"	"73"	"33"	"1"	"0"	"6"	"4"	"2"	"48"	"6"	"0"	"3"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"182"	"24"	"7"	"31"	"213"	"213"	"1"	"0"
"18037"	"4"	"17"	"10"	"2"	"380"	"78"	"32"	"5"	"4"	"6"	"4"	"1"	"49"	"9"	"0"	"0"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"22"	"14"	"36"	"232"	"232"	"1"	"0"
"18038"	"4"	"17"	"10"	"2"	"380"	"77"	"26"	"2"	"3"	"9"	"3"	"1"	"62"	"2"	"3"	"1"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"26"	"5"	"31"	"227"	"227"	"1"	"0"
"18039"	"4"	"17"	"10"	"2"	"380"	"66"	"38"	"0"	"1"	"10"	"3"	"0"	"44"	"6"	"1"	"0"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"175"	"175"	"26"	"4"	"30"	"205"	"205"	"1"	"0"
"18040"	"4"	"17"	"10"	"2"	"380"	"63"	"25"	"7"	"1"	"12"	"5"	"0"	"40"	"9"	"2"	"1"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"173"	"173"	"37"	"9"	"46"	"219"	"219"	"1"	"0"
