"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"FCN_NACION"	"TODOS"	"UCN"	"UNE"	"CONVERGENCIA"	"VAMOS"	"FUERZA"	"UNIONISTA"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"13274"	"4"	"13"	"5"	"2"	"380"	"130"	"0"	"27"	"4"	"108"	"27"	"5"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"308"	"308"	"2"	"6"	"0"	"316"	"316"	"1"	"0"
"13275"	"4"	"13"	"5"	"2"	"380"	"111"	"1"	"26"	"4"	"114"	"39"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"303"	"303"	"4"	"2"	"0"	"309"	"309"	"1"	"0"
"13276"	"4"	"13"	"5"	"2"	"380"	"94"	"0"	"20"	"3"	"115"	"40"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"7"	"1"	"0"	"287"	"287"	"1"	"0"
"13277"	"4"	"13"	"5"	"2"	"338"	"95"	"0"	"21"	"2"	"127"	"47"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"298"	"298"	"3"	"0"	"0"	"301"	"301"	"1"	"0"
"13278"	"4"	"13"	"5"	"2"	"338"	"88"	"0"	"17"	"6"	"120"	"33"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"3"	"3"	"0"	"274"	"274"	"1"	"0"
"13279"	"4"	"13"	"5"	"2"	"380"	"80"	"3"	"33"	"3"	"125"	"44"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"302"	"291"	"3"	"8"	"0"	"302"	"302"	"0"	"0"
"13280"	"4"	"13"	"5"	"2"	"380"	"84"	"0"	"25"	"3"	"138"	"34"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"4"	"7"	"0"	"297"	"297"	"1"	"0"
"13281"	"4"	"13"	"5"	"2"	"380"	"74"	"0"	"21"	"4"	"147"	"51"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"300"	"300"	"4"	"5"	"0"	"309"	"309"	"1"	"0"
"13282"	"4"	"13"	"5"	"2"	"380"	"79"	"0"	"27"	"3"	"100"	"77"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"293"	"293"	"6"	"1"	"0"	"300"	"300"	"1"	"0"
"13283"	"4"	"13"	"5"	"2"	"380"	"77"	"3"	"21"	"1"	"121"	"55"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"2"	"4"	"0"	"286"	"286"	"1"	"0"
"13284"	"4"	"13"	"5"	"2"	"380"	"104"	"1"	"31"	"2"	"111"	"18"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"5"	"6"	"0"	"284"	"284"	"1"	"0"
"13285"	"4"	"13"	"5"	"2"	"380"	"96"	"3"	"30"	"1"	"90"	"41"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"1"	"3"	"0"	"268"	"268"	"1"	"0"
"13286"	"4"	"13"	"5"	"2"	"380"	"99"	"2"	"25"	"3"	"99"	"31"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"6"	"7"	"1"	"277"	"277"	"1"	"0"
"13287"	"4"	"13"	"5"	"2"	"380"	"102"	"2"	"15"	"4"	"118"	"35"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"6"	"3"	"0"	"287"	"287"	"1"	"0"
"13288"	"4"	"13"	"5"	"2"	"0"	"69"	"2"	"22"	"2"	"138"	"53"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"289"	"4"	"1"	"0"	"294"	"294"	"1"	"0"
"13289"	"4"	"13"	"5"	"2"	"195"	"50"	"1"	"8"	"3"	"66"	"26"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"155"	"155"	"1"	"1"	"0"	"157"	"157"	"1"	"0"
"13290"	"4"	"13"	"5"	"2"	"195"	"41"	"1"	"11"	"5"	"70"	"22"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"152"	"152"	"3"	"4"	"0"	"159"	"159"	"1"	"1"
"13291"	"4"	"13"	"5"	"2"	"509"	"18"	"2"	"27"	"20"	"29"	"18"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"121"	"121"	"3"	"5"	"0"	"129"	"129"	"1"	"0"
