"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"BIEN"	"FCN_NACION"	"LIBRE"	"FUERZA"	"SEMILLA"	"VICTORIA"	"UCN"	"UNE"	"VAMOS"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"11726"	"4"	"12"	"5"	"2"	"400"	"145"	"94"	"6"	"1"	"0"	"0"	"0"	"7"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"9"	"7"	"0"	"277"	"277"	"1"	"0"
"11727"	"4"	"12"	"5"	"2"	"392"	"140"	"99"	"5"	"0"	"1"	"1"	"0"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"7"	"2"	"0"	"263"	"263"	"1"	"0"
"11728"	"4"	"12"	"5"	"2"	"391"	"143"	"92"	"4"	"1"	"0"	"0"	"0"	"6"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"9"	"2"	"0"	"264"	"264"	"1"	"0"
"11729"	"4"	"12"	"5"	"2"	"303"	"81"	"57"	"32"	"1"	"0"	"2"	"0"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"179"	"21"	"15"	"3"	"215"	"215"	"1"	"0"
"11730"	"4"	"12"	"5"	"2"	"303"	"90"	"60"	"34"	"2"	"0"	"1"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"13"	"6"	"0"	"211"	"211"	"1"	"0"
"11731"	"4"	"12"	"5"	"2"	"380"	"96"	"120"	"8"	"4"	"2"	"0"	"1"	"10"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"22"	"9"	"0"	"280"	"280"	"1"	"0"
"11732"	"4"	"12"	"5"	"2"	"380"	"98"	"118"	"8"	"3"	"0"	"1"	"0"	"6"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"22"	"11"	"0"	"380"	"282"	"0"	"0"
"11733"	"4"	"12"	"5"	"2"	"374"	"114"	"91"	"18"	"6"	"0"	"0"	"1"	"9"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"25"	"17"	"0"	"289"	"289"	"1"	"0"
"11734"	"4"	"12"	"5"	"2"	"380"	"101"	"110"	"9"	"1"	"0"	"0"	"0"	"5"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"23"	"8"	"0"	"264"	"264"	"1"	"1"
"11735"	"4"	"12"	"5"	"2"	"377"	"98"	"101"	"5"	"1"	"1"	"0"	"1"	"10"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"19"	"8"	"0"	"262"	"262"	"1"	"0"
"11736"	"4"	"12"	"5"	"2"	"380"	"108"	"96"	"18"	"3"	"0"	"0"	"1"	"4"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"239"	"12"	"7"	"0"	"239"	"258"	"0"	"0"
"11737"	"4"	"12"	"5"	"2"	"242"	"72"	"39"	"7"	"0"	"0"	"0"	"0"	"4"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"127"	"127"	"6"	"5"	"0"	"138"	"138"	"1"	"0"
"11738"	"4"	"12"	"5"	"2"	"241"	"79"	"68"	"5"	"0"	"0"	"0"	"0"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"161"	"161"	"4"	"2"	"0"	"167"	"167"	"1"	"0"
