"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"MANOS"	"VAMOS"	"VALOR"	"VICTORIA"	"EG"	"FCN_NACION"	"UCN"	"UNE"	"PHG"	"PC"	"CREO"	"MLP"	"TODOS"	"PAN"	"LIBRE"	"BIEN"	"AVANZA"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18661"	"4"	"18"	"4"	"2"	"377"	"2"	"8"	"19"	"2"	"15"	"4"	"6"	"47"	"5"	"3"	"0"	"1"	"11"	"83"	"0"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"4"	"3"	"0"	"220"	"220"	"1"	"0"
"18662"	"4"	"18"	"4"	"2"	"376"	"0"	"6"	"17"	"2"	"12"	"1"	"7"	"64"	"3"	"4"	"0"	"5"	"15"	"54"	"3"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"11"	"10"	"0"	"221"	"221"	"1"	"0"
"18663"	"4"	"18"	"4"	"2"	"380"	"2"	"8"	"11"	"3"	"15"	"2"	"6"	"45"	"2"	"2"	"1"	"4"	"9"	"54"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"167"	"167"	"11"	"7"	"18"	"185"	"185"	"1"	"0"
"18664"	"4"	"18"	"4"	"2"	"221"	"0"	"2"	"14"	"1"	"14"	"4"	"5"	"32"	"10"	"1"	"1"	"2"	"3"	"35"	"4"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"133"	"133"	"1"	"1"	"0"	"135"	"135"	"1"	"0"
"18665"	"4"	"18"	"4"	"2"	"220"	"0"	"2"	"13"	"0"	"9"	"0"	"9"	"27"	"3"	"2"	"0"	"1"	"4"	"44"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"118"	"118"	"10"	"3"	"0"	"132"	"131"	"0"	"1"
"18666"	"4"	"18"	"4"	"2"	"376"	"0"	"1"	"24"	"1"	"25"	"1"	"5"	"56"	"0"	"13"	"2"	"42"	"5"	"25"	"2"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"211"	"16"	"8"	"0"	"233"	"235"	"0"	"0"
"18667"	"4"	"18"	"4"	"2"	"380"	"2"	"3"	"20"	"7"	"16"	"1"	"8"	"54"	"4"	"9"	"1"	"56"	"6"	"23"	"0"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"17"	"12"	"0"	"246"	"246"	"1"	"0"
"18668"	"4"	"18"	"4"	"2"	"376"	"4"	"1"	"17"	"8"	"21"	"3"	"8"	"41"	"5"	"8"	"1"	"43"	"3"	"27"	"2"	"6"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"23"	"5"	"1"	"231"	"231"	"1"	"0"
"18669"	"4"	"18"	"4"	"2"	"376"	"1"	"2"	"20"	"7"	"14"	"3"	"3"	"43"	"6"	"12"	"3"	"43"	"6"	"25"	"6"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"15"	"6"	"0"	"224"	"224"	"1"	"0"
"18670"	"4"	"18"	"4"	"2"	"376"	"1"	"6"	"22"	"1"	"18"	"2"	"5"	"43"	"4"	"9"	"2"	"39"	"9"	"47"	"1"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"10"	"4"	"0"	"231"	"231"	"1"	"0"
"18671"	"4"	"18"	"4"	"2"	"380"	"2"	"4"	"25"	"1"	"27"	"1"	"5"	"38"	"2"	"8"	"0"	"31"	"6"	"23"	"2"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"182"	"12"	"3"	"0"	"197"	"197"	"1"	"0"
"18672"	"4"	"18"	"4"	"2"	"380"	"0"	"6"	"23"	"1"	"25"	"3"	"5"	"36"	"7"	"19"	"5"	"28"	"9"	"31"	"3"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"5"	"4"	"0"	"219"	"219"	"1"	"0"
"18673"	"4"	"18"	"4"	"2"	"376"	"2"	"8"	"18"	"3"	"28"	"4"	"4"	"45"	"9"	"6"	"3"	"34"	"3"	"28"	"0"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"14"	"7"	"0"	"225"	"225"	"1"	"0"
"18674"	"4"	"18"	"4"	"2"	"372"	"0"	"2"	"15"	"5"	"0"	"1"	"6"	"46"	"6"	"5"	"1"	"29"	"9"	"27"	"4"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"161"	"15"	"4"	"0"	"201"	"180"	"0"	"0"
"18675"	"4"	"18"	"4"	"2"	"340"	"1"	"1"	"25"	"4"	"19"	"1"	"2"	"46"	"7"	"6"	"2"	"16"	"5"	"27"	"2"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"170"	"170"	"10"	"4"	"0"	"184"	"184"	"1"	"0"
"18676"	"4"	"18"	"4"	"2"	"340"	"0"	"3"	"33"	"4"	"32"	"5"	"6"	"42"	"6"	"6"	"2"	"26"	"8"	"21"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"3"	"3"	"0"	"204"	"204"	"1"	"0"
"18677"	"4"	"18"	"4"	"2"	"380"	"2"	"3"	"19"	"12"	"0"	"4"	"3"	"65"	"6"	"2"	"9"	"6"	"3"	"33"	"5"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"13"	"13"	"0"	"204"	"204"	"1"	"0"
"18678"	"4"	"18"	"4"	"2"	"380"	"1"	"8"	"17"	"13"	"3"	"0"	"2"	"54"	"3"	"0"	"10"	"4"	"5"	"43"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"172"	"172"	"21"	"7"	"0"	"200"	"200"	"1"	"0"
"18679"	"4"	"18"	"4"	"2"	"376"	"2"	"10"	"17"	"16"	"11"	"2"	"4"	"60"	"3"	"0"	"30"	"7"	"7"	"24"	"0"	"10"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"15"	"5"	"0"	"228"	"228"	"1"	"0"
