"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"BIEN"	"UNE"	"UCN"	"TODOS"	"VAMOS"	"VALOR"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18974"	"4"	"19"	"4"	"2"	"400"	"23"	"62"	"164"	"21"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"17"	"2"	"0"	"296"	"296"	"1"	"0"
"18975"	"4"	"19"	"4"	"2"	"400"	"29"	"64"	"166"	"20"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"17"	"3"	"0"	"301"	"301"	"1"	"0"
"18976"	"4"	"19"	"4"	"2"	"400"	"24"	"64"	"171"	"17"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"14"	"3"	"0"	"304"	"304"	"1"	"0"
"18977"	"4"	"19"	"4"	"2"	"400"	"17"	"82"	"163"	"21"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"16"	"4"	"0"	"306"	"306"	"1"	"0"
"18978"	"4"	"19"	"4"	"2"	"401"	"17"	"76"	"156"	"20"	"9"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"8"	"4"	"0"	"293"	"293"	"1"	"0"
"18979"	"4"	"19"	"4"	"2"	"400"	"23"	"54"	"163"	"16"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"13"	"4"	"1"	"279"	"279"	"1"	"0"
"18980"	"4"	"19"	"4"	"2"	"400"	"10"	"76"	"140"	"17"	"7"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"29"	"4"	"0"	"287"	"287"	"1"	"0"
"18981"	"4"	"19"	"4"	"2"	"403"	"11"	"64"	"152"	"18"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"24"	"2"	"0"	"276"	"276"	"1"	"0"
"18982"	"4"	"19"	"4"	"2"	"400"	"11"	"57"	"176"	"15"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"22"	"3"	"0"	"287"	"287"	"1"	"1"
"18983"	"4"	"19"	"4"	"2"	"400"	"17"	"51"	"185"	"16"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"24"	"4"	"0"	"301"	"301"	"1"	"0"
"18984"	"4"	"19"	"4"	"2"	"400"	"13"	"59"	"161"	"24"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"11"	"3"	"0"	"279"	"279"	"1"	"2"
"18985"	"4"	"19"	"4"	"2"	"401"	"11"	"58"	"152"	"18"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"25"	"7"	"0"	"276"	"276"	"1"	"0"
"18986"	"4"	"19"	"4"	"2"	"400"	"12"	"72"	"136"	"15"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"19"	"3"	"0"	"263"	"263"	"1"	"0"
"18987"	"4"	"19"	"4"	"2"	"400"	"10"	"58"	"183"	"19"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"16"	"2"	"0"	"291"	"291"	"1"	"0"
