"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"EL_MAGUEY"	"UCN"	"PC"	"LIBRE"	"UNE"	"SEMILLA"	"BIEN"	"EG"	"CONVERGENCIA"	"UNIDOS"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"19433"	"4"	"20"	"4"	"2"	"376"	"6"	"42"	"34"	"63"	"15"	"66"	"4"	"10"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"19"	"8"	"0"	"272"	"272"	"1"	"0"
"19434"	"4"	"20"	"4"	"2"	"375"	"16"	"44"	"41"	"33"	"3"	"33"	"13"	"38"	"2"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"21"	"12"	"0"	"261"	"261"	"1"	"0"
"19435"	"4"	"20"	"4"	"2"	"376"	"6"	"30"	"29"	"36"	"2"	"50"	"5"	"35"	"1"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"199"	"25"	"8"	"2"	"231"	"232"	"0"	"0"
"19436"	"4"	"20"	"4"	"2"	"380"	"7"	"29"	"34"	"41"	"6"	"47"	"11"	"26"	"1"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"23"	"9"	"0"	"239"	"239"	"1"	"0"
"19437"	"4"	"20"	"4"	"2"	"211"	"6"	"22"	"21"	"27"	"3"	"32"	"0"	"13"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"131"	"131"	"3"	"5"	"0"	"139"	"139"	"1"	"0"
"19438"	"4"	"20"	"4"	"2"	"211"	"9"	"26"	"30"	"15"	"5"	"39"	"3"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"134"	"134"	"12"	"0"	"0"	"146"	"146"	"1"	"0"
"19439"	"4"	"20"	"4"	"2"	"396"	"13"	"89"	"45"	"32"	"0"	"102"	"3"	"4"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"29"	"7"	"0"	"327"	"327"	"1"	"0"
"19440"	"4"	"20"	"4"	"2"	"396"	"16"	"31"	"76"	"36"	"0"	"42"	"1"	"7"	"0"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"36"	"10"	"0"	"262"	"262"	"1"	"0"
"19441"	"4"	"20"	"4"	"2"	"414"	"12"	"62"	"43"	"38"	"2"	"67"	"2"	"10"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"14"	"3"	"0"	"255"	"255"	"1"	"0"
"19442"	"4"	"20"	"4"	"2"	"400"	"20"	"47"	"49"	"26"	"0"	"89"	"4"	"6"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"23"	"11"	"0"	"276"	"276"	"1"	"0"
"19443"	"4"	"20"	"4"	"2"	"396"	"25"	"73"	"36"	"54"	"4"	"33"	"7"	"13"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"249"	"29"	"3"	"0"	"286"	"281"	"0"	"0"
"19444"	"4"	"20"	"4"	"2"	"400"	"23"	"40"	"52"	"33"	"1"	"59"	"4"	"9"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"19"	"4"	"0"	"249"	"249"	"1"	"0"
"19445"	"4"	"20"	"4"	"2"	"400"	"12"	"43"	"50"	"37"	"1"	"57"	"4"	"8"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"28"	"12"	"0"	"256"	"256"	"1"	"0"
"19446"	"4"	"20"	"4"	"2"	"231"	"5"	"55"	"29"	"17"	"2"	"33"	"9"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"153"	"153"	"10"	"5"	"0"	"168"	"168"	"1"	"0"
"19447"	"4"	"20"	"4"	"2"	"231"	"11"	"27"	"27"	"22"	"0"	"36"	"9"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"135"	"135"	"11"	"7"	"0"	"153"	"153"	"1"	"0"
"19448"	"4"	"20"	"4"	"2"	"391"	"10"	"18"	"45"	"57"	"0"	"57"	"1"	"6"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"26"	"16"	"0"	"238"	"238"	"1"	"0"
"19449"	"4"	"20"	"4"	"2"	"396"	"10"	"17"	"40"	"46"	"0"	"73"	"0"	"7"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"31"	"9"	"0"	"236"	"236"	"1"	"0"
"19450"	"4"	"20"	"4"	"2"	"267"	"6"	"34"	"85"	"17"	"0"	"73"	"1"	"12"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"232"	"27"	"11"	"0"	"267"	"270"	"0"	"0"
"19451"	"4"	"20"	"4"	"2"	"396"	"7"	"27"	"64"	"103"	"0"	"96"	"1"	"2"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"304"	"304"	"12"	"7"	"0"	"323"	"323"	"1"	"0"
"19452"	"4"	"20"	"4"	"2"	"396"	"15"	"51"	"49"	"93"	"1"	"72"	"0"	"7"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"0"	"5"	"12"	"307"	"295"	"0"	"0"
