"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VIVA"	"VICTORIA"	"WINAQ"	"PC"	"PODEMOS"	"VAMOS"	"VALOR"	"FUERZA"	"LIBRE"	"CREO"	"TODOS"	"SEMILLA"	"PPT"	"FCN_NACION"	"UCN"	"UNIONISTA"	"URNG_MAIZ"	"CONVERGENCIA"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"16928"	"4"	"16"	"9"	"2"	"380"	"29"	"14"	"133"	"1"	"3"	"10"	"1"	"3"	"0"	"4"	"0"	"1"	"0"	"0"	"17"	"2"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"44"	"12"	"0"	"276"	"276"	"1"	"0"
"16929"	"4"	"16"	"9"	"2"	"380"	"31"	"14"	"156"	"4"	"5"	"7"	"1"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"24"	"3"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"31"	"12"	"0"	"296"	"296"	"1"	"0"
"16930"	"4"	"16"	"9"	"2"	"377"	"16"	"21"	"165"	"4"	"4"	"3"	"2"	"0"	"1"	"2"	"0"	"0"	"1"	"1"	"11"	"3"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"36"	"8"	"0"	"280"	"280"	"1"	"0"
"16931"	"4"	"16"	"9"	"2"	"376"	"25"	"24"	"153"	"0"	"0"	"8"	"3"	"1"	"2"	"1"	"0"	"1"	"0"	"2"	"11"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"233"	"27"	"9"	"4"	"280"	"269"	"0"	"0"
"16932"	"4"	"16"	"9"	"2"	"377"	"23"	"18"	"39"	"4"	"6"	"6"	"1"	"4"	"1"	"1"	"0"	"0"	"0"	"0"	"11"	"3"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"118"	"34"	"15"	"0"	"272"	"167"	"0"	"0"
"16933"	"4"	"16"	"9"	"2"	"380"	"21"	"26"	"146"	"3"	"1"	"12"	"2"	"4"	"4"	"1"	"2"	"0"	"1"	"0"	"10"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"48"	"15"	"0"	"300"	"300"	"1"	"0"
"16934"	"4"	"16"	"9"	"2"	"380"	"17"	"23"	"154"	"2"	"3"	"14"	"3"	"1"	"2"	"2"	"1"	"0"	"0"	"0"	"11"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"24"	"10"	"0"	"270"	"270"	"1"	"0"
"16935"	"4"	"16"	"9"	"2"	"377"	"14"	"11"	"142"	"3"	"8"	"4"	"2"	"1"	"3"	"2"	"0"	"0"	"0"	"0"	"14"	"2"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"37"	"4"	"0"	"250"	"250"	"1"	"0"
"16936"	"4"	"16"	"9"	"2"	"377"	"22"	"39"	"149"	"2"	"7"	"7"	"0"	"2"	"3"	"1"	"0"	"1"	"0"	"0"	"8"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"23"	"7"	"12"	"273"	"273"	"1"	"0"
"16937"	"4"	"16"	"9"	"2"	"380"	"23"	"17"	"142"	"2"	"5"	"6"	"3"	"1"	"2"	"1"	"0"	"1"	"0"	"3"	"13"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"35"	"24"	"0"	"273"	"279"	"0"	"0"
