"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"FCN_NACION"	"CREO"	"VALOR"	"UNE"	"TODOS"	"CONVERGENCIA"	"WINAQ"	"PC"	"UCN"	"VIVA"	"BIEN"	"FUERZA"	"SEMILLA"	"UNIDOS"	"PPT"	"UNIONISTA"	"VICTORIA"	"MLP"	"PODEMOS"	"PHG"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"16436"	"4"	"16"	"3"	"2"	"229"	"12"	"16"	"8"	"54"	"20"	"5"	"3"	"0"	"2"	"4"	"3"	"4"	"0"	"0"	"0"	"0"	"5"	"13"	"1"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"163"	"163"	"4"	"2"	"0"	"169"	"169"	"1"	"0"
"16437"	"4"	"16"	"3"	"2"	"396"	"10"	"20"	"7"	"69"	"38"	"1"	"2"	"1"	"2"	"1"	"7"	"18"	"0"	"2"	"1"	"0"	"10"	"7"	"19"	"19"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"29"	"4"	"0"	"271"	"271"	"1"	"0"
"16438"	"4"	"16"	"3"	"2"	"396"	"9"	"50"	"8"	"38"	"33"	"4"	"1"	"2"	"7"	"2"	"4"	"16"	"4"	"4"	"0"	"1"	"17"	"6"	"14"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"32"	"10"	"0"	"280"	"280"	"1"	"0"
"16439"	"4"	"16"	"3"	"2"	"400"	"16"	"44"	"22"	"37"	"23"	"7"	"1"	"2"	"7"	"4"	"4"	"16"	"2"	"0"	"1"	"1"	"22"	"26"	"8"	"12"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"33"	"11"	"0"	"0"	"300"	"0"	"0"
"16440"	"4"	"16"	"3"	"2"	"400"	"15"	"51"	"46"	"43"	"20"	"5"	"2"	"2"	"6"	"3"	"1"	"14"	"2"	"2"	"0"	"2"	"15"	"33"	"7"	"16"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"22"	"10"	"0"	"319"	"319"	"1"	"0"
"16441"	"4"	"16"	"3"	"2"	"400"	"16"	"45"	"15"	"40"	"32"	"1"	"1"	"0"	"2"	"1"	"4"	"31"	"2"	"3"	"0"	"1"	"9"	"17"	"10"	"33"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"41"	"11"	"0"	"316"	"316"	"1"	"0"
"16442"	"4"	"16"	"3"	"2"	"395"	"10"	"47"	"6"	"68"	"16"	"4"	"0"	"0"	"3"	"2"	"5"	"29"	"2"	"0"	"0"	"0"	"3"	"25"	"11"	"43"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"42"	"4"	"0"	"321"	"321"	"1"	"0"
"16443"	"4"	"16"	"3"	"2"	"396"	"17"	"23"	"3"	"41"	"61"	"0"	"2"	"0"	"9"	"6"	"3"	"25"	"5"	"4"	"0"	"1"	"13"	"16"	"5"	"18"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"30"	"6"	"0"	"290"	"290"	"1"	"0"
"16444"	"4"	"16"	"3"	"2"	"400"	"9"	"26"	"18"	"43"	"25"	"0"	"3"	"3"	"5"	"3"	"7"	"25"	"6"	"3"	"0"	"1"	"10"	"17"	"9"	"32"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"14"	"7"	"0"	"269"	"269"	"1"	"0"
"16445"	"4"	"16"	"3"	"2"	"343"	"18"	"19"	"17"	"40"	"25"	"1"	"2"	"4"	"6"	"2"	"3"	"16"	"0"	"0"	"1"	"1"	"13"	"13"	"7"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"11"	"3"	"0"	"225"	"225"	"1"	"0"
"16446"	"4"	"16"	"3"	"2"	"342"	"14"	"25"	"11"	"50"	"35"	"2"	"3"	"4"	"6"	"5"	"2"	"19"	"0"	"0"	"0"	"2"	"6"	"11"	"4"	"32"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"9"	"5"	"0"	"247"	"247"	"1"	"0"
"16447"	"4"	"16"	"3"	"2"	"376"	"7"	"26"	"4"	"30"	"65"	"0"	"1"	"1"	"5"	"5"	"1"	"2"	"1"	"2"	"1"	"0"	"21"	"4"	"10"	"31"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"26"	"6"	"0"	"249"	"249"	"1"	"0"
"16448"	"4"	"16"	"3"	"2"	"376"	"11"	"39"	"8"	"29"	"19"	"2"	"4"	"3"	"5"	"2"	"3"	"3"	"0"	"2"	"0"	"1"	"22"	"34"	"6"	"27"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"45"	"10"	"0"	"277"	"277"	"1"	"0"
"16449"	"4"	"16"	"3"	"2"	"376"	"10"	"35"	"7"	"36"	"49"	"0"	"2"	"0"	"12"	"5"	"3"	"6"	"6"	"0"	"0"	"0"	"32"	"12"	"10"	"21"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"36"	"12"	"0"	"296"	"296"	"1"	"0"
"16450"	"4"	"16"	"3"	"2"	"380"	"6"	"42"	"4"	"67"	"43"	"3"	"6"	"1"	"13"	"1"	"1"	"4"	"1"	"0"	"0"	"0"	"25"	"7"	"6"	"19"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"36"	"8"	"0"	"294"	"294"	"1"	"0"
"16451"	"4"	"16"	"3"	"2"	"376"	"7"	"30"	"4"	"61"	"31"	"1"	"4"	"1"	"8"	"4"	"1"	"4"	"2"	"0"	"0"	"3"	"16"	"6"	"14"	"23"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"32"	"14"	"0"	"267"	"267"	"1"	"0"
"16452"	"4"	"16"	"3"	"2"	"380"	"6"	"35"	"4"	"48"	"58"	"2"	"3"	"0"	"2"	"1"	"4"	"11"	"3"	"1"	"0"	"0"	"13"	"8"	"16"	"27"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"46"	"11"	"0"	"300"	"300"	"1"	"0"
"16453"	"4"	"16"	"3"	"2"	"376"	"6"	"30"	"1"	"58"	"41"	"4"	"0"	"3"	"0"	"8"	"3"	"8"	"4"	"0"	"0"	"0"	"24"	"1"	"21"	"43"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"44"	"13"	"0"	"313"	"313"	"1"	"0"
"16454"	"4"	"16"	"3"	"2"	"376"	"5"	"35"	"6"	"51"	"29"	"1"	"2"	"0"	"2"	"5"	"2"	"13"	"6"	"1"	"0"	"1"	"21"	"4"	"7"	"65"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"41"	"15"	"0"	"312"	"312"	"1"	"0"
"16455"	"4"	"16"	"3"	"2"	"376"	"9"	"37"	"8"	"38"	"40"	"1"	"2"	"1"	"3"	"3"	"4"	"11"	"2"	"0"	"0"	"0"	"20"	"11"	"5"	"51"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"26"	"6"	"0"	"278"	"278"	"1"	"0"
"16456"	"4"	"16"	"3"	"2"	"380"	"6"	"32"	"3"	"36"	"31"	"1"	"1"	"0"	"2"	"3"	"1"	"8"	"3"	"4"	"0"	"0"	"26"	"6"	"13"	"46"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"19"	"11"	"0"	"253"	"253"	"1"	"0"
"16457"	"4"	"16"	"3"	"2"	"370"	"8"	"17"	"5"	"55"	"36"	"2"	"2"	"2"	"9"	"2"	"0"	"8"	"1"	"1"	"0"	"0"	"20"	"9"	"11"	"51"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"25"	"6"	"0"	"271"	"271"	"1"	"0"
"16458"	"4"	"16"	"3"	"2"	"369"	"6"	"22"	"5"	"42"	"48"	"2"	"0"	"0"	"6"	"0"	"2"	"5"	"2"	"0"	"0"	"1"	"25"	"20"	"6"	"51"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"22"	"7"	"0"	"275"	"275"	"1"	"0"
"16459"	"4"	"16"	"3"	"2"	"380"	"20"	"13"	"10"	"32"	"20"	"1"	"6"	"1"	"2"	"4"	"1"	"4"	"4"	"1"	"0"	"0"	"21"	"16"	"8"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"30"	"10"	"0"	"231"	"231"	"1"	"0"
"16460"	"4"	"16"	"3"	"2"	"380"	"10"	"17"	"11"	"35"	"40"	"3"	"2"	"0"	"3"	"5"	"3"	"6"	"5"	"3"	"0"	"0"	"18"	"10"	"41"	"31"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"27"	"7"	"0"	"279"	"279"	"1"	"0"
"16461"	"4"	"16"	"3"	"2"	"375"	"21"	"21"	"14"	"56"	"40"	"1"	"3"	"0"	"0"	"6"	"1"	"9"	"0"	"0"	"0"	"0"	"25"	"1"	"46"	"48"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"292"	"292"	"15"	"4"	"2"	"311"	"311"	"1"	"0"
"16462"	"4"	"16"	"3"	"2"	"276"	"28"	"21"	"19"	"48"	"20"	"1"	"1"	"1"	"0"	"0"	"2"	"6"	"1"	"1"	"1"	"0"	"13"	"4"	"28"	"34"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"17"	"8"	"0"	"257"	"257"	"1"	"0"
"16463"	"4"	"16"	"3"	"2"	"373"	"30"	"16"	"14"	"38"	"17"	"1"	"1"	"0"	"0"	"5"	"2"	"7"	"1"	"5"	"0"	"0"	"27"	"13"	"13"	"47"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"13"	"6"	"0"	"257"	"257"	"1"	"0"
"16464"	"4"	"16"	"3"	"2"	"214"	"11"	"8"	"7"	"31"	"13"	"2"	"2"	"0"	"0"	"1"	"2"	"3"	"0"	"0"	"0"	"1"	"14"	"5"	"10"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"129"	"129"	"8"	"2"	"0"	"139"	"139"	"1"	"0"
"16465"	"4"	"16"	"3"	"2"	"213"	"8"	"17"	"9"	"37"	"8"	"0"	"1"	"0"	"1"	"4"	"0"	"3"	"2"	"0"	"0"	"0"	"13"	"5"	"13"	"26"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"149"	"149"	"7"	"5"	"0"	"161"	"161"	"1"	"0"
"16466"	"4"	"16"	"3"	"2"	"380"	"4"	"33"	"21"	"26"	"30"	"2"	"0"	"1"	"3"	"1"	"6"	"1"	"1"	"1"	"0"	"0"	"1"	"47"	"2"	"9"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"28"	"5"	"0"	"225"	"225"	"1"	"0"
"16467"	"4"	"16"	"3"	"2"	"380"	"3"	"29"	"16"	"32"	"16"	"4"	"2"	"1"	"3"	"5"	"0"	"6"	"2"	"0"	"0"	"0"	"1"	"69"	"2"	"13"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"24"	"11"	"0"	"242"	"242"	"1"	"0"
