"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VENADO"	"TODOS"	"UNE"	"VALOR"	"UCN"	"FUERZA"	"VAMOS"	"SEMILLA"	"CCML"	"UNIONISTA"	"LIBRE"	"EG"	"PODEMOS"	"URNG_MAIZ"	"VIVA"	"CREO"	"PC"	"CC_PER_DO_MO"	"BIEN"	"C_C_C_"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"10246"	"4"	"10"	"1"	"2"	"400"	"24"	"25"	"34"	"4"	"12"	"10"	"9"	"15"	"12"	"5"	"2"	"1"	"11"	"3"	"17"	"6"	"10"	"10"	"0"	"38"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"12"	"1"	"0"	"261"	"261"	"1"	"2"
"10247"	"4"	"10"	"1"	"2"	"398"	"35"	"19"	"23"	"6"	"14"	"5"	"10"	"21"	"20"	"9"	"2"	"0"	"3"	"3"	"6"	"8"	"10"	"4"	"3"	"48"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"6"	"3"	"0"	"258"	"258"	"1"	"0"
"10248"	"4"	"10"	"1"	"2"	"400"	"31"	"26"	"32"	"7"	"19"	"8"	"2"	"15"	"17"	"9"	"2"	"2"	"6"	"2"	"20"	"3"	"8"	"4"	"0"	"41"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"9"	"2"	"0"	"265"	"265"	"1"	"0"
"10249"	"4"	"10"	"1"	"2"	"386"	"27"	"30"	"19"	"1"	"17"	"7"	"7"	"14"	"13"	"3"	"2"	"0"	"3"	"6"	"22"	"5"	"4"	"7"	"0"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"10"	"2"	"0"	"223"	"223"	"1"	"0"
"10250"	"4"	"10"	"1"	"2"	"386"	"38"	"14"	"27"	"3"	"8"	"16"	"9"	"15"	"13"	"5"	"1"	"3"	"6"	"5"	"17"	"8"	"14"	"12"	"1"	"36"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"3"	"0"	"0"	"254"	"254"	"1"	"0"
"10251"	"4"	"10"	"1"	"2"	"400"	"28"	"14"	"51"	"7"	"13"	"1"	"6"	"11"	"10"	"2"	"6"	"2"	"4"	"7"	"5"	"10"	"10"	"9"	"1"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"9"	"3"	"0"	"233"	"233"	"1"	"0"
"10252"	"4"	"10"	"1"	"2"	"400"	"38"	"26"	"34"	"8"	"12"	"2"	"8"	"8"	"10"	"0"	"5"	"2"	"4"	"4"	"4"	"13"	"13"	"9"	"0"	"37"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"10"	"6"	"0"	"253"	"253"	"1"	"0"
"10253"	"4"	"10"	"1"	"2"	"400"	"42"	"28"	"37"	"5"	"20"	"5"	"13"	"23"	"15"	"1"	"3"	"1"	"2"	"9"	"3"	"13"	"15"	"11"	"1"	"30"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"9"	"1"	"0"	"287"	"287"	"1"	"0"
"10254"	"4"	"10"	"1"	"2"	"400"	"44"	"10"	"49"	"7"	"25"	"5"	"12"	"15"	"6"	"3"	"2"	"2"	"3"	"10"	"6"	"11"	"11"	"9"	"2"	"29"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"12"	"5"	"0"	"278"	"278"	"1"	"0"
"10255"	"4"	"10"	"1"	"2"	"400"	"44"	"26"	"34"	"7"	"11"	"5"	"5"	"20"	"8"	"3"	"7"	"1"	"3"	"4"	"10"	"8"	"16"	"7"	"2"	"34"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"13"	"3"	"0"	"271"	"271"	"1"	"0"
"10256"	"4"	"10"	"1"	"2"	"400"	"51"	"22"	"32"	"8"	"5"	"11"	"6"	"11"	"3"	"4"	"5"	"3"	"4"	"6"	"2"	"13"	"11"	"11"	"2"	"36"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"24"	"0"	"0"	"270"	"270"	"1"	"0"
"10257"	"4"	"10"	"1"	"2"	"400"	"39"	"30"	"51"	"4"	"14"	"10"	"6"	"14"	"10"	"2"	"1"	"0"	"2"	"6"	"6"	"6"	"14"	"4"	"0"	"39"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"9"	"3"	"0"	"270"	"270"	"1"	"0"
"10258"	"4"	"10"	"1"	"2"	"400"	"51"	"23"	"30"	"6"	"11"	"7"	"7"	"17"	"4"	"3"	"3"	"3"	"1"	"11"	"5"	"9"	"9"	"9"	"2"	"27"	"3"	"3"	"1"	"11"	"5"	"9"	"9"	"9"	"2"	"27"	"238"	"238"	"13"	"1"	"0"	"252"	"252"	"1"	"0"
"10259"	"4"	"10"	"1"	"2"	"400"	"38"	"20"	"19"	"3"	"19"	"7"	"6"	"14"	"7"	"2"	"4"	"0"	"3"	"5"	"6"	"9"	"14"	"15"	"0"	"29"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"6"	"2"	"0"	"228"	"228"	"1"	"0"
"10260"	"4"	"10"	"1"	"2"	"400"	"40"	"28"	"22"	"8"	"16"	"6"	"6"	"11"	"12"	"2"	"5"	"1"	"6"	"9"	"8"	"6"	"7"	"10"	"0"	"30"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"11"	"3"	"0"	"247"	"247"	"1"	"0"
"10261"	"4"	"10"	"1"	"2"	"400"	"32"	"21"	"24"	"11"	"17"	"5"	"4"	"14"	"17"	"6"	"3"	"0"	"3"	"3"	"2"	"6"	"15"	"12"	"1"	"35"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"12"	"0"	"0"	"243"	"243"	"1"	"0"
"10262"	"4"	"10"	"1"	"2"	"400"	"37"	"22"	"33"	"10"	"15"	"5"	"6"	"8"	"9"	"3"	"3"	"0"	"5"	"3"	"9"	"8"	"9"	"11"	"3"	"31"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"6"	"5"	"0"	"241"	"241"	"1"	"0"
"10263"	"4"	"10"	"1"	"2"	"400"	"38"	"18"	"19"	"4"	"18"	"4"	"9"	"10"	"9"	"2"	"5"	"2"	"4"	"7"	"12"	"6"	"8"	"13"	"1"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"13"	"4"	"0"	"233"	"233"	"1"	"0"
"10264"	"4"	"10"	"1"	"2"	"351"	"35"	"15"	"19"	"4"	"18"	"7"	"5"	"15"	"13"	"5"	"4"	"2"	"2"	"2"	"6"	"11"	"11"	"11"	"6"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"2"	"0"	"0"	"217"	"217"	"1"	"0"
"10265"	"4"	"10"	"1"	"2"	"353"	"28"	"30"	"20"	"7"	"9"	"7"	"4"	"10"	"9"	"3"	"1"	"5"	"4"	"3"	"4"	"8"	"17"	"9"	"0"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"6"	"1"	"0"	"210"	"210"	"1"	"0"
"10266"	"4"	"10"	"1"	"2"	"400"	"35"	"21"	"26"	"5"	"8"	"11"	"8"	"12"	"10"	"7"	"2"	"0"	"6"	"6"	"14"	"1"	"8"	"17"	"1"	"35"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"233"	"7"	"1"	"0"	"242"	"241"	"0"	"0"
"10267"	"4"	"10"	"1"	"2"	"400"	"40"	"16"	"34"	"5"	"16"	"2"	"8"	"20"	"14"	"7"	"3"	"2"	"7"	"8"	"13"	"6"	"10"	"21"	"3"	"39"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"7"	"3"	"0"	"284"	"284"	"1"	"0"
"10268"	"4"	"10"	"1"	"2"	"400"	"43"	"26"	"34"	"8"	"9"	"9"	"15"	"13"	"11"	"7"	"3"	"2"	"2"	"5"	"15"	"4"	"3"	"17"	"4"	"50"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"280"	"8"	"3"	"0"	"290"	"291"	"0"	"0"
"10269"	"4"	"10"	"1"	"2"	"400"	"30"	"28"	"33"	"7"	"10"	"6"	"5"	"19"	"11"	"5"	"3"	"3"	"10"	"7"	"19"	"6"	"13"	"14"	"2"	"44"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"9"	"0"	"0"	"284"	"284"	"1"	"0"
"10270"	"4"	"10"	"1"	"2"	"400"	"34"	"28"	"33"	"1"	"8"	"12"	"6"	"10"	"9"	"2"	"2"	"2"	"4"	"6"	"21"	"2"	"12"	"17"	"0"	"43"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"13"	"2"	"0"	"267"	"267"	"1"	"0"
"10271"	"4"	"10"	"1"	"2"	"400"	"33"	"15"	"26"	"15"	"10"	"6"	"7"	"16"	"10"	"10"	"4"	"2"	"3"	"8"	"13"	"15"	"6"	"13"	"1"	"46"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"12"	"4"	"0"	"275"	"275"	"1"	"0"
"10272"	"4"	"10"	"1"	"2"	"402"	"37"	"23"	"22"	"6"	"6"	"8"	"5"	"17"	"7"	"1"	"5"	"2"	"1"	"2"	"18"	"7"	"8"	"16"	"2"	"30"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"8"	"1"	"0"	"232"	"232"	"1"	"0"
"10273"	"4"	"10"	"1"	"2"	"403"	"12"	"4"	"2"	"15"	"4"	"10"	"9"	"13"	"12"	"4"	"8"	"4"	"6"	"3"	"36"	"17"	"9"	"12"	"42"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"230"	"112"	"4"	"0"	"236"	"346"	"0"	"0"
"10274"	"4"	"10"	"1"	"2"	"400"	"33"	"21"	"19"	"4"	"12"	"3"	"10"	"14"	"9"	"5"	"4"	"1"	"5"	"3"	"23"	"7"	"4"	"11"	"0"	"54"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"11"	"3"	"0"	"256"	"256"	"1"	"0"
"10275"	"4"	"10"	"1"	"2"	"400"	"39"	"20"	"21"	"4"	"10"	"1"	"7"	"13"	"10"	"5"	"1"	"1"	"4"	"5"	"18"	"2"	"4"	"7"	"0"	"46"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"7"	"1"	"0"	"226"	"226"	"1"	"0"
