"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"VICTORIA"	"VALOR"	"PHG"	"FCN_NACION"	"PC"	"VIVA"	"SEMILLA"	"BIEN"	"MLP"	"UCN"	"PODEMOS"	"UNE"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"8968"	"4"	"8"	"6"	"2"	"256"	"34"	"31"	"0"	"11"	"2"	"3"	"7"	"1"	"22"	"0"	"5"	"1"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"128"	"128"	"8"	"4"	"0"	"140"	"140"	"1"	"0"
"8969"	"4"	"8"	"6"	"2"	"398"	"32"	"65"	"3"	"8"	"7"	"1"	"9"	"1"	"31"	"15"	"4"	"4"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"25"	"12"	"0"	"235"	"235"	"1"	"0"
"8970"	"4"	"8"	"6"	"2"	"400"	"36"	"51"	"7"	"8"	"8"	"1"	"13"	"0"	"39"	"11"	"5"	"4"	"37"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"19"	"13"	"0"	"252"	"252"	"1"	"0"
"8971"	"4"	"8"	"6"	"2"	"399"	"50"	"60"	"3"	"5"	"5"	"1"	"9"	"1"	"28"	"9"	"8"	"5"	"41"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"25"	"25"	"0"	"275"	"275"	"1"	"0"
"8972"	"4"	"8"	"6"	"2"	"400"	"25"	"69"	"9"	"7"	"14"	"0"	"19"	"1"	"35"	"8"	"12"	"13"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"26"	"11"	"0"	"274"	"274"	"1"	"0"
"8973"	"4"	"8"	"6"	"2"	"398"	"11"	"69"	"16"	"6"	"12"	"1"	"27"	"0"	"60"	"6"	"6"	"3"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"31"	"17"	"0"	"289"	"289"	"1"	"0"
"8974"	"4"	"8"	"6"	"2"	"401"	"13"	"93"	"2"	"3"	"5"	"3"	"9"	"1"	"34"	"5"	"2"	"5"	"36"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"33"	"23"	"0"	"267"	"267"	"1"	"0"
"8975"	"4"	"8"	"6"	"2"	"400"	"20"	"106"	"2"	"8"	"13"	"0"	"7"	"1"	"34"	"4"	"4"	"7"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"25"	"11"	"0"	"261"	"261"	"1"	"0"
"8976"	"4"	"8"	"6"	"2"	"396"	"33"	"57"	"5"	"14"	"8"	"1"	"5"	"0"	"30"	"5"	"4"	"5"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	"193"	"16"	"12"	"0"	"221"	"221"	"1"	"0"
"8977"	"4"	"8"	"6"	"2"	"400"	"29"	"55"	"10"	"5"	"8"	"1"	"12"	"1"	"35"	"8"	"7"	"3"	"43"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"23"	"13"	"0"	"253"	"253"	"1"	"0"
"8978"	"4"	"8"	"6"	"2"	"400"	"26"	"62"	"5"	"8"	"10"	"3"	"8"	"1"	"26"	"8"	"8"	"4"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"8"	"4"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"16"	"14"	"0"	"219"	"219"	"1"	"0"
"8979"	"4"	"8"	"6"	"2"	"277"	"23"	"51"	"5"	"5"	"3"	"1"	"9"	"3"	"22"	"1"	"2"	"4"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"4"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"147"	"147"	"7"	"9"	"0"	"163"	"163"	"1"	"0"
"8980"	"4"	"8"	"6"	"2"	"279"	"22"	"45"	"6"	"8"	"7"	"1"	"13"	"1"	"31"	"2"	"3"	"3"	"30"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"3"	"30"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"172"	"172"	"3"	"3"	"0"	"178"	"178"	"1"	"0"
"8981"	"4"	"8"	"6"	"2"	"373"	"16"	"60"	"4"	"9"	"11"	"0"	"6"	"0"	"47"	"5"	"39"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"19"	"7"	"0"	"231"	"231"	"1"	"0"
"8982"	"4"	"8"	"6"	"2"	"380"	"27"	"66"	"4"	"3"	"15"	"1"	"5"	"0"	"54"	"2"	"27"	"7"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"21"	"5"	"0"	"246"	"246"	"1"	"0"
"8983"	"4"	"8"	"6"	"2"	"380"	"12"	"57"	"9"	"3"	"14"	"2"	"7"	"1"	"43"	"1"	"38"	"3"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"13"	"12"	"0"	"225"	"225"	"1"	"0"
"8984"	"4"	"8"	"6"	"2"	"380"	"32"	"79"	"2"	"6"	"12"	"1"	"14"	"0"	"40"	"2"	"17"	"2"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"27"	"12"	"0"	"256"	"256"	"1"	"0"
"8985"	"4"	"8"	"6"	"2"	"380"	"29"	"98"	"0"	"5"	"11"	"1"	"10"	"1"	"41"	"3"	"10"	"5"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"23"	"16"	"0"	"269"	"269"	"1"	"0"
"8986"	"4"	"8"	"6"	"2"	"380"	"42"	"83"	"4"	"7"	"15"	"1"	"18"	"1"	"44"	"1"	"8"	"5"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"14"	"18"	"0"	"269"	"269"	"1"	"0"
"8987"	"4"	"8"	"6"	"2"	"380"	"39"	"114"	"1"	"4"	"12"	"3"	"8"	"5"	"42"	"2"	"6"	"5"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"18"	"5"	"0"	"277"	"277"	"1"	"0"
"8988"	"4"	"8"	"6"	"2"	"380"	"17"	"63"	"2"	"7"	"15"	"0"	"7"	"2"	"35"	"2"	"16"	"7"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"25"	"13"	"0"	"219"	"219"	"1"	"0"
"8989"	"4"	"8"	"6"	"2"	"380"	"21"	"62"	"6"	"5"	"12"	"0"	"9"	"0"	"55"	"1"	"27"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"13"	"12"	"0"	"232"	"232"	"1"	"0"
"8990"	"4"	"8"	"6"	"2"	"380"	"21"	"60"	"2"	"12"	"11"	"1"	"11"	"1"	"41"	"0"	"35"	"4"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"17"	"12"	"0"	"240"	"240"	"1"	"0"
"8991"	"4"	"8"	"6"	"2"	"377"	"21"	"48"	"2"	"17"	"9"	"1"	"9"	"2"	"61"	"1"	"15"	"2"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"13"	"14"	"0"	"227"	"227"	"1"	"0"
"8992"	"4"	"8"	"6"	"2"	"377"	"16"	"83"	"4"	"18"	"5"	"2"	"8"	"1"	"53"	"0"	"26"	"3"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"23"	"16"	"0"	"264"	"264"	"1"	"0"
"8993"	"4"	"8"	"6"	"2"	"373"	"30"	"73"	"1"	"3"	"10"	"1"	"13"	"0"	"41"	"4"	"34"	"2"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"11"	"9"	"0"	"242"	"242"	"1"	"0"
"8994"	"4"	"8"	"6"	"2"	"377"	"20"	"53"	"2"	"9"	"12"	"3"	"8"	"1"	"38"	"0"	"28"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"18"	"9"	"0"	"208"	"208"	"1"	"0"
