"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"FUERZA"	"UCN"	"VAMOS"	"PODEMOS"	"FCN_NACION"	"UNE"	"LIBRE"	"VIVA"	"VICTORIA"	"PPT"	"EG"	"TODOS"	"SEMILLA"	"MLP"	"PC"	"PHG"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"6764"	"4"	"5"	"6"	"2"	"399"	"55"	"57"	"16"	"3"	"12"	"23"	"4"	"12"	"20"	"3"	"17"	"10"	"9"	"5"	"29"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"4"	"16"	"0"	"296"	"296"	"1"	"0"
"6765"	"4"	"5"	"6"	"2"	"397"	"44"	"32"	"19"	"2"	"11"	"22"	"5"	"11"	"31"	"1"	"19"	"10"	"20"	"3"	"35"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"16"	"1"	"0"	"288"	"288"	"1"	"0"
"6766"	"4"	"5"	"6"	"2"	"400"	"38"	"43"	"26"	"2"	"5"	"32"	"4"	"15"	"26"	"2"	"22"	"7"	"16"	"4"	"26"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"13"	"3"	"0"	"288"	"288"	"1"	"0"
"6767"	"4"	"5"	"6"	"2"	"408"	"45"	"32"	"23"	"2"	"7"	"44"	"4"	"18"	"12"	"2"	"23"	"7"	"10"	"5"	"18"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"11"	"3"	"0"	"272"	"272"	"1"	"0"
"6768"	"4"	"5"	"6"	"2"	"396"	"35"	"52"	"14"	"2"	"6"	"34"	"1"	"17"	"16"	"0"	"28"	"3"	"9"	"1"	"29"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"4"	"0"	"0"	"260"	"260"	"1"	"0"
"6769"	"4"	"5"	"6"	"2"	"400"	"42"	"50"	"13"	"2"	"10"	"27"	"0"	"16"	"11"	"0"	"15"	"6"	"11"	"3"	"21"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"232"	"5"	"1"	"0"	"237"	"238"	"0"	"0"
"6770"	"4"	"5"	"6"	"2"	"400"	"29"	"49"	"13"	"4"	"14"	"21"	"4"	"14"	"15"	"2"	"20"	"6"	"11"	"0"	"31"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"15"	"2"	"0"	"256"	"256"	"1"	"0"
"6771"	"4"	"5"	"6"	"2"	"400"	"29"	"58"	"15"	"3"	"5"	"34"	"1"	"11"	"15"	"2"	"27"	"8"	"15"	"0"	"20"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"14"	"5"	"1"	"266"	"266"	"1"	"0"
"6772"	"4"	"5"	"6"	"2"	"400"	"27"	"40"	"7"	"1"	"14"	"41"	"4"	"19"	"18"	"2"	"23"	"4"	"5"	"1"	"35"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"11"	"4"	"0"	"259"	"259"	"1"	"0"
"6773"	"4"	"5"	"6"	"2"	"400"	"27"	"38"	"12"	"2"	"13"	"33"	"1"	"8"	"21"	"2"	"20"	"7"	"18"	"5"	"23"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"18"	"3"	"0"	"257"	"257"	"1"	"0"
