"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"FCN_NACION"	"VAMOS"	"PC"	"FUERZA"	"CREO"	"VALOR"	"PPT"	"VICTORIA"	"PODEMOS"	"MLP"	"UCN"	"URNG_MAIZ"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"16512"	"4"	"16"	"4"	"2"	"375"	"115"	"75"	"2"	"78"	"0"	"1"	"4"	"0"	"0"	"9"	"5"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"312"	"312"	"12"	"5"	"0"	"329"	"329"	"1"	"1"
"16513"	"4"	"16"	"4"	"2"	"376"	"82"	"59"	"7"	"115"	"2"	"1"	"3"	"0"	"0"	"11"	"8"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"295"	"295"	"6"	"1"	"0"	"302"	"302"	"1"	"0"
"16514"	"4"	"16"	"4"	"2"	"238"	"61"	"26"	"0"	"73"	"3"	"0"	"3"	"0"	"0"	"8"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"4"	"2"	"0"	"184"	"184"	"1"	"0"
"16515"	"4"	"16"	"4"	"2"	"237"	"71"	"41"	"1"	"60"	"4"	"0"	"2"	"0"	"2"	"9"	"3"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"199"	"199"	"1"	"0"	"0"	"200"	"200"	"1"	"0"
"16516"	"4"	"16"	"4"	"2"	"400"	"133"	"50"	"3"	"87"	"1"	"1"	"5"	"2"	"3"	"3"	"1"	"8"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"300"	"300"	"14"	"8"	"0"	"322"	"322"	"1"	"0"
"16517"	"4"	"16"	"4"	"2"	"221"	"73"	"22"	"1"	"54"	"1"	"2"	"3"	"0"	"0"	"0"	"2"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"162"	"162"	"10"	"3"	"0"	"175"	"175"	"1"	"0"
"16518"	"4"	"16"	"4"	"2"	"220"	"56"	"16"	"2"	"61"	"2"	"1"	"1"	"0"	"0"	"1"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"147"	"147"	"6"	"0"	"0"	"153"	"153"	"1"	"1"
"16519"	"4"	"16"	"4"	"2"	"396"	"58"	"65"	"3"	"148"	"0"	"0"	"2"	"0"	"6"	"1"	"3"	"12"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"300"	"300"	"13"	"7"	"0"	"320"	"320"	"1"	"0"
"16520"	"4"	"16"	"4"	"2"	"400"	"74"	"64"	"2"	"130"	"1"	"0"	"4"	"2"	"3"	"2"	"7"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"30"	"10"	"0"	"334"	"334"	"1"	"0"
"16521"	"4"	"16"	"4"	"2"	"349"	"87"	"77"	"2"	"86"	"0"	"0"	"5"	"0"	"3"	"7"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"13"	"9"	"0"	"296"	"296"	"1"	"0"
"16522"	"4"	"16"	"4"	"2"	"348"	"63"	"39"	"2"	"103"	"0"	"0"	"6"	"1"	"3"	"2"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"10"	"5"	"0"	"243"	"243"	"1"	"0"
"16523"	"4"	"16"	"4"	"2"	"600"	"101"	"57"	"10"	"108"	"2"	"3"	"9"	"1"	"2"	"5"	"5"	"20"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"325"	"325"	"12"	"9"	"0"	"346"	"346"	"1"	"0"
"16524"	"4"	"16"	"4"	"2"	"395"	"80"	"34"	"7"	"43"	"0"	"1"	"10"	"1"	"2"	"1"	"8"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"6"	"7"	"0"	"207"	"207"	"1"	"1"
"16525"	"4"	"16"	"4"	"2"	"398"	"64"	"17"	"7"	"37"	"2"	"2"	"7"	"3"	"0"	"0"	"6"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"155"	"155"	"7"	"5"	"0"	"167"	"167"	"1"	"0"
