"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VIVA"	"UNE"	"VAMOS"	"FCN_NACION"	"UNIONISTA"	"TODOS"	"PAN"	"PC"	"MLP"	"VALOR"	"BIEN"	"PHG"	"UCN"	"SEMILLA"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"20390"	"4"	"22"	"1"	"2"	"376"	"2"	"53"	"6"	"45"	"4"	"2"	"0"	"41"	"4"	"8"	"6"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"9"	"4"	"0"	"191"	"191"	"1"	"0"
"20391"	"4"	"22"	"1"	"2"	"241"	"0"	"40"	"6"	"25"	"3"	"0"	"0"	"25"	"1"	"7"	"7"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"120"	"120"	"2"	"0"	"0"	"122"	"122"	"1"	"0"
"20392"	"4"	"22"	"1"	"2"	"238"	"0"	"33"	"7"	"23"	"5"	"1"	"1"	"19"	"1"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"101"	"101"	"7"	"3"	"0"	"111"	"111"	"1"	"0"
"20393"	"4"	"22"	"1"	"2"	"396"	"0"	"16"	"1"	"24"	"4"	"5"	"2"	"2"	"1"	"11"	"3"	"1"	"123"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	"193"	"35"	"2"	"0"	"230"	"230"	"1"	"0"
"20394"	"4"	"22"	"1"	"2"	"377"	"0"	"23"	"1"	"17"	"2"	"4"	"3"	"4"	"1"	"6"	"0"	"3"	"125"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"30"	"7"	"0"	"226"	"226"	"1"	"0"
"20395"	"4"	"22"	"1"	"2"	"393"	"4"	"33"	"4"	"20"	"3"	"9"	"2"	"5"	"0"	"12"	"2"	"1"	"112"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"24"	"9"	"0"	"240"	"240"	"1"	"0"
"20396"	"4"	"22"	"1"	"2"	"397"	"0"	"20"	"1"	"13"	"9"	"4"	"2"	"2"	"0"	"6"	"0"	"1"	"104"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"162"	"162"	"17"	"0"	"4"	"179"	"179"	"1"	"0"
"20397"	"4"	"22"	"1"	"2"	"239"	"0"	"10"	"0"	"9"	"5"	"1"	"1"	"4"	"0"	"8"	"1"	"2"	"61"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"102"	"102"	"7"	"8"	"0"	"117"	"117"	"1"	"0"
"20398"	"4"	"22"	"1"	"2"	"238"	"1"	"14"	"0"	"10"	"7"	"3"	"1"	"0"	"1"	"3"	"2"	"4"	"72"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"118"	"118"	"1"	"4"	"0"	"123"	"123"	"1"	"1"
"20399"	"4"	"22"	"1"	"2"	"377"	"3"	"39"	"2"	"18"	"6"	"1"	"1"	"2"	"60"	"10"	"4"	"5"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"155"	"155"	"15"	"10"	"0"	"180"	"180"	"1"	"0"
"20400"	"4"	"22"	"1"	"2"	"396"	"2"	"44"	"8"	"16"	"5"	"1"	"1"	"2"	"56"	"13"	"1"	"7"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"159"	"159"	"22"	"3"	"0"	"184"	"184"	"1"	"0"
"20401"	"4"	"22"	"1"	"2"	"396"	"1"	"38"	"0"	"10"	"6"	"0"	"2"	"1"	"61"	"6"	"2"	"5"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"134"	"134"	"19"	"10"	"0"	"163"	"163"	"1"	"0"
"20402"	"4"	"22"	"1"	"2"	"392"	"1"	"45"	"7"	"14"	"6"	"0"	"1"	"3"	"74"	"4"	"2"	"5"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"167"	"167"	"24"	"11"	"0"	"202"	"202"	"1"	"0"
"20403"	"4"	"22"	"1"	"2"	"398"	"2"	"48"	"9"	"17"	"3"	"0"	"0"	"2"	"85"	"3"	"3"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"177"	"177"	"13"	"16"	"0"	"206"	"206"	"1"	"0"
"20404"	"4"	"22"	"1"	"2"	"400"	"0"	"46"	"6"	"13"	"3"	"0"	"0"	"2"	"48"	"13"	"1"	"3"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"137"	"137"	"12"	"7"	"0"	"156"	"156"	"1"	"0"
"20405"	"4"	"22"	"1"	"2"	"400"	"2"	"35"	"4"	"9"	"3"	"0"	"2"	"2"	"67"	"8"	"5"	"6"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"144"	"144"	"13"	"8"	"0"	"165"	"165"	"1"	"0"
"20406"	"4"	"22"	"1"	"2"	"395"	"4"	"49"	"5"	"14"	"9"	"0"	"1"	"1"	"57"	"7"	"1"	"4"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"154"	"154"	"19"	"12"	"0"	"185"	"185"	"1"	"0"
"20407"	"4"	"22"	"1"	"2"	"394"	"1"	"32"	"3"	"6"	"5"	"2"	"1"	"2"	"43"	"7"	"3"	"10"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"121"	"121"	"16"	"1"	"0"	"138"	"138"	"1"	"0"
"20408"	"4"	"22"	"1"	"2"	"256"	"0"	"19"	"2"	"6"	"2"	"0"	"0"	"2"	"24"	"3"	"1"	"5"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"66"	"66"	"4"	"4"	"0"	"74"	"74"	"1"	"1"
"20409"	"4"	"22"	"1"	"2"	"256"	"0"	"27"	"2"	"9"	"4"	"0"	"0"	"0"	"41"	"5"	"2"	"4"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"97"	"97"	"8"	"2"	"0"	"107"	"107"	"1"	"0"
