"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VIVA"	"UCN"	"DESARROLLO"	"BIEN"	"TODOS"	"SEMILLA"	"UNE"	"EG"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"19593"	"4"	"20"	"7"	"2"	"400"	"4"	"56"	"77"	"34"	"22"	"9"	"47"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"2"	"0"	"0"	"255"	"255"	"1"	"0"
"19594"	"4"	"20"	"7"	"2"	"404"	"11"	"72"	"87"	"30"	"14"	"2"	"46"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"8"	"3"	"0"	"279"	"279"	"1"	"0"
"19595"	"4"	"20"	"7"	"2"	"400"	"13"	"56"	"96"	"28"	"23"	"7"	"41"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"4"	"1"	"0"	"278"	"278"	"1"	"0"
"19596"	"4"	"20"	"7"	"2"	"400"	"10"	"56"	"86"	"39"	"17"	"6"	"46"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"3"	"2"	"0"	"273"	"273"	"1"	"0"
"19597"	"4"	"20"	"7"	"2"	"400"	"5"	"52"	"118"	"35"	"19"	"10"	"38"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"282"	"4"	"3"	"0"	"289"	"289"	"1"	"0"
"19598"	"4"	"20"	"7"	"2"	"400"	"10"	"66"	"92"	"42"	"25"	"3"	"45"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"5"	"0"	"0"	"293"	"293"	"1"	"0"
"19599"	"4"	"20"	"7"	"2"	"400"	"11"	"64"	"102"	"26"	"17"	"5"	"51"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"7"	"2"	"0"	"290"	"290"	"1"	"0"
"19600"	"4"	"20"	"7"	"2"	"400"	"5"	"63"	"107"	"19"	"11"	"2"	"50"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"12"	"3"	"0"	"279"	"279"	"1"	"0"
"19601"	"4"	"20"	"7"	"2"	"400"	"5"	"68"	"89"	"35"	"13"	"6"	"48"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"10"	"1"	"0"	"282"	"282"	"1"	"0"
"19602"	"4"	"20"	"7"	"2"	"399"	"7"	"59"	"84"	"29"	"25"	"4"	"47"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"3"	"4"	"0"	"267"	"267"	"1"	"0"
"19603"	"4"	"20"	"7"	"2"	"399"	"6"	"67"	"99"	"43"	"21"	"8"	"43"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"295"	"295"	"1"	"1"	"1"	"297"	"297"	"1"	"0"
"19604"	"4"	"20"	"7"	"2"	"400"	"10"	"85"	"111"	"44"	"14"	"1"	"51"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"325"	"325"	"3"	"0"	"3"	"328"	"328"	"1"	"0"
"19605"	"4"	"20"	"7"	"2"	"259"	"8"	"56"	"74"	"30"	"23"	"3"	"28"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"0"	"0"	"0"	"224"	"224"	"1"	"0"
"19606"	"4"	"20"	"7"	"2"	"259"	"7"	"52"	"44"	"16"	"9"	"5"	"24"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"161"	"161"	"2"	"2"	"0"	"165"	"165"	"1"	"0"
"19607"	"4"	"20"	"7"	"2"	"401"	"8"	"73"	"85"	"10"	"18"	"2"	"42"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"7"	"4"	"1"	"258"	"258"	"1"	"0"
"19608"	"4"	"20"	"7"	"2"	"400"	"11"	"71"	"84"	"14"	"25"	"2"	"34"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"12"	"4"	"0"	"262"	"262"	"1"	"0"
"19609"	"4"	"20"	"7"	"2"	"399"	"9"	"97"	"69"	"11"	"17"	"4"	"31"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"7"	"2"	"0"	"260"	"260"	"1"	"0"
"19610"	"4"	"20"	"7"	"2"	"400"	"8"	"82"	"71"	"13"	"19"	"2"	"29"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"9"	"9"	"0"	"254"	"254"	"1"	"0"
"19611"	"4"	"20"	"7"	"2"	"400"	"13"	"76"	"77"	"20"	"11"	"3"	"30"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"11"	"4"	"0"	"256"	"256"	"1"	"0"
"19612"	"4"	"20"	"7"	"2"	"400"	"20"	"60"	"98"	"29"	"12"	"3"	"29"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"13"	"1"	"0"	"272"	"272"	"1"	"0"
"19613"	"4"	"20"	"7"	"2"	"400"	"9"	"83"	"65"	"16"	"10"	"2"	"35"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"4"	"3"	"0"	"231"	"231"	"1"	"0"
"19614"	"4"	"20"	"7"	"2"	"400"	"8"	"86"	"73"	"19"	"13"	"1"	"28"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"12"	"2"	"0"	"256"	"256"	"1"	"0"
"19615"	"4"	"20"	"7"	"2"	"400"	"7"	"78"	"83"	"20"	"18"	"2"	"31"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"8"	"1"	"0"	"261"	"261"	"1"	"0"
"19616"	"4"	"20"	"7"	"2"	"398"	"7"	"43"	"87"	"19"	"15"	"2"	"43"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"223"	"5"	"7"	"0"	"275"	"235"	"0"	"0"
"19617"	"4"	"20"	"7"	"2"	"400"	"8"	"83"	"81"	"16"	"19"	"1"	"21"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"3"	"5"	"0"	"241"	"241"	"1"	"0"
