"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"UNE"	"MLP"	"TUC"	"WINAQ"	"PHG"	"SEMILLA"	"PAN"	"FCN_NACION"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7693"	"4"	"6"	"9"	"2"	"380"	"58"	"112"	"1"	"22"	"0"	"16"	"0"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"11"	"4"	"0"	"232"	"232"	"1"	"0"
"7694"	"4"	"6"	"9"	"2"	"259"	"38"	"69"	"2"	"24"	"0"	"5"	"1"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"145"	"145"	"2"	"3"	"0"	"150"	"150"	"1"	"0"
"7695"	"4"	"6"	"9"	"2"	"258"	"54"	"87"	"0"	"24"	"0"	"1"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"169"	"169"	"1"	"1"	"0"	"171"	"171"	"1"	"0"
"7696"	"4"	"6"	"9"	"2"	"400"	"74"	"171"	"0"	"50"	"1"	"1"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"301"	"301"	"20"	"4"	"0"	"325"	"325"	"1"	"0"
"7697"	"4"	"6"	"9"	"2"	"395"	"82"	"150"	"0"	"54"	"0"	"1"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"292"	"292"	"7"	"3"	"0"	"302"	"302"	"1"	"0"
"7698"	"4"	"6"	"9"	"2"	"394"	"63"	"179"	"1"	"41"	"0"	"1"	"1"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"8"	"2"	"0"	"301"	"301"	"1"	"0"
"7699"	"4"	"6"	"9"	"2"	"598"	"71"	"62"	"2"	"22"	"0"	"3"	"3"	"3"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"7"	"5"	"0"	"188"	"188"	"1"	"0"
"7700"	"4"	"6"	"9"	"2"	"593"	"64"	"49"	"0"	"40"	"2"	"5"	"2"	"2"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"172"	"172"	"6"	"3"	"0"	"181"	"181"	"1"	"0"
"7701"	"4"	"6"	"9"	"2"	"598"	"57"	"78"	"0"	"30"	"1"	"6"	"1"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"8"	"2"	"0"	"191"	"191"	"1"	"0"
"7702"	"4"	"6"	"9"	"2"	"338"	"31"	"43"	"1"	"19"	"0"	"4"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"102"	"102"	"6"	"1"	"0"	"109"	"109"	"1"	"0"
"7703"	"4"	"6"	"9"	"2"	"341"	"16"	"12"	"1"	"13"	"0"	"2"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"46"	"46"	"4"	"1"	"0"	"51"	"51"	"1"	"0"
