"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"TODOS"	"VAMOS"	"FUERZA"	"EG"	"UNIONISTA"	"BIEN"	"VICTORIA"	"URNG_MAIZ"	"LIBRE"	"WINAQ"	"VIVA"	"PAN"	"SEMILLA"	"PPT"	"PHG"	"UCN"	"CONVERGENCIA"	"AVANZA"	"UNE"	"VALOR"	"UNIDOS"	"PODEMOS"	"CREO"	"PC"	"MLP"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"3879"	"4"	"1"	"15"	"2"	"400"	"14"	"25"	"58"	"10"	"17"	"6"	"5"	"4"	"7"	"0"	"10"	"3"	"1"	"1"	"4"	"4"	"0"	"1"	"39"	"4"	"0"	"0"	"2"	"17"	"2"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"19"	"3"	"0"	"256"	"256"	"1"	"0"
"3880"	"4"	"1"	"15"	"2"	"400"	"15"	"20"	"39"	"5"	"10"	"8"	"3"	"1"	"10"	"4"	"11"	"6"	"4"	"0"	"7"	"5"	"1"	"9"	"39"	"1"	"0"	"1"	"4"	"24"	"2"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"10"	"2"	"0"	"241"	"241"	"1"	"0"
"3881"	"4"	"1"	"15"	"2"	"400"	"15"	"26"	"45"	"5"	"10"	"5"	"1"	"4"	"6"	"3"	"6"	"4"	"1"	"1"	"5"	"3"	"1"	"3"	"34"	"1"	"0"	"1"	"7"	"29"	"5"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"14"	"3"	"0"	"238"	"238"	"1"	"0"
"3882"	"4"	"1"	"15"	"2"	"400"	"2"	"23"	"36"	"7"	"17"	"5"	"3"	"4"	"7"	"2"	"16"	"8"	"1"	"0"	"3"	"3"	"0"	"3"	"35"	"2"	"0"	"0"	"2"	"23"	"5"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"11"	"3"	"0"	"221"	"221"	"1"	"0"
"3883"	"4"	"1"	"15"	"2"	"396"	"14"	"23"	"46"	"7"	"14"	"9"	"4"	"4"	"4"	"1"	"9"	"4"	"0"	"0"	"5"	"6"	"1"	"1"	"46"	"0"	"1"	"2"	"0"	"19"	"3"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"10"	"4"	"0"	"237"	"237"	"1"	"0"
"3884"	"4"	"1"	"15"	"2"	"396"	"10"	"30"	"38"	"2"	"14"	"10"	"2"	"5"	"4"	"3"	"15"	"4"	"1"	"2"	"3"	"1"	"0"	"1"	"45"	"1"	"0"	"0"	"2"	"16"	"4"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"10"	"6"	"0"	"229"	"229"	"1"	"0"
"3885"	"4"	"1"	"15"	"2"	"400"	"10"	"35"	"49"	"7"	"9"	"7"	"2"	"1"	"11"	"2"	"15"	"6"	"1"	"0"	"2"	"1"	"0"	"2"	"35"	"1"	"0"	"0"	"1"	"16"	"2"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"8"	"3"	"0"	"226"	"226"	"1"	"0"
"3886"	"4"	"1"	"15"	"2"	"397"	"8"	"22"	"42"	"7"	"16"	"5"	"1"	"2"	"5"	"0"	"10"	"3"	"4"	"0"	"2"	"3"	"1"	"3"	"38"	"2"	"0"	"0"	"2"	"11"	"6"	"0"	"0"	"0"	"0"	"0"	"193"	"193"	"18"	"2"	"0"	"213"	"213"	"1"	"0"
"3887"	"4"	"1"	"15"	"2"	"400"	"13"	"25"	"36"	"8"	"13"	"6"	"2"	"0"	"11"	"1"	"20"	"3"	"5"	"1"	"3"	"0"	"0"	"1"	"35"	"1"	"0"	"0"	"4"	"17"	"3"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"16"	"3"	"0"	"227"	"227"	"1"	"0"
"3888"	"4"	"1"	"15"	"2"	"396"	"15"	"18"	"44"	"6"	"10"	"10"	"2"	"2"	"5"	"1"	"10"	"3"	"8"	"1"	"4"	"1"	"0"	"0"	"39"	"4"	"0"	"0"	"3"	"15"	"5"	"0"	"0"	"0"	"0"	"0"	"205"	"206"	"13"	"4"	"0"	"222"	"223"	"0"	"0"
