"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"CREO"	"BIEN"	"FUERZA"	"PPT"	"WINAQ_URNG"	"PC"	"VALOR"	"MLP"	"UCN"	"FCN_NACION"	"EG"	"UNIDOS"	"SEMILLA"	"VAMOS"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"11854"	"4"	"12"	"6"	"2"	"380"	"23"	"12"	"53"	"38"	"0"	"1"	"6"	"0"	"2"	"3"	"4"	"24"	"0"	"5"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"180"	"180"	"14"	"5"	"0"	"199"	"199"	"1"	"0"
"11855"	"4"	"12"	"6"	"2"	"380"	"26"	"9"	"51"	"44"	"3"	"0"	"7"	"2"	"2"	"2"	"2"	"24"	"1"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"14"	"15"	"0"	"210"	"210"	"1"	"0"
"11856"	"4"	"12"	"6"	"2"	"380"	"29"	"24"	"45"	"48"	"0"	"2"	"2"	"3"	"1"	"2"	"1"	"23"	"1"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"23"	"12"	"0"	"224"	"224"	"1"	"0"
"11857"	"4"	"12"	"6"	"2"	"380"	"23"	"17"	"57"	"46"	"1"	"1"	"4"	"4"	"2"	"3"	"0"	"23"	"3"	"3"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"17"	"18"	"0"	"229"	"229"	"1"	"0"
"11858"	"4"	"12"	"6"	"2"	"380"	"23"	"14"	"68"	"28"	"0"	"1"	"1"	"3"	"4"	"2"	"0"	"15"	"1"	"7"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"16"	"18"	"0"	"205"	"205"	"1"	"0"
"11859"	"4"	"12"	"6"	"2"	"207"	"7"	"1"	"35"	"30"	"0"	"0"	"2"	"0"	"1"	"1"	"0"	"15"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"95"	"95"	"11"	"2"	"0"	"108"	"108"	"1"	"0"
"11860"	"4"	"12"	"6"	"2"	"206"	"10"	"3"	"33"	"32"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"10"	"0"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"97"	"97"	"1"	"6"	"0"	"104"	"104"	"1"	"0"
"11861"	"4"	"12"	"6"	"2"	"597"	"28"	"12"	"49"	"10"	"1"	"3"	"4"	"6"	"9"	"1"	"0"	"33"	"2"	"3"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"20"	"27"	"0"	"223"	"223"	"1"	"0"
"11862"	"4"	"12"	"6"	"2"	"526"	"20"	"11"	"43"	"17"	"1"	"2"	"4"	"2"	"11"	"2"	"2"	"18"	"1"	"7"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"149"	"149"	"17"	"10"	"0"	"176"	"176"	"1"	"0"
"11863"	"4"	"12"	"6"	"2"	"526"	"13"	"12"	"30"	"10"	"1"	"1"	"8"	"2"	"3"	"2"	"0"	"11"	"1"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"98"	"98"	"8"	"3"	"0"	"109"	"109"	"1"	"0"
