"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"FUERZA"	"TODOS"	"UNIONISTA"	"VALOR"	"UNE"	"VAMOS"	"PAN"	"LIBRE"	"FCN_NACION"	"UCN"	"VICTORIA"	"SEMILLA"	"PPT"	"PC"	"AVANZA"	"EG"	"VIVA"	"WINAQ_URNG"	"CREO"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"4615"	"4"	"1"	"17"	"1"	"377"	"37"	"11"	"117"	"14"	"26"	"5"	"5"	"1"	"4"	"5"	"1"	"2"	"0"	"3"	"2"	"2"	"5"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"11"	"0"	"0"	"258"	"258"	"1"	"3"
"4616"	"4"	"1"	"17"	"1"	"380"	"24"	"20"	"104"	"9"	"32"	"4"	"2"	"2"	"7"	"3"	"2"	"7"	"0"	"0"	"0"	"1"	"7"	"7"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"11"	"3"	"0"	"250"	"250"	"1"	"0"
"4617"	"4"	"1"	"17"	"1"	"380"	"29"	"18"	"124"	"11"	"39"	"3"	"9"	"0"	"6"	"5"	"0"	"3"	"0"	"3"	"0"	"0"	"4"	"3"	"2"	"0"	"0"	"3"	"0"	"3"	"0"	"0"	"4"	"3"	"2"	"0"	"259"	"259"	"13"	"3"	"0"	"275"	"275"	"1"	"0"
"4618"	"4"	"1"	"17"	"1"	"390"	"25"	"15"	"101"	"10"	"35"	"3"	"4"	"0"	"8"	"2"	"0"	"0"	"1"	"3"	"0"	"0"	"7"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"17"	"4"	"1"	"237"	"237"	"1"	"0"
"4619"	"4"	"1"	"17"	"2"	"380"	"24"	"13"	"108"	"10"	"24"	"4"	"6"	"0"	"5"	"2"	"0"	"1"	"0"	"2"	"1"	"1"	"2"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"13"	"5"	"0"	"225"	"225"	"1"	"0"
"4620"	"4"	"1"	"17"	"2"	"199"	"21"	"8"	"70"	"11"	"14"	"7"	"1"	"0"	"2"	"2"	"0"	"1"	"0"	"0"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"141"	"141"	"5"	"0"	"0"	"146"	"146"	"1"	"0"
"4621"	"4"	"1"	"17"	"1"	"194"	"27"	"7"	"62"	"5"	"12"	"3"	"1"	"1"	"1"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"127"	"127"	"2"	"1"	"0"	"130"	"130"	"1"	"0"
"4622"	"4"	"1"	"17"	"2"	"363"	"21"	"9"	"23"	"79"	"38"	"8"	"13"	"11"	"7"	"2"	"8"	"11"	"1"	"3"	"4"	"7"	"15"	"8"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"283"	"11"	"1"	"0"	"285"	"295"	"0"	"0"
"4623"	"4"	"1"	"17"	"2"	"376"	"11"	"8"	"29"	"83"	"25"	"5"	"9"	"5"	"3"	"2"	"6"	"4"	"2"	"0"	"3"	"2"	"13"	"14"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"12"	"1"	"0"	"250"	"250"	"1"	"0"
"4624"	"4"	"1"	"17"	"2"	"376"	"10"	"10"	"27"	"80"	"22"	"0"	"8"	"7"	"8"	"4"	"4"	"14"	"1"	"0"	"2"	"4"	"20"	"9"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"251"	"15"	"3"	"0"	"270"	"269"	"0"	"1"
