"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"PC"	"VAMOS"	"UCN"	"UNE"	"URNG_MAIZ"	"TODOS"	"VIVA"	"WINAQ"	"FCN_NACION"	"SEMILLA"	"UNIONISTA"	"CONVERGENCIA"	"VALOR"	"PHG"	"UNIDOS"	"COMITÉ_CÍVICO_EL_CAMPESINO"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"15629"	"4"	"14"	"20"	"2"	"380"	"4"	"20"	"1"	"72"	"6"	"3"	"7"	"1"	"5"	"5"	"12"	"1"	"21"	"1"	"3"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"179"	"22"	"8"	"0"	"209"	"209"	"1"	"0"
"15630"	"4"	"14"	"20"	"2"	"382"	"1"	"21"	"1"	"72"	"7"	"5"	"10"	"2"	"2"	"5"	"19"	"1"	"13"	"1"	"0"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"33"	"9"	"0"	"220"	"220"	"1"	"0"
"15631"	"4"	"14"	"20"	"2"	"380"	"2"	"18"	"1"	"52"	"6"	"5"	"8"	"1"	"4"	"3"	"9"	"1"	"23"	"1"	"1"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"146"	"146"	"27"	"6"	"0"	"179"	"179"	"1"	"0"
"15632"	"4"	"14"	"20"	"2"	"380"	"0"	"12"	"1"	"57"	"4"	"3"	"8"	"1"	"4"	"5"	"6"	"1"	"30"	"3"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"145"	"145"	"15"	"5"	"6"	"165"	"165"	"1"	"0"
"15633"	"4"	"14"	"20"	"2"	"298"	"0"	"16"	"2"	"42"	"4"	"5"	"3"	"0"	"3"	"6"	"4"	"1"	"11"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"103"	"101"	"15"	"1"	"0"	"119"	"117"	"0"	"0"
"15634"	"4"	"14"	"20"	"2"	"298"	"2"	"21"	"0"	"37"	"3"	"2"	"6"	"2"	"5"	"3"	"9"	"1"	"20"	"1"	"2"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"126"	"126"	"10"	"7"	"2"	"145"	"143"	"0"	"0"
"15635"	"4"	"14"	"20"	"2"	"380"	"3"	"28"	"4"	"48"	"30"	"2"	"18"	"1"	"0"	"11"	"0"	"2"	"2"	"2"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"158"	"158"	"14"	"8"	"0"	"180"	"180"	"1"	"0"
"15636"	"4"	"14"	"20"	"2"	"380"	"1"	"33"	"4"	"18"	"17"	"3"	"9"	"1"	"2"	"15"	"0"	"1"	"7"	"1"	"0"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"125"	"125"	"12"	"3"	"0"	"140"	"140"	"1"	"0"
"15637"	"4"	"14"	"20"	"2"	"380"	"0"	"17"	"0"	"31"	"30"	"5"	"12"	"4"	"0"	"17"	"0"	"1"	"2"	"2"	"0"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"136"	"136"	"14"	"7"	"0"	"157"	"157"	"1"	"0"
"15638"	"4"	"14"	"20"	"2"	"395"	"1"	"12"	"3"	"40"	"21"	"2"	"14"	"1"	"1"	"14"	"0"	"1"	"3"	"0"	"2"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"131"	"131"	"20"	"10"	"0"	"161"	"161"	"1"	"0"
