"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"UNE"	"CREO"	"LIBRE"	"VIVA"	"URNG_MAIZ"	"PHG"	"TODOS"	"BIEN"	"FUERZA"	"SEMILLA"	"UNIONISTA"	"VALOR"	"MLP"	"VICTORIA"	"PC"	"FCN_NACION"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"12201"	"4"	"12"	"13"	"2"	"380"	"46"	"65"	"46"	"0"	"1"	"8"	"2"	"15"	"1"	"1"	"1"	"3"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"15"	"5"	"0"	"211"	"211"	"1"	"0"
"12202"	"4"	"12"	"13"	"2"	"324"	"42"	"51"	"41"	"0"	"0"	"2"	"5"	"17"	"0"	"3"	"1"	"2"	"1"	"0"	"0"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"170"	"170"	"12"	"5"	"0"	"187"	"187"	"1"	"0"
"12203"	"4"	"12"	"13"	"2"	"324"	"47"	"55"	"50"	"0"	"2"	"2"	"2"	"8"	"4"	"2"	"1"	"3"	"0"	"1"	"1"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"183"	"183"	"7"	"0"	"0"	"190"	"190"	"1"	"0"
"12204"	"4"	"12"	"13"	"2"	"380"	"49"	"19"	"62"	"1"	"3"	"1"	"3"	"14"	"0"	"1"	"1"	"3"	"1"	"1"	"8"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"172"	"172"	"26"	"5"	"0"	"203"	"203"	"1"	"0"
"12205"	"4"	"12"	"13"	"2"	"377"	"75"	"29"	"54"	"0"	"1"	"1"	"4"	"10"	"3"	"3"	"1"	"0"	"2"	"0"	"4"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"192"	"21"	"4"	"0"	"227"	"217"	"0"	"0"
"12206"	"4"	"12"	"13"	"2"	"380"	"71"	"29"	"56"	"1"	"1"	"2"	"2"	"12"	"2"	"0"	"0"	"2"	"1"	"1"	"5"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"20"	"9"	"0"	"220"	"220"	"1"	"0"
"12207"	"4"	"12"	"13"	"2"	"380"	"92"	"40"	"56"	"1"	"3"	"1"	"5"	"11"	"1"	"0"	"2"	"2"	"5"	"1"	"8"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"20"	"6"	"0"	"261"	"261"	"1"	"0"
"12208"	"4"	"12"	"13"	"2"	"380"	"51"	"33"	"71"	"3"	"3"	"2"	"5"	"17"	"4"	"1"	"0"	"7"	"6"	"1"	"7"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"16"	"6"	"0"	"240"	"240"	"1"	"0"
"12209"	"4"	"12"	"13"	"2"	"380"	"55"	"41"	"65"	"0"	"1"	"1"	"6"	"19"	"4"	"0"	"1"	"3"	"2"	"0"	"4"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"23"	"9"	"0"	"238"	"238"	"1"	"0"
"12210"	"4"	"12"	"13"	"2"	"380"	"115"	"28"	"46"	"2"	"3"	"1"	"1"	"29"	"3"	"0"	"0"	"1"	"7"	"3"	"0"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"11"	"3"	"0"	"259"	"259"	"1"	"0"
