"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"TODOS"	"VALOR"	"FUERZA"	"VIVA"	"UNE"	"URNG_MAIZ"	"VAMOS"	"FCN_NACION"	"CREO"	"LIBRE"	"UNIONISTA"	"SEMILLA"	"VICTORIA"	"PAN"	"AVANZA"	"UCN"	"DIGNIDAD"	"MLP"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"3606"	"4"	"1"	"14"	"2"	"400"	"6"	"113"	"17"	"5"	"25"	"7"	"5"	"7"	"12"	"7"	"2"	"30"	"6"	"3"	"1"	"0"	"13"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"7"	"4"	"4"	"278"	"274"	"0"	"0"
"3607"	"4"	"1"	"14"	"2"	"400"	"4"	"100"	"12"	"7"	"32"	"12"	"16"	"7"	"19"	"3"	"2"	"38"	"11"	"5"	"3"	"4"	"15"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"7"	"0"	"0"	"301"	"301"	"1"	"0"
"3608"	"4"	"1"	"14"	"2"	"393"	"5"	"102"	"12"	"6"	"24"	"6"	"12"	"16"	"6"	"6"	"3"	"39"	"8"	"6"	"1"	"0"	"9"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"9"	"3"	"0"	"280"	"280"	"1"	"0"
"3609"	"4"	"1"	"14"	"2"	"401"	"9"	"101"	"10"	"3"	"24"	"4"	"3"	"11"	"8"	"7"	"2"	"41"	"4"	"0"	"1"	"1"	"12"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"8"	"0"	"0"	"251"	"251"	"1"	"0"
"3610"	"4"	"1"	"14"	"2"	"396"	"14"	"97"	"9"	"3"	"12"	"5"	"7"	"8"	"9"	"7"	"2"	"49"	"7"	"3"	"0"	"1"	"14"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"9"	"1"	"0"	"261"	"261"	"1"	"0"
"3611"	"4"	"1"	"14"	"2"	"393"	"5"	"99"	"10"	"4"	"34"	"8"	"14"	"11"	"13"	"2"	"2"	"36"	"3"	"5"	"2"	"1"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"8"	"2"	"0"	"270"	"270"	"1"	"0"
"3612"	"4"	"1"	"14"	"2"	"399"	"8"	"85"	"12"	"7"	"36"	"7"	"15"	"5"	"7"	"1"	"3"	"45"	"8"	"7"	"1"	"2"	"12"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"10"	"4"	"0"	"277"	"277"	"1"	"0"
"3613"	"4"	"1"	"14"	"2"	"400"	"9"	"98"	"7"	"3"	"23"	"5"	"10"	"11"	"15"	"5"	"1"	"36"	"8"	"5"	"0"	"0"	"12"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"6"	"2"	"0"	"258"	"258"	"1"	"0"
"3614"	"4"	"1"	"14"	"2"	"0"	"7"	"109"	"9"	"5"	"21"	"5"	"12"	"11"	"9"	"7"	"1"	"47"	"4"	"6"	"1"	"1"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"13"	"2"	"0"	"279"	"279"	"1"	"0"
"3615"	"4"	"1"	"14"	"2"	"428"	"4"	"104"	"16"	"8"	"27"	"3"	"9"	"8"	"8"	"8"	"1"	"49"	"9"	"8"	"2"	"1"	"9"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"279"	"9"	"1"	"0"	"293"	"289"	"0"	"0"
