"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"VALOR"	"VICTORIA"	"UCN"	"FCN_NACION"	"MLP"	"BIEN"	"SEMILLA"	"PC"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18770"	"4"	"18"	"5"	"2"	"396"	"26"	"89"	"16"	"55"	"7"	"2"	"9"	"31"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"12"	"4"	"0"	"260"	"260"	"1"	"0"
"18771"	"4"	"18"	"5"	"2"	"396"	"20"	"92"	"23"	"45"	"10"	"4"	"14"	"38"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"13"	"5"	"0"	"0"	"269"	"0"	"0"
"18772"	"4"	"18"	"5"	"2"	"400"	"23"	"97"	"18"	"52"	"9"	"5"	"12"	"28"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"9"	"4"	"0"	"260"	"260"	"1"	"0"
"18773"	"4"	"18"	"5"	"2"	"396"	"15"	"88"	"27"	"52"	"11"	"2"	"15"	"27"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"12"	"6"	"0"	"259"	"259"	"1"	"0"
"18774"	"4"	"18"	"5"	"2"	"396"	"2"	"103"	"29"	"48"	"9"	"1"	"12"	"16"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"226"	"14"	"4"	"2"	"262"	"244"	"0"	"0"
"18775"	"4"	"18"	"5"	"2"	"400"	"17"	"110"	"13"	"52"	"8"	"1"	"9"	"27"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"10"	"9"	"4"	"263"	"263"	"1"	"0"
"18776"	"4"	"18"	"5"	"2"	"400"	"16"	"108"	"26"	"64"	"10"	"6"	"10"	"25"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"8"	"5"	"0"	"282"	"282"	"1"	"0"
"18777"	"4"	"18"	"5"	"2"	"396"	"28"	"110"	"24"	"69"	"5"	"1"	"4"	"28"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"3"	"3"	"0"	"283"	"283"	"1"	"0"
"18778"	"4"	"18"	"5"	"2"	"396"	"19"	"79"	"25"	"48"	"4"	"1"	"8"	"24"	"3"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"217"	"4"	"2"	"0"	"223"	"223"	"0"	"0"
"18779"	"4"	"18"	"5"	"2"	"396"	"19"	"77"	"21"	"49"	"10"	"4"	"14"	"28"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"8"	"3"	"0"	"235"	"235"	"1"	"0"
"18780"	"4"	"18"	"5"	"2"	"400"	"19"	"90"	"22"	"52"	"4"	"4"	"12"	"33"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"17"	"6"	"0"	"262"	"262"	"1"	"0"
"18781"	"4"	"18"	"5"	"2"	"396"	"18"	"89"	"25"	"38"	"7"	"2"	"12"	"31"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"223"	"8"	"2"	"0"	"234"	"233"	"0"	"0"
"18782"	"4"	"18"	"5"	"2"	"400"	"17"	"92"	"21"	"53"	"7"	"3"	"12"	"33"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"7"	"4"	"0"	"255"	"255"	"1"	"0"
"18783"	"4"	"18"	"5"	"2"	"396"	"9"	"103"	"21"	"56"	"4"	"2"	"10"	"35"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"4"	"4"	"0"	"251"	"251"	"1"	"0"
"18784"	"4"	"18"	"5"	"2"	"400"	"22"	"82"	"19"	"59"	"4"	"3"	"18"	"34"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"7"	"5"	"0"	"255"	"255"	"1"	"0"
"18785"	"4"	"18"	"5"	"2"	"396"	"17"	"93"	"13"	"48"	"5"	"1"	"12"	"18"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"9"	"3"	"0"	"227"	"227"	"1"	"0"
"18786"	"4"	"18"	"5"	"2"	"394"	"23"	"88"	"17"	"32"	"4"	"5"	"11"	"26"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"10"	"4"	"0"	"222"	"222"	"1"	"0"
"18787"	"4"	"18"	"5"	"2"	"400"	"16"	"80"	"22"	"42"	"8"	"5"	"12"	"23"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"2"	"2"	"0"	"214"	"214"	"1"	"0"
