"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"FUERZA"	"CONVERGENCIA"	"VICTORIA"	"BIEN"	"VAMOS"	"VALOR"	"UNIONISTA"	"PHG"	"FCN_NACION"	"UNE"	"PC"	"SEMILLA"	"LIBRE"	"UCN"	"PODEMOS"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"8697"	"4"	"8"	"2"	"2"	"380"	"5"	"12"	"31"	"30"	"1"	"0"	"0"	"36"	"45"	"12"	"1"	"1"	"0"	"2"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"5"	"7"	"0"	"200"	"200"	"1"	"0"
"8698"	"4"	"8"	"2"	"2"	"450"	"9"	"21"	"26"	"29"	"6"	"1"	"0"	"43"	"58"	"10"	"1"	"2"	"1"	"0"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"6"	"5"	"0"	"230"	"230"	"1"	"0"
"8699"	"4"	"8"	"2"	"2"	"369"	"9"	"11"	"31"	"31"	"1"	"1"	"2"	"28"	"30"	"6"	"3"	"1"	"0"	"1"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"170"	"170"	"8"	"2"	"0"	"180"	"180"	"1"	"0"
"8700"	"4"	"8"	"2"	"2"	"367"	"8"	"7"	"35"	"25"	"6"	"2"	"0"	"50"	"24"	"8"	"0"	"1"	"0"	"0"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"187"	"187"	"9"	"3"	"0"	"199"	"199"	"1"	"0"
"8701"	"4"	"8"	"2"	"2"	"380"	"3"	"22"	"5"	"45"	"7"	"1"	"1"	"35"	"31"	"8"	"3"	"5"	"4"	"2"	"34"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"10"	"14"	"0"	"230"	"230"	"1"	"0"
"8702"	"4"	"8"	"2"	"2"	"380"	"5"	"27"	"3"	"47"	"9"	"2"	"2"	"33"	"30"	"14"	"7"	"1"	"0"	"1"	"43"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"12"	"8"	"0"	"244"	"244"	"1"	"0"
"8703"	"4"	"8"	"2"	"2"	"380"	"13"	"14"	"7"	"39"	"4"	"0"	"5"	"35"	"47"	"13"	"1"	"2"	"1"	"2"	"30"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"2"	"30"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"31"	"10"	"0"	"254"	"254"	"1"	"0"
"8704"	"4"	"8"	"2"	"2"	"380"	"5"	"10"	"0"	"40"	"8"	"0"	"5"	"87"	"37"	"11"	"3"	"6"	"1"	"1"	"34"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"8"	"10"	"0"	"266"	"266"	"1"	"0"
"8705"	"4"	"8"	"2"	"2"	"380"	"2"	"16"	"3"	"31"	"6"	"0"	"1"	"41"	"24"	"12"	"2"	"2"	"0"	"1"	"34"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"0"	"1"	"34"	"0"	"0"	"0"	"0"	"0"	"175"	"175"	"9"	"6"	"0"	"190"	"190"	"1"	"0"
"8706"	"4"	"8"	"2"	"2"	"299"	"4"	"17"	"1"	"38"	"17"	"1"	"2"	"32"	"25"	"9"	"3"	"3"	"2"	"0"	"23"	"0"	"0"	"0"	"0"	"0"	"3"	"3"	"2"	"0"	"23"	"0"	"0"	"0"	"0"	"0"	"177"	"177"	"8"	"3"	"0"	"188"	"188"	"1"	"0"
"8707"	"4"	"8"	"2"	"2"	"299"	"6"	"13"	"5"	"42"	"7"	"2"	"0"	"40"	"23"	"4"	"2"	"2"	"0"	"0"	"25"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"0"	"0"	"25"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"2"	"0"	"0"	"173"	"173"	"1"	"0"
"8708"	"4"	"8"	"2"	"2"	"380"	"15"	"27"	"18"	"31"	"15"	"2"	"2"	"15"	"52"	"8"	"1"	"3"	"3"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"16"	"7"	"0"	"223"	"223"	"1"	"0"
"8709"	"4"	"8"	"2"	"2"	"375"	"10"	"23"	"16"	"15"	"4"	"1"	"1"	"15"	"50"	"7"	"2"	"2"	"1"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"155"	"155"	"13"	"4"	"0"	"172"	"172"	"1"	"0"
"8710"	"4"	"8"	"2"	"2"	"380"	"8"	"30"	"12"	"11"	"7"	"1"	"3"	"10"	"40"	"7"	"1"	"1"	"1"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"142"	"142"	"2"	"8"	"0"	"152"	"152"	"1"	"0"
"8711"	"4"	"8"	"2"	"2"	"231"	"9"	"13"	"12"	"14"	"3"	"1"	"1"	"5"	"23"	"5"	"1"	"1"	"2"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"93"	"93"	"7"	"5"	"0"	"105"	"105"	"1"	"0"
"8712"	"4"	"8"	"2"	"2"	"231"	"5"	"14"	"12"	"5"	"7"	"0"	"0"	"10"	"30"	"3"	"7"	"2"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"98"	"98"	"7"	"4"	"0"	"109"	"109"	"1"	"0"
"8713"	"4"	"8"	"2"	"2"	"0"	"5"	"11"	"9"	"16"	"19"	"2"	"4"	"22"	"30"	"21"	"7"	"1"	"6"	"2"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"166"	"165"	"24"	"8"	"0"	"198"	"197"	"0"	"0"
"8714"	"4"	"8"	"2"	"2"	"444"	"5"	"9"	"16"	"9"	"15"	"2"	"4"	"23"	"8"	"21"	"13"	"0"	"2"	"1"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"137"	"137"	"14"	"2"	"0"	"153"	"153"	"1"	"0"
"8715"	"4"	"8"	"2"	"2"	"444"	"2"	"3"	"2"	"11"	"5"	"2"	"10"	"12"	"14"	"8"	"6"	"1"	"0"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"81"	"81"	"8"	"0"	"0"	"89"	"89"	"1"	"0"
