"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"TODOS"	"BIEN"	"PC"	"VAMOS"	"CREO"	"SEMILLA"	"FCN_NACION"	"PODEMOS"	"VIVA"	"MLP"	"AVANZA"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"5429"	"4"	"3"	"4"	"2"	"396"	"83"	"11"	"49"	"65"	"3"	"12"	"12"	"4"	"27"	"2"	"10"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"7"	"4"	"0"	"301"	"301"	"1"	"0"
"5430"	"4"	"3"	"4"	"2"	"396"	"96"	"14"	"33"	"64"	"6"	"6"	"5"	"7"	"18"	"5"	"7"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"5"	"4"	"0"	"287"	"287"	"1"	"0"
"5431"	"4"	"3"	"4"	"2"	"400"	"64"	"10"	"49"	"57"	"5"	"8"	"11"	"4"	"24"	"6"	"8"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"11"	"3"	"0"	"271"	"271"	"1"	"0"
"5432"	"4"	"3"	"4"	"2"	"400"	"78"	"14"	"51"	"48"	"4"	"12"	"12"	"1"	"29"	"5"	"5"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"4"	"0"	"0"	"275"	"275"	"1"	"0"
"5433"	"4"	"3"	"4"	"2"	"398"	"68"	"12"	"56"	"66"	"4"	"13"	"11"	"1"	"23"	"5"	"12"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"2"	"1"	"0"	"284"	"284"	"1"	"0"
"5434"	"4"	"3"	"4"	"2"	"400"	"81"	"11"	"63"	"71"	"4"	"13"	"12"	"1"	"18"	"10"	"7"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"309"	"309"	"4"	"0"	"0"	"313"	"313"	"1"	"0"
"5435"	"4"	"3"	"4"	"2"	"398"	"97"	"11"	"59"	"78"	"4"	"7"	"17"	"2"	"25"	"5"	"7"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"326"	"326"	"1"	"0"	"0"	"327"	"327"	"1"	"0"
"5436"	"4"	"3"	"4"	"2"	"242"	"44"	"8"	"47"	"39"	"3"	"8"	"6"	"3"	"12"	"2"	"4"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"190"	"190"	"1"	"0"	"0"	"191"	"191"	"1"	"0"
"5437"	"4"	"3"	"4"	"2"	"242"	"62"	"3"	"27"	"36"	"2"	"7"	"6"	"1"	"14"	"0"	"5"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"1"	"0"	"0"	"179"	"179"	"1"	"0"
"5438"	"4"	"3"	"4"	"2"	"398"	"148"	"10"	"15"	"55"	"4"	"11"	"0"	"3"	"21"	"3"	"8"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"8"	"3"	"0"	"292"	"292"	"1"	"0"
"5439"	"4"	"3"	"4"	"2"	"400"	"154"	"3"	"23"	"64"	"3"	"8"	"2"	"8"	"24"	"3"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"299"	"299"	"1"	"5"	"0"	"305"	"305"	"1"	"0"
"5440"	"4"	"3"	"4"	"2"	"400"	"158"	"3"	"16"	"72"	"2"	"13"	"1"	"3"	"14"	"2"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"4"	"3"	"0"	"295"	"295"	"1"	"0"
"5441"	"4"	"3"	"4"	"2"	"395"	"157"	"4"	"9"	"60"	"2"	"11"	"4"	"3"	"17"	"3"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"5"	"2"	"0"	"283"	"283"	"1"	"0"
"5442"	"4"	"3"	"4"	"2"	"395"	"126"	"4"	"21"	"64"	"2"	"9"	"2"	"6"	"21"	"1"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"2"	"1"	"0"	"263"	"263"	"1"	"0"
"5443"	"4"	"3"	"4"	"2"	"394"	"129"	"9"	"14"	"53"	"4"	"9"	"2"	"3"	"29"	"1"	"8"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"5"	"4"	"0"	"277"	"277"	"1"	"0"
"5444"	"4"	"3"	"4"	"2"	"374"	"150"	"13"	"11"	"52"	"1"	"7"	"4"	"1"	"20"	"1"	"5"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"3"	"4"	"0"	"279"	"279"	"1"	"0"
"5445"	"4"	"3"	"4"	"2"	"228"	"72"	"5"	"15"	"18"	"2"	"10"	"2"	"1"	"10"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"139"	"139"	"2"	"5"	"0"	"146"	"146"	"1"	"0"
"5446"	"4"	"3"	"4"	"2"	"231"	"83"	"3"	"21"	"31"	"3"	"6"	"5"	"2"	"7"	"1"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"170"	"170"	"1"	"0"	"0"	"171"	"171"	"1"	"0"
"5447"	"4"	"3"	"4"	"2"	"374"	"182"	"8"	"6"	"22"	"4"	"5"	"0"	"5"	"6"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"11"	"5"	"0"	"257"	"257"	"1"	"0"
"5448"	"4"	"3"	"4"	"2"	"373"	"167"	"3"	"3"	"24"	"2"	"5"	"0"	"15"	"7"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"11"	"4"	"0"	"245"	"245"	"1"	"0"
"5449"	"4"	"3"	"4"	"2"	"376"	"182"	"4"	"3"	"18"	"2"	"4"	"0"	"8"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"8"	"2"	"0"	"236"	"236"	"1"	"0"
"5450"	"4"	"3"	"4"	"2"	"378"	"197"	"10"	"2"	"20"	"0"	"7"	"0"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"10"	"6"	"0"	"262"	"262"	"1"	"0"
"5451"	"4"	"3"	"4"	"2"	"378"	"181"	"6"	"1"	"25"	"4"	"10"	"0"	"10"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"6"	"6"	"0"	"252"	"252"	"1"	"0"
