"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"WINAQ"	"CREO"	"UNE"	"VALOR"	"PODEMOS"	"BIEN"	"FCN_NACION"	"MLP"	"FUERZA"	"TODOS"	"UNIONISTA"	"URNG_MAIZ"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"17249"	"4"	"16"	"13"	"2"	"400"	"49"	"21"	"0"	"50"	"2"	"57"	"3"	"99"	"7"	"2"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"15"	"8"	"1"	"317"	"317"	"1"	"0"
"17250"	"4"	"16"	"13"	"2"	"401"	"69"	"32"	"1"	"43"	"1"	"79"	"4"	"53"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"7"	"7"	"0"	"299"	"298"	"0"	"1"
"17251"	"4"	"16"	"13"	"2"	"400"	"86"	"35"	"0"	"67"	"2"	"72"	"0"	"24"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"292"	"292"	"12"	"4"	"0"	"308"	"308"	"1"	"0"
"17252"	"4"	"16"	"13"	"2"	"400"	"82"	"35"	"2"	"54"	"3"	"79"	"2"	"33"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"293"	"293"	"15"	"4"	"0"	"312"	"312"	"1"	"0"
"17253"	"4"	"16"	"13"	"2"	"400"	"67"	"29"	"2"	"46"	"0"	"82"	"1"	"34"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"10"	"6"	"0"	"280"	"280"	"1"	"0"
"17254"	"4"	"16"	"13"	"2"	"400"	"76"	"42"	"0"	"54"	"1"	"75"	"2"	"31"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"14"	"2"	"0"	"303"	"303"	"1"	"0"
"17255"	"4"	"16"	"13"	"2"	"400"	"84"	"41"	"0"	"48"	"0"	"89"	"1"	"27"	"1"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"295"	"295"	"14"	"1"	"0"	"310"	"310"	"1"	"0"
"17256"	"4"	"16"	"13"	"2"	"396"	"71"	"50"	"0"	"48"	"0"	"94"	"3"	"21"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"292"	"292"	"10"	"2"	"1"	"304"	"304"	"1"	"0"
"17257"	"4"	"16"	"13"	"2"	"398"	"71"	"28"	"2"	"44"	"0"	"89"	"3"	"41"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"8"	"4"	"2"	"295"	"293"	"0"	"0"
"17258"	"4"	"16"	"13"	"2"	"400"	"71"	"35"	"1"	"42"	"0"	"91"	"1"	"32"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"5"	"5"	"0"	"285"	"285"	"1"	"0"
