"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"TODOS"	"VAMOS"	"VIVA"	"UNIDOS"	"EG"	"PPT"	"SEMILLA"	"LIBRE"	"URNG_MAIZ"	"UNIONISTA"	"VICTORIA"	"PHG"	"PC"	"FCN_NACION"	"AVANZA"	"PAN"	"VALOR"	"BIEN"	"CREO"	"UNE"	"MLP"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"3364"	"4"	"1"	"10"	"1"	"400"	"149"	"4"	"11"	"1"	"4"	"1"	"2"	"1"	"20"	"17"	"2"	"6"	"0"	"3"	"3"	"1"	"1"	"3"	"2"	"8"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"7"	"0"	"0"	"252"	"252"	"1"	"0"
"3365"	"4"	"1"	"10"	"1"	"363"	"145"	"3"	"12"	"4"	"3"	"1"	"5"	"0"	"10"	"8"	"4"	"7"	"0"	"9"	"9"	"0"	"3"	"3"	"1"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"3"	"0"	"0"	"240"	"240"	"1"	"0"
"3366"	"4"	"1"	"10"	"1"	"362"	"118"	"6"	"9"	"2"	"2"	"3"	"0"	"1"	"7"	"13"	"4"	"7"	"1"	"2"	"1"	"2"	"1"	"3"	"0"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"191"	"6"	"0"	"0"	"198"	"197"	"0"	"0"
"3367"	"4"	"1"	"10"	"1"	"380"	"122"	"7"	"9"	"1"	"2"	"1"	"1"	"2"	"9"	"18"	"3"	"4"	"0"	"4"	"2"	"1"	"1"	"4"	"2"	"15"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"12"	"6"	"0"	"227"	"227"	"1"	"0"
"3368"	"4"	"1"	"10"	"1"	"0"	"129"	"6"	"6"	"1"	"1"	"3"	"3"	"2"	"8"	"10"	"5"	"10"	"0"	"3"	"1"	"4"	"1"	"3"	"1"	"11"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"17"	"2"	"0"	"228"	"228"	"1"	"0"
"3369"	"4"	"1"	"10"	"1"	"367"	"132"	"7"	"5"	"1"	"2"	"3"	"4"	"3"	"8"	"13"	"4"	"6"	"1"	"3"	"9"	"7"	"2"	"5"	"3"	"11"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"10"	"4"	"0"	"246"	"246"	"1"	"0"
"3370"	"4"	"1"	"10"	"1"	"374"	"130"	"8"	"7"	"1"	"0"	"0"	"2"	"5"	"9"	"12"	"2"	"0"	"0"	"9"	"3"	"3"	"0"	"6"	"2"	"14"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"216"	"9"	"1"	"0"	"232"	"226"	"0"	"0"
"3371"	"4"	"1"	"10"	"1"	"385"	"137"	"4"	"10"	"0"	"5"	"4"	"4"	"1"	"10"	"15"	"4"	"7"	"2"	"2"	"2"	"6"	"2"	"5"	"3"	"12"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"9"	"2"	"0"	"249"	"249"	"1"	"0"
"3372"	"4"	"1"	"10"	"1"	"399"	"131"	"6"	"8"	"1"	"4"	"2"	"4"	"2"	"9"	"11"	"0"	"7"	"0"	"4"	"7"	"4"	"1"	"5"	"4"	"17"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"6"	"3"	"0"	"238"	"238"	"1"	"0"
"3373"	"4"	"1"	"10"	"1"	"380"	"145"	"6"	"8"	"0"	"0"	"2"	"4"	"1"	"14"	"14"	"2"	"4"	"2"	"3"	"4"	"3"	"5"	"6"	"2"	"10"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"6"	"1"	"134"	"246"	"246"	"1"	"0"
"3374"	"4"	"1"	"10"	"1"	"0"	"122"	"5"	"11"	"1"	"3"	"1"	"6"	"2"	"13"	"16"	"2"	"4"	"1"	"3"	"3"	"6"	"1"	"5"	"4"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"12"	"1"	"0"	"232"	"232"	"1"	"0"
"3375"	"4"	"1"	"10"	"1"	"380"	"140"	"6"	"9"	"1"	"1"	"0"	"4"	"1"	"8"	"10"	"1"	"5"	"1"	"1"	"4"	"3"	"0"	"5"	"2"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"9"	"5"	"0"	"211"	"225"	"0"	"0"
"3376"	"4"	"1"	"10"	"1"	"380"	"130"	"4"	"6"	"1"	"3"	"2"	"3"	"0"	"4"	"14"	"3"	"3"	"1"	"6"	"2"	"5"	"0"	"6"	"0"	"10"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"11"	"1"	"0"	"217"	"217"	"1"	"0"
"3377"	"4"	"1"	"10"	"1"	"380"	"127"	"4"	"6"	"0"	"1"	"1"	"2"	"0"	"5"	"4"	"5"	"3"	"1"	"8"	"4"	"1"	"1"	"3"	"1"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"185"	"185"	"16"	"1"	"0"	"202"	"202"	"1"	"0"
"3378"	"4"	"1"	"10"	"1"	"380"	"137"	"6"	"7"	"4"	"3"	"0"	"3"	"0"	"2"	"8"	"5"	"4"	"0"	"4"	"3"	"1"	"0"	"4"	"1"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"4"	"0"	"0"	"207"	"207"	"1"	"0"
"3379"	"4"	"1"	"10"	"1"	"0"	"128"	"9"	"10"	"0"	"1"	"2"	"2"	"2"	"9"	"15"	"2"	"5"	"0"	"8"	"3"	"4"	"0"	"7"	"2"	"13"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"8"	"0"	"0"	"233"	"233"	"1"	"0"
