"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VAMOS"	"PAN"	"UCN"	"TODOS"	"FUERZA"	"PC"	"VIVA"	"BIEN"	"SEMILLA"	"VALOR"	"FCN_NACION"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"6861"	"4"	"5"	"7"	"2"	"0"	"56"	"2"	"11"	"22"	"28"	"4"	"80"	"13"	"8"	"5"	"7"	"32"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"8"	"4"	"0"	"280"	"280"	"1"	"0"
"6862"	"4"	"5"	"7"	"2"	"0"	"59"	"3"	"20"	"15"	"28"	"2"	"46"	"8"	"5"	"6"	"4"	"31"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"9"	"2"	"0"	"238"	"238"	"1"	"0"
"6863"	"4"	"5"	"7"	"2"	"400"	"62"	"3"	"12"	"18"	"26"	"3"	"67"	"22"	"7"	"9"	"8"	"41"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"8"	"5"	"8"	"291"	"291"	"1"	"0"
"6864"	"4"	"5"	"7"	"2"	"400"	"70"	"4"	"12"	"21"	"22"	"0"	"62"	"13"	"7"	"2"	"6"	"38"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"11"	"4"	"0"	"272"	"272"	"1"	"0"
"6865"	"4"	"5"	"7"	"2"	"400"	"60"	"2"	"11"	"19"	"19"	"3"	"61"	"16"	"6"	"3"	"7"	"35"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"11"	"3"	"0"	"256"	"256"	"1"	"0"
"6866"	"4"	"5"	"7"	"2"	"365"	"57"	"4"	"8"	"15"	"25"	"0"	"72"	"13"	"5"	"5"	"8"	"36"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"5"	"0"	"0"	"253"	"253"	"1"	"0"
"6867"	"4"	"5"	"7"	"2"	"364"	"57"	"4"	"11"	"26"	"34"	"3"	"75"	"17"	"2"	"8"	"3"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"1"	"0"	"0"	"264"	"264"	"1"	"0"
"6868"	"4"	"5"	"7"	"2"	"380"	"39"	"15"	"10"	"102"	"13"	"5"	"29"	"14"	"4"	"0"	"1"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"14"	"5"	"0"	"264"	"264"	"1"	"0"
"6869"	"4"	"5"	"7"	"2"	"373"	"54"	"16"	"4"	"83"	"11"	"0"	"44"	"12"	"4"	"2"	"0"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"17"	"8"	"0"	"277"	"277"	"1"	"0"
"6870"	"4"	"5"	"7"	"2"	"380"	"65"	"11"	"4"	"90"	"10"	"0"	"37"	"13"	"5"	"0"	"0"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"15"	"2"	"0"	"269"	"269"	"1"	"0"
