"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"LA_MUTA"	"UNE"	"VALOR"	"VIVA"	"LIBRE"	"CONVERGENCIA"	"CREO"	"TODOS"	"PPT"	"PHG"	"CHIQUMULA_VERDE"	"AVANZA"	"PAN"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"19207"	"4"	"20"	"1"	"2"	"260"	"18"	"49"	"15"	"10"	"5"	"25"	"1"	"3"	"3"	"0"	"7"	"6"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"147"	"147"	"4"	"1"	"0"	"152"	"152"	"1"	"0"
"19208"	"4"	"20"	"1"	"2"	"263"	"20"	"27"	"14"	"7"	"9"	"19"	"2"	"15"	"7"	"0"	"5"	"11"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"141"	"141"	"4"	"2"	"0"	"147"	"147"	"1"	"0"
"19209"	"4"	"20"	"1"	"2"	"396"	"17"	"53"	"35"	"16"	"23"	"27"	"2"	"7"	"11"	"2"	"8"	"7"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"23"	"4"	"0"	"239"	"239"	"1"	"0"
"19210"	"4"	"20"	"1"	"2"	"396"	"17"	"68"	"28"	"16"	"22"	"27"	"2"	"9"	"12"	"1"	"4"	"15"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"7"	"5"	"0"	"241"	"241"	"1"	"0"
"19211"	"4"	"20"	"1"	"2"	"396"	"28"	"82"	"23"	"15"	"25"	"33"	"3"	"12"	"10"	"2"	"10"	"11"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"14"	"5"	"0"	"281"	"281"	"1"	"0"
"19212"	"4"	"20"	"1"	"2"	"400"	"26"	"75"	"33"	"13"	"10"	"47"	"3"	"9"	"11"	"1"	"7"	"11"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"12"	"2"	"0"	"264"	"264"	"1"	"0"
"19213"	"4"	"20"	"1"	"2"	"400"	"25"	"44"	"28"	"13"	"22"	"35"	"1"	"19"	"12"	"1"	"14"	"13"	"4"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"5"	"0"	"0"	"241"	"241"	"1"	"0"
"19214"	"4"	"20"	"1"	"2"	"400"	"30"	"54"	"25"	"14"	"14"	"35"	"2"	"12"	"12"	"4"	"6"	"7"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"16"	"4"	"156"	"244"	"244"	"1"	"0"
"19215"	"4"	"20"	"1"	"2"	"398"	"25"	"65"	"13"	"20"	"20"	"30"	"3"	"13"	"9"	"3"	"12"	"16"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"9"	"2"	"0"	"245"	"245"	"1"	"0"
"19216"	"4"	"20"	"1"	"2"	"397"	"27"	"74"	"15"	"18"	"19"	"36"	"3"	"16"	"10"	"1"	"14"	"13"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"4"	"2"	"0"	"259"	"259"	"1"	"0"
