"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"URNG_MAIZ"	"UNE"	"UCN"	"VAMOS"	"FUERZA"	"WINAQ"	"CONVERGENCIA"	"TODOS"	"VIVA"	"UNIONISTA"	"SEMILLA"	"LIBRE"	"FCN_NACION"	"BIEN"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"13510"	"4"	"13"	"9"	"2"	"379"	"3"	"52"	"26"	"10"	"3"	"4"	"9"	"39"	"22"	"3"	"13"	"0"	"14"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"47"	"20"	"0"	"271"	"271"	"1"	"0"
"13511"	"4"	"13"	"9"	"2"	"380"	"5"	"98"	"24"	"14"	"4"	"3"	"8"	"39"	"13"	"0"	"13"	"0"	"10"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"31"	"13"	"0"	"284"	"284"	"1"	"0"
"13512"	"4"	"13"	"9"	"2"	"380"	"6"	"67"	"24"	"10"	"6"	"5"	"8"	"36"	"14"	"0"	"13"	"0"	"5"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"199"	"199"	"20"	"30"	"0"	"249"	"249"	"1"	"0"
"13513"	"4"	"13"	"9"	"2"	"380"	"4"	"56"	"27"	"15"	"7"	"3"	"11"	"32"	"15"	"1"	"7"	"4"	"10"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"49"	"18"	"0"	"272"	"272"	"1"	"0"
"13514"	"4"	"13"	"9"	"2"	"213"	"1"	"33"	"15"	"10"	"7"	"1"	"3"	"16"	"4"	"0"	"10"	"0"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"107"	"107"	"18"	"9"	"0"	"134"	"134"	"1"	"0"
"13515"	"4"	"13"	"9"	"2"	"210"	"1"	"44"	"21"	"9"	"3"	"2"	"5"	"25"	"7"	"1"	"4"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"127"	"127"	"13"	"10"	"0"	"150"	"150"	"1"	"0"
"13516"	"4"	"13"	"9"	"2"	"380"	"2"	"131"	"11"	"2"	"9"	"12"	"25"	"51"	"10"	"3"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"10"	"7"	"0"	"279"	"279"	"1"	"0"
"13517"	"4"	"13"	"9"	"2"	"331"	"6"	"111"	"13"	"3"	"3"	"3"	"29"	"43"	"6"	"1"	"5"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"17"	"10"	"0"	"251"	"251"	"1"	"0"
"13518"	"4"	"13"	"9"	"2"	"326"	"3"	"83"	"10"	"1"	"3"	"6"	"20"	"32"	"5"	"2"	"6"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"17"	"10"	"0"	"203"	"203"	"1"	"0"
"13519"	"4"	"13"	"9"	"2"	"376"	"2"	"107"	"21"	"2"	"12"	"2"	"34"	"23"	"12"	"6"	"6"	"0"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"22"	"16"	"0"	"275"	"275"	"1"	"0"
"13520"	"4"	"13"	"9"	"2"	"379"	"1"	"91"	"42"	"1"	"6"	"2"	"17"	"27"	"10"	"5"	"5"	"0"	"12"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"22"	"18"	"0"	"262"	"262"	"1"	"0"
"13521"	"4"	"13"	"9"	"2"	"380"	"3"	"90"	"22"	"3"	"16"	"2"	"35"	"20"	"5"	"8"	"7"	"0"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"23"	"11"	"0"	"254"	"254"	"1"	"0"
"13522"	"4"	"13"	"9"	"2"	"283"	"1"	"65"	"16"	"3"	"14"	"1"	"13"	"19"	"5"	"9"	"5"	"0"	"9"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"165"	"165"	"19"	"8"	"0"	"192"	"192"	"1"	"0"
"13523"	"4"	"13"	"9"	"2"	"282"	"3"	"67"	"16"	"4"	"8"	"1"	"15"	"14"	"5"	"6"	"3"	"0"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"151"	"151"	"13"	"5"	"0"	"169"	"169"	"1"	"0"
"13524"	"4"	"13"	"9"	"2"	"600"	"12"	"55"	"19"	"3"	"13"	"8"	"7"	"64"	"33"	"3"	"2"	"2"	"20"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"15"	"9"	"328"	"272"	"272"	"1"	"0"
"13525"	"4"	"13"	"9"	"2"	"319"	"5"	"25"	"10"	"2"	"9"	"1"	"6"	"21"	"15"	"0"	"3"	"0"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"104"	"104"	"7"	"6"	"202"	"117"	"117"	"1"	"0"
"13526"	"4"	"13"	"9"	"2"	"320"	"4"	"19"	"13"	"1"	"4"	"2"	"5"	"12"	"5"	"3"	"1"	"0"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"77"	"77"	"4"	"2"	"0"	"83"	"83"	"1"	"0"
