"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"VALOR"	"UCN"	"PC"	"PAN"	"PHG"	"TODOS"	"CREO"	"FCN_NACION"	"MLP"	"LIBRE"	"SEMILLA"	"UNIONISTA"	"BIEN"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18528"	"4"	"18"	"3"	"2"	"401"	"16"	"55"	"19"	"10"	"16"	"1"	"15"	"62"	"26"	"1"	"7"	"2"	"13"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"36"	"5"	"0"	"294"	"294"	"1"	"0"
"18529"	"4"	"18"	"3"	"2"	"400"	"13"	"69"	"23"	"18"	"27"	"1"	"13"	"51"	"37"	"1"	"8"	"2"	"13"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"283"	"15"	"1"	"0"	"299"	"299"	"1"	"0"
"18530"	"4"	"18"	"3"	"2"	"401"	"14"	"65"	"18"	"11"	"21"	"0"	"15"	"49"	"35"	"3"	"7"	"0"	"6"	"9"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"18"	"6"	"0"	"280"	"280"	"1"	"0"
"18531"	"4"	"18"	"3"	"2"	"400"	"9"	"64"	"21"	"19"	"31"	"1"	"6"	"52"	"27"	"5"	"2"	"2"	"13"	"15"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"18"	"3"	"0"	"289"	"289"	"1"	"0"
"18532"	"4"	"18"	"3"	"2"	"402"	"12"	"61"	"16"	"20"	"21"	"2"	"14"	"43"	"23"	"4"	"8"	"2"	"13"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"8"	"2"	"13"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"19"	"1"	"0"	"266"	"266"	"1"	"0"
"18533"	"4"	"18"	"3"	"2"	"400"	"10"	"66"	"24"	"11"	"22"	"4"	"14"	"47"	"30"	"1"	"2"	"2"	"13"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"13"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"14"	"2"	"0"	"273"	"273"	"1"	"0"
"18534"	"4"	"18"	"3"	"2"	"400"	"17"	"54"	"22"	"16"	"27"	"5"	"9"	"54"	"38"	"1"	"3"	"0"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"8"	"1"	"0"	"262"	"262"	"1"	"0"
"18535"	"4"	"18"	"3"	"2"	"400"	"16"	"49"	"18"	"15"	"26"	"1"	"7"	"48"	"23"	"4"	"3"	"0"	"9"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"7"	"2"	"0"	"235"	"235"	"1"	"0"
"18536"	"4"	"18"	"3"	"2"	"400"	"12"	"72"	"16"	"11"	"27"	"0"	"6"	"61"	"25"	"1"	"5"	"1"	"7"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"3"	"0"	"0"	"255"	"255"	"1"	"0"
"18537"	"4"	"18"	"3"	"2"	"392"	"15"	"50"	"19"	"11"	"37"	"0"	"8"	"66"	"33"	"1"	"1"	"2"	"16"	"11"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"6"	"1"	"0"	"278"	"278"	"1"	"0"
"18538"	"4"	"18"	"3"	"2"	"395"	"14"	"64"	"15"	"14"	"14"	"0"	"7"	"50"	"20"	"2"	"1"	"4"	"9"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"24"	"3"	"0"	"247"	"247"	"1"	"0"
"18539"	"4"	"18"	"3"	"2"	"400"	"3"	"64"	"3"	"18"	"15"	"0"	"6"	"96"	"32"	"1"	"1"	"0"	"24"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"22"	"1"	"0"	"292"	"292"	"1"	"0"
"18540"	"4"	"18"	"3"	"2"	"398"	"3"	"57"	"7"	"18"	"15"	"4"	"5"	"66"	"65"	"0"	"1"	"1"	"20"	"11"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"12"	"6"	"0"	"292"	"292"	"1"	"0"
"18541"	"4"	"18"	"3"	"2"	"400"	"4"	"47"	"3"	"14"	"41"	"0"	"4"	"67"	"38"	"1"	"0"	"0"	"11"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"19"	"5"	"0"	"263"	"263"	"1"	"0"
"18542"	"4"	"18"	"3"	"2"	"400"	"4"	"58"	"7"	"12"	"28"	"0"	"8"	"47"	"57"	"0"	"2"	"1"	"14"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"19"	"8"	"0"	"273"	"273"	"1"	"0"
"18543"	"4"	"18"	"3"	"2"	"397"	"2"	"76"	"12"	"23"	"28"	"1"	"6"	"67"	"49"	"3"	"0"	"0"	"24"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"293"	"293"	"17"	"5"	"0"	"315"	"315"	"1"	"0"
"18544"	"4"	"18"	"3"	"2"	"400"	"1"	"82"	"13"	"23"	"15"	"2"	"4"	"41"	"41"	"4"	"1"	"1"	"17"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"24"	"6"	"2"	"283"	"283"	"1"	"0"
"18545"	"4"	"18"	"3"	"2"	"395"	"3"	"68"	"9"	"7"	"27"	"0"	"5"	"49"	"54"	"2"	"2"	"0"	"18"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"20"	"5"	"0"	"277"	"277"	"1"	"0"
