"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"CREO"	"TODOS"	"EG"	"EL_ZOMPOPO"	"PHG"	"FCN_NACION"	"PPT"	"UNE"	"CASA"	"PODEMOS"	"CHICH"	"FUERZA"	"PC"	"BIEN"	"UNIONISTA"	"UCN"	"MLP"	"SOL"	"LIBRE"	"SEMILLA"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"5245"	"4"	"3"	"1"	"2"	"400"	"36"	"5"	"8"	"3"	"9"	"3"	"10"	"4"	"37"	"24"	"6"	"43"	"7"	"8"	"4"	"3"	"3"	"3"	"11"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"15"	"4"	"0"	"255"	"255"	"1"	"0"
"5246"	"4"	"3"	"1"	"2"	"400"	"46"	"8"	"6"	"3"	"9"	"4"	"2"	"6"	"44"	"28"	"2"	"52"	"10"	"9"	"0"	"2"	"1"	"2"	"14"	"2"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"8"	"2"	"0"	"271"	"271"	"1"	"0"
"5247"	"4"	"3"	"1"	"2"	"400"	"39"	"3"	"5"	"5"	"15"	"2"	"5"	"4"	"54"	"18"	"12"	"40"	"9"	"6"	"0"	"5"	"0"	"1"	"7"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"11"	"4"	"0"	"253"	"253"	"1"	"0"
"5248"	"4"	"3"	"1"	"2"	"400"	"22"	"7"	"2"	"1"	"24"	"2"	"1"	"2"	"40"	"24"	"10"	"37"	"12"	"10"	"2"	"2"	"0"	"3"	"6"	"4"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"2"	"3"	"0"	"228"	"228"	"1"	"0"
"5249"	"4"	"3"	"1"	"2"	"396"	"27"	"8"	"5"	"3"	"19"	"1"	"7"	"5"	"42"	"31"	"4"	"42"	"7"	"6"	"2"	"5"	"1"	"3"	"8"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"10"	"3"	"0"	"246"	"246"	"1"	"0"
"5250"	"4"	"3"	"1"	"2"	"396"	"33"	"3"	"4"	"2"	"17"	"6"	"11"	"0"	"34"	"29"	"2"	"43"	"13"	"5"	"4"	"6"	"0"	"2"	"7"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"12"	"3"	"0"	"243"	"243"	"1"	"0"
"5251"	"4"	"3"	"1"	"2"	"400"	"28"	"6"	"5"	"2"	"16"	"4"	"4"	"4"	"56"	"24"	"4"	"36"	"5"	"4"	"4"	"8"	"2"	"3"	"9"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"11"	"2"	"0"	"246"	"246"	"1"	"0"
"5252"	"4"	"3"	"1"	"2"	"400"	"22"	"2"	"6"	"2"	"15"	"5"	"11"	"2"	"52"	"19"	"3"	"35"	"17"	"3"	"6"	"2"	"3"	"8"	"7"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"6"	"4"	"0"	"236"	"236"	"1"	"0"
"5253"	"4"	"3"	"1"	"2"	"383"	"42"	"14"	"5"	"1"	"16"	"5"	"4"	"1"	"45"	"22"	"2"	"32"	"10"	"2"	"2"	"9"	"2"	"2"	"8"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"9"	"5"	"0"	"244"	"244"	"1"	"0"
"5254"	"4"	"3"	"1"	"2"	"394"	"31"	"7"	"6"	"3"	"15"	"2"	"6"	"2"	"52"	"17"	"2"	"33"	"6"	"3"	"2"	"4"	"2"	"4"	"13"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"7"	"9"	"159"	"235"	"235"	"1"	"0"
