"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"RETO"	"UCN"	"PC"	"VAMOS"	"RENACER_CHIQUIMULILLA"	"FCN_NACION"	"WINAQ"	"TODOS"	"UNE"	"CREO"	"VALOR"	"SEMILLA"	"PHG"	"CCP"	"PAN"	"MLP"	"EG"	"AVANZA"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7584"	"4"	"6"	"8"	"2"	"400"	"17"	"10"	"48"	"25"	"1"	"25"	"1"	"7"	"49"	"2"	"1"	"4"	"38"	"1"	"3"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"2"	"2"	"0"	"238"	"238"	"1"	"0"
"7585"	"4"	"6"	"8"	"2"	"400"	"19"	"11"	"46"	"25"	"2"	"37"	"0"	"7"	"53"	"1"	"11"	"3"	"37"	"1"	"2"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"4"	"3"	"0"	"264"	"264"	"1"	"0"
"7586"	"4"	"6"	"8"	"2"	"400"	"20"	"12"	"53"	"22"	"2"	"34"	"1"	"6"	"63"	"2"	"6"	"6"	"34"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"17"	"6"	"0"	"288"	"288"	"1"	"0"
"7587"	"4"	"6"	"8"	"2"	"400"	"21"	"16"	"57"	"17"	"7"	"30"	"1"	"3"	"64"	"2"	"5"	"6"	"33"	"3"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"9"	"2"	"0"	"280"	"280"	"1"	"0"
"7588"	"4"	"6"	"8"	"2"	"400"	"13"	"17"	"54"	"23"	"2"	"35"	"2"	"11"	"51"	"0"	"5"	"4"	"36"	"1"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"8"	"0"	"0"	"266"	"266"	"1"	"0"
"7589"	"4"	"6"	"8"	"2"	"400"	"24"	"15"	"55"	"25"	"6"	"29"	"1"	"5"	"47"	"0"	"4"	"4"	"45"	"2"	"0"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"8"	"4"	"0"	"278"	"278"	"1"	"0"
"7590"	"4"	"6"	"8"	"2"	"400"	"21"	"11"	"41"	"27"	"2"	"34"	"3"	"10"	"60"	"2"	"6"	"3"	"37"	"2"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"26"	"5"	"0"	"294"	"294"	"1"	"0"
"7591"	"4"	"6"	"8"	"2"	"400"	"19"	"13"	"51"	"22"	"3"	"34"	"2"	"9"	"34"	"3"	"8"	"9"	"44"	"2"	"2"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"9"	"6"	"0"	"275"	"275"	"1"	"0"
"7592"	"4"	"6"	"8"	"2"	"400"	"25"	"12"	"42"	"24"	"2"	"37"	"1"	"9"	"48"	"2"	"7"	"5"	"44"	"0"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"5"	"6"	"0"	"273"	"273"	"1"	"0"
"7593"	"4"	"6"	"8"	"2"	"400"	"17"	"13"	"37"	"28"	"1"	"39"	"0"	"9"	"59"	"2"	"9"	"7"	"30"	"2"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"5"	"7"	"0"	"271"	"271"	"1"	"0"
