"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"BIEN"	"UCN"	"FCN_NACION"	"UNE"	"CREO"	"UNIONISTA"	"VAMOS"	"URNG_MAIZ"	"SEMILLA"	"VIVA"	"FUERZA"	"MLP"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18127"	"4"	"17"	"12"	"2"	"400"	"5"	"64"	"39"	"7"	"4"	"5"	"5"	"3"	"4"	"58"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"3"	"0"	"0"	"200"	"200"	"1"	"0"
"18128"	"4"	"17"	"12"	"2"	"398"	"7"	"48"	"46"	"18"	"3"	"8"	"4"	"0"	"4"	"67"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"8"	"5"	"0"	"227"	"227"	"1"	"0"
"18129"	"4"	"17"	"12"	"2"	"423"	"8"	"62"	"55"	"20"	"4"	"6"	"6"	"4"	"1"	"62"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"8"	"1"	"0"	"243"	"243"	"1"	"0"
"18130"	"4"	"17"	"12"	"2"	"400"	"9"	"67"	"41"	"17"	"5"	"2"	"2"	"3"	"1"	"74"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"9"	"1"	"0"	"235"	"235"	"1"	"0"
"18131"	"4"	"17"	"12"	"2"	"402"	"11"	"54"	"51"	"22"	"5"	"3"	"3"	"3"	"2"	"68"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"7"	"5"	"0"	"240"	"240"	"1"	"0"
"18132"	"4"	"17"	"12"	"2"	"400"	"6"	"70"	"50"	"13"	"7"	"6"	"5"	"4"	"5"	"72"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"7"	"2"	"0"	"253"	"253"	"1"	"0"
"18133"	"4"	"17"	"12"	"2"	"399"	"3"	"66"	"72"	"25"	"2"	"8"	"2"	"0"	"2"	"75"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"8"	"1"	"0"	"267"	"267"	"1"	"0"
"18134"	"4"	"17"	"12"	"2"	"400"	"4"	"63"	"33"	"23"	"2"	"8"	"4"	"1"	"2"	"99"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"11"	"2"	"0"	"259"	"259"	"1"	"0"
"18135"	"4"	"17"	"12"	"2"	"400"	"5"	"56"	"48"	"17"	"5"	"2"	"3"	"0"	"3"	"77"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"12"	"4"	"0"	"237"	"237"	"1"	"0"
"18136"	"4"	"17"	"12"	"2"	"401"	"5"	"69"	"39"	"12"	"3"	"4"	"6"	"0"	"0"	"77"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"15"	"5"	"0"	"242"	"242"	"1"	"0"
