"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"TODOS"	"FUERZA"	"MAS_UNIDOS"	"EG"	"CREO"	"VAMOS"	"PODEMOS"	"PPT"	"BIEN"	"PHG"	"LIBRE"	"FCN_NACION"	"AVANZA"	"UNE"	"MLP"	"PC"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"5355"	"4"	"3"	"3"	"2"	"336"	"1"	"3"	"14"	"40"	"13"	"27"	"4"	"2"	"4"	"3"	"7"	"1"	"5"	"28"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"158"	"158"	"20"	"13"	"0"	"191"	"191"	"1"	"0"
"5356"	"4"	"3"	"3"	"2"	"334"	"2"	"5"	"15"	"42"	"16"	"19"	"5"	"4"	"5"	"3"	"8"	"0"	"3"	"28"	"3"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"167"	"167"	"4"	"2"	"0"	"173"	"173"	"1"	"0"
"5357"	"4"	"3"	"3"	"2"	"390"	"4"	"8"	"38"	"15"	"23"	"7"	"16"	"1"	"1"	"7"	"1"	"5"	"4"	"11"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"148"	"148"	"30"	"7"	"0"	"185"	"185"	"1"	"0"
"5358"	"4"	"3"	"3"	"2"	"385"	"3"	"3"	"45"	"21"	"27"	"16"	"17"	"3"	"0"	"4"	"0"	"0"	"3"	"16"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"163"	"163"	"26"	"10"	"0"	"199"	"199"	"1"	"0"
"5359"	"4"	"3"	"3"	"2"	"380"	"1"	"10"	"37"	"16"	"16"	"21"	"19"	"11"	"2"	"4"	"1"	"5"	"2"	"13"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"162"	"162"	"23"	"10"	"0"	"195"	"195"	"1"	"0"
"5360"	"4"	"3"	"3"	"2"	"380"	"6"	"19"	"31"	"18"	"25"	"23"	"17"	"7"	"1"	"5"	"0"	"1"	"0"	"12"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"173"	"173"	"14"	"7"	"0"	"194"	"194"	"1"	"0"
"5361"	"4"	"3"	"3"	"2"	"380"	"1"	"31"	"40"	"14"	"23"	"11"	"15"	"3"	"0"	"3"	"4"	"1"	"2"	"6"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"157"	"157"	"24"	"10"	"0"	"191"	"191"	"1"	"0"
"5362"	"4"	"3"	"3"	"2"	"379"	"4"	"24"	"40"	"17"	"31"	"16"	"15"	"5"	"1"	"2"	"5"	"1"	"2"	"11"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"13"	"13"	"0"	"202"	"202"	"1"	"0"
"5363"	"4"	"3"	"3"	"2"	"380"	"4"	"27"	"55"	"37"	"24"	"11"	"23"	"7"	"1"	"5"	"2"	"1"	"1"	"9"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"11"	"5"	"0"	"228"	"228"	"1"	"0"
"5364"	"4"	"3"	"3"	"2"	"380"	"2"	"22"	"41"	"15"	"21"	"17"	"11"	"3"	"1"	"5"	"3"	"3"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"152"	"152"	"5"	"2"	"0"	"159"	"159"	"1"	"0"
"5365"	"4"	"3"	"3"	"2"	"380"	"0"	"15"	"34"	"23"	"17"	"16"	"12"	"1"	"3"	"4"	"3"	"1"	"3"	"15"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"153"	"153"	"15"	"7"	"0"	"175"	"175"	"1"	"0"
"5366"	"4"	"3"	"3"	"2"	"380"	"2"	"11"	"41"	"24"	"21"	"20"	"13"	"5"	"1"	"2"	"2"	"5"	"1"	"11"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"163"	"163"	"15"	"9"	"0"	"187"	"187"	"1"	"0"
"5367"	"4"	"3"	"3"	"2"	"380"	"2"	"15"	"36"	"24"	"12"	"18"	"13"	"2"	"0"	"4"	"3"	"2"	"1"	"7"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"146"	"146"	"13"	"6"	"0"	"165"	"165"	"1"	"0"
"5368"	"4"	"3"	"3"	"2"	"393"	"5"	"13"	"35"	"11"	"18"	"20"	"10"	"5"	"4"	"2"	"2"	"1"	"0"	"17"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"150"	"150"	"23"	"4"	"0"	"177"	"177"	"1"	"0"
"5369"	"4"	"3"	"3"	"2"	"382"	"1"	"24"	"40"	"14"	"17"	"13"	"8"	"3"	"0"	"3"	"3"	"2"	"2"	"10"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"147"	"147"	"14"	"3"	"0"	"164"	"164"	"1"	"0"
"5370"	"4"	"3"	"3"	"2"	"205"	"1"	"15"	"30"	"13"	"14"	"19"	"10"	"3"	"1"	"3"	"1"	"1"	"0"	"4"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"119"	"119"	"0"	"1"	"0"	"120"	"120"	"1"	"0"
"5371"	"4"	"3"	"3"	"2"	"205"	"1"	"19"	"20"	"12"	"8"	"14"	"11"	"1"	"1"	"2"	"1"	"0"	"0"	"3"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"96"	"96"	"1"	"5"	"0"	"102"	"102"	"1"	"0"
"5372"	"4"	"3"	"3"	"2"	"380"	"2"	"12"	"13"	"31"	"8"	"28"	"36"	"3"	"2"	"11"	"5"	"3"	"7"	"17"	"3"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"187"	"187"	"22"	"6"	"0"	"215"	"215"	"1"	"0"
"5373"	"4"	"3"	"3"	"2"	"383"	"2"	"17"	"13"	"26"	"4"	"41"	"34"	"12"	"4"	"4"	"6"	"5"	"4"	"10"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"10"	"16"	"0"	"215"	"215"	"1"	"0"
"5374"	"4"	"3"	"3"	"2"	"386"	"3"	"12"	"13"	"42"	"6"	"49"	"30"	"11"	"2"	"0"	"3"	"7"	"3"	"17"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"199"	"199"	"13"	"2"	"0"	"214"	"214"	"1"	"0"
"5375"	"4"	"3"	"3"	"2"	"380"	"6"	"7"	"23"	"40"	"8"	"37"	"29"	"7"	"2"	"2"	"4"	"2"	"3"	"9"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"187"	"187"	"6"	"4"	"0"	"197"	"197"	"1"	"0"
"5376"	"4"	"3"	"3"	"2"	"386"	"2"	"10"	"22"	"33"	"4"	"51"	"31"	"3"	"0"	"2"	"4"	"3"	"5"	"9"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"186"	"18"	"12"	"0"	"216"	"216"	"1"	"0"
"5377"	"4"	"3"	"3"	"2"	"243"	"1"	"5"	"10"	"26"	"6"	"16"	"19"	"4"	"0"	"1"	"2"	"1"	"3"	"6"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"103"	"103"	"13"	"3"	"0"	"119"	"119"	"1"	"0"
"5378"	"4"	"3"	"3"	"2"	"242"	"1"	"7"	"16"	"23"	"3"	"23"	"14"	"6"	"1"	"0"	"4"	"4"	"2"	"4"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"111"	"111"	"5"	"4"	"0"	"120"	"120"	"1"	"0"
"5379"	"4"	"3"	"3"	"2"	"380"	"2"	"10"	"80"	"32"	"33"	"15"	"14"	"2"	"2"	"17"	"1"	"1"	"3"	"10"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"15"	"3"	"0"	"247"	"247"	"1"	"0"
"5380"	"4"	"3"	"3"	"2"	"380"	"2"	"11"	"89"	"37"	"23"	"14"	"9"	"2"	"2"	"3"	"1"	"4"	"8"	"16"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"22"	"9"	"0"	"257"	"257"	"1"	"0"
