"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"FCN_NACION"	"UCN"	"TODOS"	"PAN"	"SEMILLA"	"PC"	"VALOR"	"UNE"	"BIEN"	"PHG"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"14379"	"4"	"13"	"27"	"2"	"380"	"8"	"27"	"71"	"16"	"5"	"11"	"1"	"11"	"31"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"185"	"185"	"8"	"5"	"0"	"198"	"198"	"1"	"0"
"14380"	"4"	"13"	"27"	"2"	"371"	"11"	"27"	"37"	"4"	"7"	"10"	"0"	"11"	"23"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"131"	"131"	"7"	"2"	"0"	"140"	"140"	"1"	"0"
"14381"	"4"	"13"	"27"	"2"	"290"	"1"	"30"	"18"	"8"	"4"	"4"	"1"	"5"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"98"	"98"	"6"	"1"	"0"	"105"	"105"	"1"	"0"
"14382"	"4"	"13"	"27"	"2"	"289"	"13"	"22"	"25"	"8"	"5"	"4"	"0"	"6"	"23"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"107"	"107"	"0"	"3"	"7"	"110"	"110"	"1"	"0"
"14383"	"4"	"13"	"27"	"2"	"376"	"3"	"57"	"36"	"8"	"11"	"9"	"0"	"10"	"25"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"166"	"166"	"21"	"4"	"0"	"191"	"191"	"1"	"0"
"14384"	"4"	"13"	"27"	"2"	"378"	"3"	"67"	"24"	"3"	"12"	"12"	"1"	"6"	"39"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"172"	"172"	"23"	"7"	"0"	"202"	"202"	"1"	"0"
"14385"	"4"	"13"	"27"	"2"	"374"	"5"	"60"	"15"	"5"	"5"	"10"	"0"	"4"	"28"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"134"	"134"	"12"	"12"	"0"	"158"	"158"	"1"	"0"
"14386"	"4"	"13"	"27"	"2"	"255"	"3"	"40"	"25"	"6"	"5"	"7"	"1"	"5"	"24"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"117"	"117"	"6"	"3"	"0"	"126"	"126"	"1"	"0"
"14387"	"4"	"13"	"27"	"2"	"255"	"1"	"55"	"14"	"8"	"5"	"7"	"0"	"1"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"102"	"102"	"10"	"5"	"0"	"117"	"117"	"1"	"0"
"14388"	"4"	"13"	"27"	"2"	"596"	"1"	"17"	"8"	"1"	"7"	"6"	"0"	"11"	"17"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"72"	"72"	"7"	"6"	"0"	"85"	"85"	"1"	"0"
"14389"	"4"	"13"	"27"	"2"	"593"	"2"	"18"	"13"	"6"	"17"	"14"	"0"	"8"	"15"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"99"	"99"	"5"	"6"	"0"	"110"	"110"	"1"	"0"
"14390"	"4"	"13"	"27"	"2"	"449"	"4"	"12"	"5"	"2"	"4"	"9"	"3"	"10"	"7"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"58"	"58"	"1"	"4"	"0"	"63"	"63"	"1"	"0"
"14391"	"4"	"13"	"27"	"2"	"449"	"1"	"12"	"3"	"1"	"3"	"2"	"0"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"25"	"25"	"1"	"1"	"0"	"27"	"27"	"1"	"0"
