"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"WINAQ"	"PC"	"FCN_NACION"	"UCN"	"VIVA"	"TODOS"	"CREO"	"VALOR"	"SEMILLA"	"UNIONISTA"	"VICTORIA"	"PODEMOS"	"BIEN"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"17441"	"4"	"16"	"16"	"2"	"394"	"7"	"60"	"2"	"14"	"10"	"18"	"5"	"0"	"2"	"54"	"2"	"38"	"27"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"10"	"7"	"0"	"261"	"261"	"1"	"0"
"17442"	"4"	"16"	"16"	"2"	"396"	"3"	"53"	"0"	"20"	"16"	"23"	"3"	"0"	"2"	"48"	"1"	"33"	"43"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"12"	"2"	"0"	"268"	"268"	"1"	"0"
"17443"	"4"	"16"	"16"	"2"	"400"	"4"	"56"	"4"	"10"	"22"	"28"	"12"	"1"	"1"	"52"	"0"	"47"	"29"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"14"	"5"	"0"	"294"	"294"	"1"	"0"
"17444"	"4"	"16"	"16"	"2"	"397"	"7"	"73"	"1"	"24"	"11"	"29"	"5"	"1"	"1"	"42"	"2"	"45"	"40"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"24"	"4"	"0"	"397"	"316"	"0"	"0"
"17445"	"4"	"16"	"16"	"2"	"395"	"6"	"63"	"2"	"13"	"14"	"39"	"6"	"4"	"3"	"40"	"1"	"48"	"33"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"282"	"19"	"4"	"0"	"305"	"305"	"1"	"0"
"17446"	"4"	"16"	"16"	"2"	"396"	"1"	"65"	"0"	"15"	"22"	"18"	"5"	"2"	"4"	"48"	"3"	"43"	"39"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"10"	"3"	"0"	"285"	"285"	"1"	"0"
"17447"	"4"	"16"	"16"	"2"	"396"	"3"	"72"	"2"	"19"	"12"	"24"	"2"	"0"	"2"	"37"	"1"	"34"	"33"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"248"	"18"	"6"	"0"	"272"	"272"	"0"	"0"
"17448"	"4"	"16"	"16"	"2"	"393"	"3"	"65"	"1"	"18"	"15"	"15"	"6"	"1"	"3"	"73"	"1"	"37"	"22"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"265"	"4"	"1"	"0"	"273"	"270"	"0"	"0"
"17449"	"4"	"16"	"16"	"2"	"400"	"3"	"68"	"2"	"21"	"10"	"33"	"4"	"2"	"1"	"54"	"3"	"38"	"50"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"295"	"295"	"4"	"2"	"0"	"301"	"301"	"1"	"0"
"17450"	"4"	"16"	"16"	"2"	"243"	"3"	"35"	"0"	"13"	"7"	"24"	"4"	"2"	"1"	"36"	"0"	"28"	"15"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"172"	"172"	"4"	"2"	"0"	"178"	"178"	"1"	"0"
"17451"	"4"	"16"	"16"	"2"	"240"	"2"	"46"	"1"	"14"	"8"	"9"	"7"	"0"	"1"	"36"	"0"	"21"	"15"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"164"	"164"	"6"	"5"	"0"	"175"	"175"	"1"	"0"
"17452"	"4"	"16"	"16"	"2"	"398"	"4"	"48"	"4"	"27"	"16"	"15"	"2"	"1"	"3"	"40"	"1"	"89"	"15"	"18"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"14"	"3"	"0"	"301"	"301"	"1"	"0"
"17453"	"4"	"16"	"16"	"2"	"393"	"0"	"48"	"3"	"19"	"14"	"29"	"0"	"1"	"3"	"67"	"2"	"74"	"16"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"13"	"3"	"0"	"304"	"304"	"1"	"0"
