"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"UNE"	"VAMOS"	"TODOS"	"CCM"	"VICTORIA"	"PHG"	"UNIONISTA"	"SEMILLA"	"CREO"	"PC"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7375"	"4"	"6"	"2"	"2"	"380"	"20"	"40"	"0"	"9"	"87"	"14"	"2"	"46"	"4"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"24"	"8"	"0"	"261"	"261"	"1"	"0"
"7376"	"4"	"6"	"2"	"2"	"376"	"19"	"48"	"3"	"6"	"97"	"10"	"0"	"54"	"2"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"25"	"4"	"0"	"274"	"274"	"1"	"0"
"7377"	"4"	"6"	"2"	"2"	"376"	"17"	"34"	"3"	"7"	"94"	"9"	"1"	"53"	"5"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"21"	"6"	"0"	"257"	"257"	"1"	"0"
"7378"	"4"	"6"	"2"	"2"	"374"	"19"	"35"	"0"	"6"	"100"	"14"	"1"	"53"	"5"	"5"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"17"	"3"	"0"	"266"	"266"	"1"	"0"
"7379"	"4"	"6"	"2"	"2"	"373"	"14"	"36"	"0"	"5"	"95"	"17"	"2"	"50"	"7"	"7"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"25"	"4"	"1"	"268"	"267"	"0"	"0"
"7380"	"4"	"6"	"2"	"2"	"377"	"12"	"32"	"3"	"10"	"83"	"17"	"1"	"58"	"4"	"4"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"9"	"0"	"0"	"238"	"238"	"1"	"0"
"7381"	"4"	"6"	"2"	"2"	"376"	"13"	"30"	"1"	"11"	"84"	"12"	"1"	"71"	"6"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"4"	"0"	"0"	"238"	"238"	"1"	"0"
"7382"	"4"	"6"	"2"	"2"	"376"	"13"	"47"	"1"	"5"	"96"	"14"	"1"	"52"	"3"	"11"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"18"	"4"	"0"	"268"	"268"	"1"	"0"
"7383"	"4"	"6"	"2"	"2"	"376"	"12"	"42"	"2"	"6"	"90"	"19"	"2"	"57"	"3"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"23"	"5"	"0"	"267"	"267"	"1"	"0"
"7384"	"4"	"6"	"2"	"2"	"380"	"15"	"51"	"1"	"14"	"87"	"16"	"0"	"60"	"3"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"20"	"2"	"0"	"277"	"277"	"1"	"0"
