"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VAMOS"	"VALOR"	"C_C_L_M_"	"VICTORIA"	"BIEN"	"MLP"	"PODEMOS"	"FCN_NACION"	"AVANZA"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"10072"	"4"	"9"	"21"	"2"	"400"	"81"	"14"	"79"	"4"	"1"	"3"	"1"	"1"	"53"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"237"	"3"	"6"	"0"	"246"	"246"	"0"	"0"
"10073"	"4"	"9"	"21"	"2"	"400"	"74"	"15"	"89"	"4"	"2"	"4"	"2"	"0"	"68"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"5"	"6"	"0"	"269"	"269"	"1"	"0"
"10074"	"4"	"9"	"21"	"2"	"400"	"75"	"8"	"102"	"0"	"0"	"6"	"1"	"0"	"63"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"256"	"4"	"5"	"0"	"266"	"265"	"0"	"0"
"10075"	"4"	"9"	"21"	"2"	"396"	"77"	"14"	"104"	"0"	"1"	"4"	"8"	"0"	"42"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"151"	"251"	"4"	"2"	"0"	"157"	"257"	"0"	"0"
"10076"	"4"	"9"	"21"	"2"	"400"	"75"	"21"	"96"	"6"	"3"	"5"	"3"	"0"	"62"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"8"	"4"	"0"	"283"	"283"	"1"	"0"
"10077"	"4"	"9"	"21"	"2"	"400"	"85"	"9"	"91"	"4"	"0"	"6"	"3"	"1"	"57"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"3"	"4"	"0"	"264"	"264"	"1"	"0"
"10078"	"4"	"9"	"21"	"2"	"396"	"81"	"18"	"87"	"3"	"3"	"2"	"0"	"2"	"51"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"16"	"0"	"0"	"263"	"263"	"1"	"0"
"10079"	"4"	"9"	"21"	"2"	"396"	"62"	"15"	"82"	"3"	"2"	"5"	"3"	"1"	"69"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"3"	"5"	"0"	"250"	"250"	"1"	"0"
"10080"	"4"	"9"	"21"	"2"	"400"	"75"	"23"	"95"	"1"	"3"	"3"	"1"	"0"	"67"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"0"	"1"	"0"	"269"	"269"	"1"	"0"
"10081"	"4"	"9"	"21"	"2"	"268"	"53"	"10"	"69"	"3"	"1"	"2"	"1"	"1"	"57"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"0"	"2"	"0"	"199"	"199"	"1"	"0"
"10082"	"4"	"9"	"21"	"2"	"268"	"44"	"13"	"61"	"2"	"0"	"0"	"0"	"0"	"32"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"152"	"152"	"0"	"2"	"0"	"154"	"154"	"1"	"0"
"10083"	"4"	"9"	"21"	"2"	"380"	"77"	"21"	"51"	"4"	"0"	"2"	"30"	"1"	"57"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"10"	"4"	"0"	"260"	"260"	"1"	"0"
"10084"	"4"	"9"	"21"	"2"	"380"	"67"	"22"	"76"	"5"	"2"	"3"	"9"	"0"	"49"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"11"	"9"	"0"	"253"	"253"	"1"	"0"
"10085"	"4"	"9"	"21"	"2"	"380"	"79"	"12"	"77"	"4"	"1"	"4"	"7"	"0"	"58"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"14"	"8"	"0"	"264"	"264"	"1"	"0"
"10086"	"4"	"9"	"21"	"2"	"380"	"66"	"20"	"81"	"6"	"0"	"3"	"9"	"1"	"57"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"4"	"2"	"0"	"249"	"249"	"1"	"0"
"10087"	"4"	"9"	"21"	"2"	"294"	"54"	"15"	"59"	"3"	"0"	"1"	"6"	"0"	"45"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"183"	"183"	"2"	"2"	"0"	"187"	"187"	"1"	"0"
"10088"	"4"	"9"	"21"	"2"	"294"	"56"	"16"	"51"	"6"	"0"	"3"	"9"	"0"	"47"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"0"	"1"	"0"	"189"	"189"	"1"	"0"
"10089"	"4"	"9"	"21"	"2"	"376"	"86"	"21"	"81"	"3"	"0"	"3"	"19"	"0"	"31"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"10"	"8"	"0"	"263"	"263"	"1"	"0"
"10090"	"4"	"9"	"21"	"2"	"371"	"62"	"14"	"111"	"3"	"1"	"3"	"11"	"0"	"32"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"14"	"13"	"0"	"265"	"265"	"1"	"0"
