"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"CREO"	"PPT"	"VALOR"	"UCN"	"TODOS"	"PC"	"VAMOS"	"SEMILLA"	"CONVERGENCIA"	"FCN_NACION"	"LIBRE"	"FUERZA"	"PODEMOS"	"VICTORIA"	"VIVA"	"PHG"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"6555"	"4"	"5"	"2"	"2"	"0"	"81"	"13"	"123"	"1"	"4"	"0"	"0"	"1"	"7"	"0"	"2"	"1"	"0"	"5"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"13"	"3"	"0"	"255"	"255"	"1"	"0"
"6556"	"4"	"5"	"2"	"2"	"338"	"73"	"14"	"152"	"0"	"4"	"1"	"1"	"1"	"6"	"0"	"2"	"0"	"0"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"10"	"1"	"0"	"269"	"269"	"1"	"0"
"6557"	"4"	"5"	"2"	"2"	"376"	"58"	"18"	"175"	"1"	"5"	"2"	"1"	"8"	"5"	"0"	"5"	"2"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"16"	"9"	"0"	"309"	"309"	"1"	"0"
"6558"	"4"	"5"	"2"	"2"	"380"	"46"	"18"	"187"	"1"	"9"	"0"	"2"	"1"	"6"	"1"	"4"	"2"	"1"	"2"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"283"	"17"	"2"	"0"	"302"	"302"	"1"	"0"
"6559"	"4"	"5"	"2"	"2"	"380"	"44"	"22"	"165"	"0"	"7"	"1"	"0"	"2"	"2"	"1"	"13"	"2"	"2"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"18"	"3"	"0"	"285"	"285"	"1"	"0"
"6560"	"4"	"5"	"2"	"2"	"380"	"62"	"16"	"148"	"0"	"2"	"3"	"0"	"4"	"5"	"0"	"4"	"2"	"0"	"3"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"28"	"6"	"0"	"286"	"286"	"1"	"0"
"6561"	"4"	"5"	"2"	"2"	"235"	"47"	"10"	"85"	"0"	"2"	"0"	"0"	"2"	"2"	"2"	"2"	"2"	"0"	"2"	"0"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"161"	"161"	"20"	"6"	"0"	"187"	"187"	"1"	"0"
"6562"	"4"	"5"	"2"	"2"	"236"	"26"	"6"	"109"	"0"	"4"	"2"	"0"	"2"	"4"	"0"	"5"	"1"	"0"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"162"	"162"	"6"	"2"	"0"	"170"	"170"	"1"	"0"
"6563"	"4"	"5"	"2"	"2"	"376"	"61"	"53"	"69"	"1"	"3"	"0"	"0"	"3"	"3"	"2"	"3"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"203"	"28"	"7"	"0"	"242"	"238"	"0"	"0"
"6564"	"4"	"5"	"2"	"2"	"376"	"48"	"58"	"85"	"1"	"2"	"0"	"3"	"7"	"1"	"0"	"3"	"5"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"7"	"6"	"0"	"229"	"229"	"1"	"0"
"6565"	"4"	"5"	"2"	"2"	"376"	"53"	"63"	"75"	"0"	"2"	"2"	"1"	"1"	"2"	"0"	"3"	"2"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"36"	"8"	"0"	"251"	"251"	"1"	"0"
