"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"FUERZA"	"URNG_MAIZ"	"PC"	"TODOS"	"VAMOS"	"PODEMOS"	"CONVERGENCIA"	"VIVA"	"SEMILLA"	"UNIONISTA"	"VALOR"	"PHG"	"PAN"	"EG"	"FCN_NACION"	"UCN"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"13127"	"4"	"13"	"2"	"2"	"205"	"44"	"5"	"1"	"10"	"5"	"3"	"1"	"0"	"2"	"11"	"1"	"4"	"5"	"0"	"0"	"17"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"118"	"118"	"2"	"2"	"0"	"122"	"122"	"1"	"0"
"13128"	"4"	"13"	"2"	"2"	"380"	"95"	"3"	"5"	"14"	"8"	"7"	"1"	"4"	"2"	"3"	"4"	"2"	"3"	"4"	"2"	"8"	"35"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"18"	"30"	"0"	"248"	"248"	"1"	"0"
"13129"	"4"	"13"	"2"	"2"	"380"	"86"	"5"	"1"	"12"	"1"	"6"	"3"	"4"	"2"	"3"	"0"	"2"	"12"	"3"	"0"	"5"	"34"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"179"	"15"	"7"	"0"	"201"	"201"	"1"	"0"
"13130"	"4"	"13"	"2"	"2"	"380"	"70"	"9"	"1"	"30"	"6"	"2"	"0"	"3"	"3"	"0"	"1"	"2"	"9"	"2"	"0"	"13"	"46"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"19"	"8"	"0"	"224"	"224"	"1"	"0"
"13131"	"4"	"13"	"2"	"2"	"380"	"83"	"3"	"5"	"17"	"4"	"5"	"2"	"1"	"0"	"2"	"0"	"4"	"15"	"7"	"0"	"11"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"179"	"34"	"6"	"0"	"219"	"219"	"1"	"0"
"13132"	"4"	"13"	"2"	"2"	"216"	"46"	"3"	"0"	"6"	"2"	"2"	"0"	"1"	"2"	"0"	"1"	"3"	"2"	"3"	"0"	"11"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"103"	"103"	"8"	"5"	"0"	"116"	"116"	"1"	"0"
"13133"	"4"	"13"	"2"	"2"	"215"	"67"	"6"	"0"	"12"	"5"	"4"	"1"	"0"	"1"	"1"	"0"	"1"	"9"	"1"	"0"	"15"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"145"	"145"	"5"	"2"	"0"	"152"	"152"	"1"	"0"
"13134"	"4"	"13"	"2"	"2"	"380"	"120"	"18"	"2"	"10"	"3"	"4"	"2"	"0"	"4"	"3"	"1"	"0"	"0"	"4"	"0"	"10"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"16"	"8"	"0"	"208"	"208"	"1"	"0"
"13135"	"4"	"13"	"2"	"2"	"380"	"104"	"18"	"6"	"10"	"5"	"4"	"3"	"2"	"3"	"2"	"3"	"0"	"1"	"0"	"0"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"169"	"169"	"18"	"3"	"0"	"190"	"190"	"1"	"0"
"13136"	"4"	"13"	"2"	"2"	"243"	"72"	"11"	"0"	"2"	"4"	"2"	"0"	"0"	"2"	"5"	"2"	"0"	"1"	"1"	"0"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"109"	"109"	"6"	"3"	"0"	"118"	"118"	"1"	"0"
"13137"	"4"	"13"	"2"	"2"	"242"	"60"	"13"	"1"	"7"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"7"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"97"	"97"	"8"	"4"	"6"	"109"	"109"	"1"	"0"
"13138"	"4"	"13"	"2"	"2"	"376"	"37"	"5"	"2"	"22"	"1"	"19"	"0"	"5"	"1"	"1"	"4"	"0"	"4"	"2"	"0"	"6"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"124"	"124"	"10"	"16"	"0"	"150"	"150"	"1"	"0"
"13139"	"4"	"13"	"2"	"2"	"375"	"36"	"0"	"0"	"19"	"0"	"8"	"0"	"4"	"1"	"1"	"3"	"1"	"2"	"1"	"0"	"3"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"98"	"98"	"6"	"3"	"0"	"107"	"107"	"1"	"0"
"13140"	"4"	"13"	"2"	"2"	"600"	"50"	"9"	"3"	"2"	"4"	"3"	"0"	"0"	"1"	"5"	"0"	"3"	"4"	"3"	"1"	"9"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"104"	"104"	"9"	"5"	"0"	"118"	"118"	"1"	"0"
"13141"	"4"	"13"	"2"	"2"	"600"	"64"	"3"	"0"	"2"	"2"	"5"	"1"	"0"	"9"	"5"	"3"	"2"	"3"	"4"	"0"	"16"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"126"	"126"	"10"	"3"	"0"	"139"	"139"	"1"	"0"
"13142"	"4"	"13"	"2"	"2"	"600"	"72"	"7"	"2"	"8"	"2"	"3"	"1"	"1"	"2"	"8"	"0"	"2"	"6"	"5"	"0"	"21"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"151"	"151"	"11"	"6"	"0"	"168"	"168"	"1"	"0"
"13143"	"4"	"13"	"2"	"2"	"378"	"30"	"3"	"0"	"2"	"3"	"3"	"0"	"0"	"4"	"2"	"0"	"0"	"6"	"1"	"0"	"7"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"68"	"68"	"6"	"1"	"0"	"75"	"75"	"1"	"0"
"13144"	"4"	"13"	"2"	"2"	"378"	"18"	"3"	"1"	"1"	"2"	"2"	"0"	"0"	"1"	"2"	"1"	"2"	"0"	"2"	"0"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"41"	"41"	"4"	"0"	"0"	"45"	"45"	"1"	"0"
