"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"MLP"	"UCN"	"UNIONISTA"	"CNC"	"URNG_MAIZ"	"SEMILLA"	"TODOS"	"FCN_NACION"	"BIEN"	"PODEMOS"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"10466"	"4"	"10"	"6"	"2"	"380"	"32"	"58"	"28"	"0"	"0"	"9"	"0"	"31"	"12"	"10"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"24"	"7"	"0"	"225"	"225"	"1"	"0"
"10467"	"4"	"10"	"6"	"2"	"380"	"30"	"89"	"31"	"0"	"3"	"5"	"0"	"36"	"9"	"2"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"22"	"5"	"0"	"244"	"244"	"1"	"1"
"10468"	"4"	"10"	"6"	"2"	"380"	"29"	"125"	"35"	"0"	"0"	"6"	"0"	"26"	"8"	"5"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"34"	"2"	"0"	"284"	"284"	"1"	"0"
"10469"	"4"	"10"	"6"	"2"	"0"	"44"	"56"	"27"	"0"	"1"	"3"	"3"	"43"	"17"	"8"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"32"	"13"	"0"	"270"	"270"	"1"	"0"
"10470"	"4"	"10"	"6"	"2"	"380"	"21"	"66"	"40"	"0"	"0"	"5"	"0"	"29"	"9"	"10"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"12"	"3"	"0"	"211"	"211"	"1"	"0"
"10471"	"4"	"10"	"6"	"2"	"291"	"20"	"49"	"31"	"0"	"1"	"4"	"0"	"15"	"10"	"4"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"146"	"146"	"20"	"4"	"0"	"170"	"170"	"1"	"0"
"10472"	"4"	"10"	"6"	"2"	"291"	"19"	"52"	"31"	"0"	"0"	"3"	"1"	"22"	"9"	"4"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"158"	"158"	"9"	"4"	"0"	"171"	"171"	"1"	"0"
"10473"	"4"	"10"	"6"	"2"	"380"	"12"	"17"	"28"	"7"	"2"	"1"	"0"	"7"	"11"	"85"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"174"	"174"	"11"	"2"	"1"	"187"	"187"	"1"	"0"
"10474"	"4"	"10"	"6"	"2"	"241"	"15"	"19"	"15"	"4"	"1"	"1"	"1"	"7"	"6"	"30"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"105"	"105"	"16"	"10"	"0"	"131"	"131"	"1"	"0"
"10475"	"4"	"10"	"6"	"2"	"241"	"11"	"11"	"10"	"8"	"0"	"1"	"0"	"4"	"1"	"41"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"96"	"96"	"11"	"3"	"0"	"110"	"110"	"1"	"0"
"10476"	"4"	"10"	"6"	"2"	"380"	"39"	"66"	"64"	"2"	"0"	"10"	"0"	"11"	"3"	"1"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"20"	"8"	"0"	"236"	"236"	"1"	"0"
"10477"	"4"	"10"	"6"	"2"	"385"	"54"	"71"	"51"	"0"	"1"	"5"	"2"	"11"	"7"	"6"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"25"	"3"	"0"	"245"	"245"	"1"	"0"
"10478"	"4"	"10"	"6"	"2"	"353"	"40"	"52"	"48"	"1"	"1"	"1"	"0"	"11"	"5"	"3"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"16"	"8"	"0"	"195"	"195"	"1"	"0"
"10479"	"4"	"10"	"6"	"2"	"349"	"16"	"68"	"49"	"0"	"1"	"5"	"2"	"4"	"6"	"6"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"166"	"166"	"11"	"4"	"2"	"181"	"181"	"1"	"0"
"10480"	"4"	"10"	"6"	"2"	"600"	"9"	"22"	"39"	"0"	"6"	"9"	"2"	"6"	"8"	"13"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"122"	"122"	"7"	"6"	"0"	"135"	"135"	"1"	"0"
"10481"	"4"	"10"	"6"	"2"	"347"	"6"	"14"	"24"	"0"	"1"	"4"	"1"	"5"	"3"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"66"	"66"	"3"	"2"	"0"	"71"	"71"	"1"	"0"
"10482"	"4"	"10"	"6"	"2"	"353"	"6"	"8"	"11"	"0"	"4"	"1"	"0"	"2"	"1"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"39"	"39"	"4"	"3"	"0"	"46"	"46"	"1"	"0"
