"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"TODOS"	"CREO"	"UNIONISTA"	"EG"	"WINAQ"	"UNE"	"VALOR"	"UCN"	"URNG_MAIZ"	"PHG"	"PODEMOS"	"MLP"	"VIVA"	"PC"	"BIEN"	"UNIDOS"	"PAN"	"FCN_NACION"	"FUERZA"	"PPT"	"SEMILLA"	"VICTORIA"	"LIBRE"	"AVANZA"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"10885"	"3"	"10"	"19"	"2"	"400"	"3"	"6"	"2"	"5"	"1"	"2"	"46"	"1"	"1"	"7"	"99"	"0"	"5"	"6"	"17"	"3"	"0"	"4"	"4"	"6"	"0"	"9"	"3"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"17"	"45"	"0"	"295"	"295"	"1"	"0"
"10886"	"3"	"10"	"19"	"2"	"400"	"6"	"2"	"0"	"4"	"1"	"1"	"64"	"1"	"1"	"1"	"102"	"2"	"5"	"1"	"30"	"2"	"0"	"8"	"2"	"2"	"0"	"3"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"18"	"47"	"0"	"311"	"311"	"1"	"0"
"10887"	"3"	"10"	"19"	"2"	"392"	"9"	"4"	"3"	"8"	"1"	"0"	"76"	"1"	"2"	"6"	"111"	"2"	"7"	"4"	"33"	"2"	"0"	"4"	"3"	"5"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"8"	"32"	"0"	"324"	"324"	"1"	"0"
"10888"	"3"	"10"	"19"	"2"	"391"	"3"	"4"	"1"	"4"	"0"	"1"	"88"	"2"	"2"	"4"	"92"	"5"	"7"	"1"	"28"	"2"	"0"	"5"	"2"	"2"	"0"	"5"	"0"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"11"	"49"	"0"	"323"	"323"	"1"	"0"
"10889"	"3"	"10"	"19"	"2"	"399"	"1"	"0"	"1"	"5"	"2"	"10"	"89"	"1"	"4"	"1"	"128"	"3"	"3"	"1"	"5"	"1"	"1"	"10"	"17"	"0"	"1"	"2"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"10"	"49"	"0"	"347"	"347"	"1"	"0"
"10890"	"3"	"10"	"19"	"2"	"339"	"2"	"1"	"1"	"4"	"0"	"10"	"78"	"1"	"1"	"3"	"96"	"2"	"2"	"3"	"6"	"4"	"0"	"7"	"14"	"0"	"0"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"4"	"38"	"8"	"289"	"281"	"0"	"0"
"10891"	"3"	"10"	"19"	"2"	"338"	"4"	"0"	"0"	"6"	"1"	"4"	"74"	"0"	"0"	"0"	"103"	"4"	"4"	"2"	"10"	"0"	"0"	"4"	"6"	"0"	"0"	"5"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"15"	"43"	"0"	"286"	"286"	"1"	"0"
"10892"	"3"	"10"	"19"	"2"	"291"	"4"	"1"	"1"	"3"	"0"	"1"	"17"	"0"	"0"	"1"	"43"	"0"	"4"	"2"	"8"	"1"	"1"	"3"	"2"	"1"	"0"	"4"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"99"	"99"	"8"	"20"	"0"	"127"	"127"	"1"	"0"
"10893"	"3"	"10"	"20"	"2"	"400"	"8"	"27"	"0"	"3"	"5"	"2"	"91"	"0"	"11"	"1"	"10"	"4"	"3"	"1"	"1"	"5"	"0"	"11"	"47"	"12"	"2"	"3"	"4"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"24"	"21"	"45"	"298"	"298"	"1"	"0"
"10894"	"3"	"10"	"20"	"2"	"400"	"6"	"20"	"2"	"2"	"3"	"0"	"91"	"2"	"19"	"5"	"7"	"3"	"2"	"6"	"1"	"2"	"1"	"4"	"35"	"11"	"1"	"3"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"20"	"25"	"0"	"275"	"275"	"1"	"0"
