"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"FUERZA"	"TODOS"	"VIVA"	"CREO"	"PHG"	"BIEN"	"VICTORIA"	"VALOR"	"PC"	"FCN_NACION"	"UNE"	"SEMILLA"	"PPT"	"PAN"	"AVANZA"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"3574"	"4"	"1"	"13"	"1"	"380"	"13"	"16"	"11"	"37"	"37"	"24"	"12"	"2"	"31"	"5"	"19"	"12"	"27"	"0"	"4"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"17"	"1"	"0"	"277"	"277"	"1"	"0"
"3575"	"4"	"1"	"13"	"1"	"278"	"7"	"6"	"10"	"21"	"34"	"22"	"5"	"5"	"35"	"3"	"6"	"6"	"18"	"0"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"186"	"13"	"0"	"0"	"199"	"199"	"1"	"0"
"3576"	"4"	"1"	"13"	"1"	"275"	"11"	"15"	"11"	"21"	"36"	"26"	"5"	"3"	"34"	"6"	"6"	"9"	"25"	"0"	"3"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"8"	"2"	"1"	"231"	"230"	"0"	"0"
"3577"	"4"	"1"	"13"	"2"	"380"	"18"	"13"	"18"	"14"	"37"	"34"	"8"	"3"	"33"	"4"	"12"	"31"	"34"	"1"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"16"	"1"	"0"	"285"	"285"	"1"	"0"
"3578"	"4"	"1"	"13"	"2"	"357"	"23"	"7"	"13"	"23"	"33"	"46"	"8"	"4"	"33"	"4"	"13"	"30"	"26"	"0"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"16"	"3"	"0"	"289"	"289"	"1"	"0"
"3579"	"4"	"1"	"13"	"2"	"380"	"18"	"8"	"18"	"18"	"39"	"32"	"11"	"3"	"25"	"3"	"17"	"29"	"21"	"0"	"4"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"16"	"0"	"0"	"271"	"271"	"1"	"0"
"3580"	"4"	"1"	"13"	"2"	"378"	"19"	"10"	"26"	"20"	"41"	"20"	"10"	"3"	"35"	"4"	"26"	"29"	"29"	"1"	"5"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"16"	"3"	"0"	"303"	"303"	"1"	"0"
"3581"	"4"	"1"	"13"	"2"	"386"	"16"	"11"	"20"	"20"	"41"	"26"	"12"	"4"	"28"	"4"	"14"	"25"	"28"	"1"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"25"	"4"	"0"	"284"	"284"	"1"	"0"
"3582"	"4"	"1"	"13"	"2"	"380"	"17"	"14"	"17"	"15"	"38"	"31"	"11"	"3"	"25"	"4"	"7"	"14"	"26"	"0"	"5"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"29"	"7"	"0"	"271"	"271"	"1"	"0"
"3583"	"4"	"1"	"13"	"2"	"380"	"13"	"7"	"15"	"22"	"59"	"27"	"9"	"3"	"23"	"2"	"8"	"22"	"23"	"0"	"3"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"12"	"3"	"0"	"262"	"262"	"1"	"0"
