"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"URNG_MAIZ"	"TODOS"	"PODEMOS"	"FUERZA"	"PHG"	"FCN_NACION"	"UNE"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"8471"	"4"	"7"	"19"	"2"	"400"	"130"	"2"	"80"	"88"	"4"	"13"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"319"	"319"	"3"	"1"	"0"	"323"	"323"	"1"	"0"
"8472"	"4"	"7"	"19"	"2"	"400"	"150"	"2"	"57"	"86"	"8"	"12"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"318"	"318"	"10"	"6"	"0"	"334"	"334"	"1"	"0"
"8473"	"4"	"7"	"19"	"2"	"400"	"142"	"2"	"65"	"86"	"3"	"18"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"320"	"320"	"8"	"5"	"0"	"333"	"333"	"1"	"1"
"8474"	"4"	"7"	"19"	"2"	"401"	"149"	"5"	"55"	"85"	"3"	"21"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"321"	"321"	"8"	"6"	"0"	"335"	"335"	"1"	"0"
"8475"	"4"	"7"	"19"	"2"	"400"	"165"	"1"	"69"	"70"	"0"	"11"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"320"	"320"	"9"	"9"	"0"	"338"	"338"	"1"	"0"
"8476"	"4"	"7"	"19"	"2"	"400"	"134"	"5"	"66"	"94"	"5"	"11"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"318"	"318"	"11"	"7"	"0"	"336"	"336"	"1"	"0"
"8477"	"4"	"7"	"19"	"2"	"400"	"145"	"3"	"66"	"78"	"2"	"17"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"317"	"317"	"8"	"5"	"0"	"330"	"330"	"1"	"1"
"8478"	"4"	"7"	"19"	"2"	"400"	"123"	"2"	"64"	"98"	"5"	"14"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"308"	"308"	"4"	"3"	"86"	"315"	"315"	"1"	"0"
"8479"	"4"	"7"	"19"	"2"	"400"	"151"	"0"	"59"	"72"	"3"	"12"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"303"	"303"	"8"	"0"	"0"	"311"	"311"	"1"	"0"
"8480"	"4"	"7"	"19"	"2"	"400"	"117"	"0"	"72"	"88"	"5"	"20"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"307"	"307"	"11"	"2"	"0"	"320"	"320"	"1"	"0"
