"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"CREO"	"FCN_NACION"	"VICTORIA"	"WINAQ"	"VALOR"	"BIEN"	"SEMILLA"	"LAHO"	"TODOS"	"CONVERGENCIA"	"MLP"	"LIBRE"	"PHG"	"PODEMOS"	"VAMOS"	"PAN"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"17356"	"4"	"16"	"15"	"2"	"400"	"14"	"8"	"7"	"80"	"11"	"9"	"6"	"3"	"17"	"2"	"13"	"4"	"4"	"14"	"44"	"6"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"10"	"7"	"0"	"264"	"264"	"1"	"0"
"17357"	"4"	"16"	"15"	"2"	"400"	"10"	"4"	"5"	"56"	"15"	"10"	"12"	"1"	"9"	"3"	"10"	"1"	"7"	"15"	"53"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"5"	"1"	"0"	"221"	"221"	"1"	"0"
"17358"	"4"	"16"	"15"	"2"	"400"	"14"	"0"	"6"	"43"	"13"	"12"	"13"	"2"	"10"	"0"	"11"	"2"	"6"	"11"	"25"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"172"	"172"	"13"	"4"	"0"	"189"	"189"	"1"	"0"
"17359"	"4"	"16"	"15"	"2"	"400"	"12"	"3"	"5"	"37"	"18"	"5"	"13"	"1"	"9"	"0"	"13"	"9"	"7"	"13"	"29"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"183"	"183"	"13"	"4"	"0"	"200"	"200"	"1"	"0"
"17360"	"4"	"16"	"15"	"2"	"400"	"11"	"4"	"2"	"40"	"10"	"4"	"8"	"5"	"14"	"1"	"12"	"14"	"4"	"15"	"31"	"9"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"8"	"4"	"0"	"201"	"201"	"1"	"0"
"17361"	"4"	"16"	"15"	"2"	"400"	"8"	"3"	"9"	"49"	"15"	"8"	"15"	"2"	"20"	"1"	"17"	"4"	"5"	"13"	"18"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"16"	"1"	"0"	"212"	"212"	"1"	"0"
"17362"	"4"	"16"	"15"	"2"	"400"	"11"	"3"	"9"	"47"	"13"	"9"	"10"	"2"	"16"	"2"	"17"	"4"	"7"	"13"	"20"	"7"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"15"	"3"	"0"	"215"	"215"	"1"	"0"
"17363"	"4"	"16"	"15"	"2"	"400"	"9"	"3"	"8"	"37"	"9"	"10"	"14"	"0"	"15"	"3"	"16"	"5"	"8"	"7"	"35"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"187"	"187"	"11"	"5"	"0"	"203"	"203"	"1"	"0"
"17364"	"4"	"16"	"15"	"2"	"400"	"16"	"2"	"7"	"39"	"10"	"5"	"12"	"1"	"9"	"0"	"11"	"6"	"6"	"12"	"30"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"11"	"4"	"0"	"191"	"191"	"1"	"0"
"17365"	"4"	"16"	"15"	"2"	"380"	"10"	"3"	"2"	"56"	"14"	"9"	"13"	"1"	"12"	"1"	"8"	"7"	"3"	"16"	"26"	"5"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"7"	"5"	"0"	"203"	"203"	"1"	"0"
"17366"	"4"	"16"	"15"	"2"	"394"	"10"	"7"	"7"	"41"	"18"	"11"	"7"	"2"	"13"	"5"	"11"	"3"	"7"	"13"	"39"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"4"	"2"	"0"	"208"	"208"	"1"	"0"
"17367"	"4"	"16"	"15"	"2"	"393"	"11"	"3"	"8"	"51"	"12"	"7"	"5"	"0"	"17"	"4"	"7"	"13"	"5"	"10"	"27"	"13"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"5"	"2"	"0"	"205"	"205"	"1"	"0"
"17368"	"4"	"16"	"15"	"2"	"380"	"49"	"10"	"6"	"12"	"8"	"6"	"13"	"3"	"8"	"1"	"7"	"2"	"4"	"11"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"144"	"144"	"33"	"12"	"0"	"189"	"189"	"1"	"0"
"17369"	"4"	"16"	"15"	"2"	"380"	"51"	"14"	"8"	"19"	"8"	"15"	"10"	"4"	"6"	"0"	"9"	"4"	"2"	"15"	"0"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"172"	"172"	"26"	"7"	"0"	"205"	"205"	"1"	"0"
"17370"	"4"	"16"	"15"	"2"	"380"	"34"	"23"	"5"	"22"	"7"	"16"	"35"	"4"	"5"	"1"	"5"	"1"	"9"	"17"	"3"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"18"	"5"	"0"	"215"	"215"	"1"	"0"
"17371"	"4"	"16"	"15"	"2"	"380"	"44"	"12"	"5"	"13"	"12"	"10"	"11"	"2"	"7"	"9"	"13"	"4"	"4"	"12"	"4"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"166"	"166"	"28"	"6"	"1"	"200"	"200"	"1"	"0"
"17372"	"4"	"16"	"15"	"2"	"304"	"32"	"10"	"5"	"24"	"14"	"6"	"8"	"1"	"10"	"8"	"8"	"4"	"4"	"8"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"145"	"145"	"19"	"14"	"0"	"178"	"178"	"1"	"0"
"17373"	"4"	"16"	"15"	"2"	"303"	"20"	"7"	"2"	"18"	"1"	"9"	"7"	"0"	"4"	"0"	"5"	"2"	"7"	"15"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"101"	"101"	"7"	"7"	"0"	"115"	"115"	"1"	"0"
"17374"	"4"	"16"	"15"	"2"	"380"	"32"	"2"	"18"	"40"	"27"	"4"	"66"	"1"	"11"	"6"	"4"	"3"	"4"	"2"	"14"	"3"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"30"	"7"	"0"	"288"	"288"	"1"	"0"
"17375"	"4"	"16"	"15"	"2"	"380"	"58"	"2"	"10"	"26"	"30"	"1"	"67"	"0"	"8"	"4"	"2"	"0"	"11"	"1"	"8"	"3"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"26"	"8"	"0"	"279"	"279"	"1"	"0"
