"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VALOR"	"FCN_NACION"	"WINAQ"	"TODOS"	"CREO"	"VICTORIA"	"BIEN"	"UCN"	"URNG_MAIZ"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"16697"	"4"	"16"	"8"	"2"	"400"	"50"	"107"	"60"	"3"	"2"	"1"	"22"	"3"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"15"	"0"	"0"	"266"	"266"	"1"	"0"
"16698"	"4"	"16"	"8"	"2"	"396"	"51"	"111"	"41"	"4"	"1"	"0"	"16"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"11"	"1"	"0"	"239"	"239"	"1"	"1"
"16699"	"4"	"16"	"8"	"2"	"397"	"42"	"138"	"37"	"0"	"3"	"2"	"12"	"3"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"10"	"1"	"0"	"253"	"253"	"1"	"0"
"16700"	"4"	"16"	"8"	"2"	"400"	"36"	"147"	"47"	"1"	"0"	"2"	"11"	"1"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"9"	"2"	"0"	"259"	"261"	"0"	"0"
"16701"	"4"	"16"	"8"	"2"	"269"	"45"	"80"	"26"	"0"	"2"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"162"	"162"	"3"	"1"	"0"	"166"	"166"	"1"	"0"
"16702"	"4"	"16"	"8"	"2"	"268"	"37"	"74"	"36"	"0"	"0"	"0"	"8"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"157"	"157"	"3"	"0"	"0"	"160"	"160"	"1"	"0"
"16703"	"4"	"16"	"8"	"2"	"396"	"45"	"90"	"54"	"4"	"2"	"1"	"40"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"21"	"6"	"0"	"266"	"266"	"1"	"0"
"16704"	"4"	"16"	"8"	"2"	"396"	"61"	"98"	"70"	"0"	"0"	"1"	"49"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"15"	"3"	"0"	"299"	"299"	"1"	"0"
"16705"	"4"	"16"	"8"	"2"	"400"	"79"	"114"	"83"	"0"	"0"	"0"	"46"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"324"	"324"	"10"	"4"	"0"	"338"	"338"	"1"	"1"
"16706"	"4"	"16"	"8"	"2"	"400"	"82"	"102"	"34"	"1"	"0"	"2"	"22"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"12"	"2"	"0"	"261"	"261"	"1"	"0"
