"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"TODOS"	"WINAQ"	"UNE"	"VALOR"	"UNIONISTA"	"FCN_NACION"	"VIVA"	"PPT"	"UCN"	"CONVERGENCIA"	"EG"	"CREO"	"SEMILLA"	"FUERZA"	"PC"	"PODEMOS"	"BIEN"	"LIBRE"	"URNG_MAIZ"	"VICTORIA"	"UNIDOS"	"PHG"	"PAN"	"AVANZA"	"MLP"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"4229"	"3"	"1"	"15"	"2"	"400"	"23"	"8"	"20"	"8"	"19"	"5"	"4"	"28"	"0"	"2"	"4"	"6"	"21"	"34"	"4"	"6"	"1"	"9"	"4"	"9"	"5"	"2"	"13"	"8"	"3"	"6"	"0"	"0"	"0"	"0"	"252"	"252"	"28"	"10"	"1"	"290"	"290"	"1"	"0"
"4230"	"3"	"1"	"15"	"1"	"400"	"22"	"8"	"25"	"5"	"11"	"8"	"2"	"18"	"3"	"3"	"1"	"7"	"18"	"29"	"2"	"7"	"2"	"9"	"6"	"4"	"6"	"0"	"23"	"17"	"2"	"7"	"0"	"0"	"0"	"0"	"245"	"245"	"36"	"6"	"0"	"287"	"287"	"1"	"0"
"4231"	"3"	"1"	"15"	"1"	"400"	"18"	"8"	"17"	"8"	"16"	"10"	"4"	"23"	"0"	"6"	"4"	"5"	"14"	"22"	"9"	"12"	"2"	"9"	"2"	"12"	"6"	"2"	"17"	"12"	"2"	"6"	"0"	"0"	"0"	"0"	"246"	"246"	"31"	"6"	"0"	"283"	"283"	"1"	"0"
"4232"	"3"	"1"	"15"	"1"	"400"	"23"	"4"	"21"	"5"	"19"	"4"	"2"	"19"	"1"	"4"	"1"	"6"	"12"	"19"	"2"	"13"	"2"	"7"	"7"	"5"	"1"	"2"	"29"	"11"	"6"	"8"	"0"	"0"	"0"	"0"	"233"	"233"	"24"	"4"	"0"	"261"	"261"	"1"	"0"
"4233"	"3"	"1"	"15"	"1"	"400"	"20"	"10"	"21"	"6"	"9"	"12"	"2"	"24"	"1"	"1"	"1"	"6"	"12"	"21"	"3"	"13"	"2"	"8"	"5"	"5"	"1"	"6"	"12"	"21"	"3"	"13"	"2"	"8"	"5"	"5"	"221"	"221"	"29"	"3"	"0"	"253"	"253"	"1"	"0"
"4234"	"3"	"1"	"15"	"1"	"400"	"13"	"8"	"17"	"11"	"12"	"8"	"1"	"24"	"2"	"7"	"0"	"4"	"13"	"31"	"5"	"10"	"0"	"10"	"3"	"7"	"0"	"4"	"13"	"31"	"5"	"10"	"0"	"10"	"3"	"7"	"236"	"236"	"25"	"6"	"0"	"267"	"267"	"1"	"0"
"4235"	"3"	"1"	"15"	"1"	"397"	"15"	"8"	"21"	"7"	"20"	"8"	"1"	"28"	"1"	"3"	"2"	"7"	"15"	"29"	"3"	"29"	"0"	"6"	"5"	"7"	"3"	"0"	"24"	"7"	"2"	"10"	"0"	"0"	"0"	"0"	"241"	"261"	"22"	"2"	"0"	"265"	"285"	"0"	"0"
"4236"	"3"	"1"	"15"	"1"	"399"	"14"	"9"	"11"	"10"	"15"	"8"	"4"	"29"	"1"	"2"	"2"	"7"	"11"	"40"	"8"	"9"	"0"	"17"	"6"	"6"	"8"	"3"	"20"	"14"	"3"	"13"	"0"	"0"	"0"	"0"	"270"	"270"	"24"	"1"	"0"	"295"	"295"	"1"	"0"
"4237"	"3"	"1"	"15"	"2"	"400"	"16"	"9"	"23"	"7"	"12"	"6"	"2"	"25"	"2"	"5"	"0"	"7"	"14"	"30"	"9"	"5"	"1"	"9"	"1"	"3"	"4"	"1"	"17"	"14"	"2"	"6"	"0"	"0"	"0"	"0"	"230"	"230"	"27"	"8"	"0"	"265"	"265"	"1"	"0"
"4238"	"3"	"1"	"15"	"2"	"400"	"24"	"10"	"21"	"10"	"16"	"7"	"0"	"31"	"0"	"3"	"3"	"4"	"17"	"29"	"7"	"11"	"1"	"10"	"4"	"7"	"2"	"3"	"13"	"8"	"4"	"7"	"0"	"0"	"0"	"0"	"252"	"252"	"33"	"6"	"0"	"291"	"291"	"1"	"0"
"4239"	"3"	"1"	"15"	"2"	"400"	"23"	"6"	"20"	"14"	"11"	"5"	"5"	"28"	"2"	"4"	"4"	"6"	"9"	"28"	"3"	"7"	"0"	"14"	"9"	"4"	"6"	"1"	"24"	"8"	"3"	"3"	"0"	"0"	"0"	"0"	"247"	"247"	"23"	"4"	"0"	"274"	"274"	"1"	"0"
"4240"	"3"	"1"	"15"	"1"	"400"	"19"	"16"	"15"	"6"	"21"	"5"	"4"	"21"	"1"	"2"	"2"	"6"	"16"	"27"	"7"	"7"	"3"	"7"	"6"	"5"	"3"	"2"	"30"	"9"	"5"	"3"	"0"	"0"	"0"	"0"	"248"	"248"	"32"	"2"	"0"	"282"	"282"	"1"	"0"
"4241"	"3"	"1"	"15"	"1"	"400"	"9"	"4"	"12"	"12"	"15"	"7"	"1"	"22"	"1"	"2"	"1"	"6"	"17"	"25"	"9"	"12"	"1"	"6"	"4"	"7"	"10"	"2"	"16"	"9"	"2"	"5"	"0"	"0"	"0"	"0"	"239"	"217"	"26"	"3"	"0"	"246"	"246"	"0"	"0"
"4242"	"3"	"1"	"15"	"1"	"400"	"13"	"10"	"8"	"9"	"18"	"5"	"3"	"26"	"1"	"3"	"0"	"3"	"12"	"21"	"4"	"11"	"2"	"3"	"0"	"4"	"0"	"3"	"12"	"21"	"4"	"11"	"2"	"3"	"0"	"4"	"200"	"200"	"29"	"3"	"0"	"232"	"232"	"1"	"0"
"4243"	"3"	"1"	"15"	"1"	"400"	"13"	"9"	"20"	"5"	"18"	"7"	"3"	"22"	"0"	"2"	"2"	"1"	"7"	"26"	"4"	"6"	"3"	"9"	"3"	"4"	"2"	"1"	"7"	"26"	"4"	"6"	"3"	"9"	"3"	"4"	"201"	"201"	"15"	"3"	"0"	"219"	"219"	"1"	"0"
"4244"	"3"	"1"	"15"	"1"	"400"	"20"	"10"	"19"	"8"	"11"	"5"	"1"	"22"	"1"	"2"	"4"	"6"	"19"	"20"	"6"	"7"	"4"	"15"	"3"	"2"	"1"	"2"	"24"	"10"	"2"	"5"	"0"	"0"	"0"	"0"	"229"	"229"	"26"	"2"	"0"	"257"	"257"	"1"	"0"
"4245"	"3"	"1"	"15"	"1"	"400"	"20"	"14"	"34"	"7"	"19"	"6"	"2"	"16"	"2"	"2"	"1"	"3"	"14"	"39"	"6"	"15"	"2"	"9"	"4"	"3"	"1"	"0"	"38"	"2"	"8"	"8"	"0"	"0"	"0"	"0"	"215"	"275"	"18"	"3"	"0"	"296"	"296"	"0"	"0"
"4246"	"3"	"1"	"15"	"1"	"290"	"12"	"7"	"19"	"6"	"11"	"9"	"0"	"15"	"0"	"5"	"1"	"5"	"6"	"19"	"5"	"14"	"3"	"6"	"0"	"0"	"2"	"0"	"25"	"5"	"2"	"4"	"0"	"0"	"0"	"0"	"181"	"181"	"24"	"4"	"0"	"211"	"209"	"0"	"0"
"4247"	"3"	"1"	"15"	"1"	"289"	"6"	"14"	"13"	"5"	"9"	"4"	"1"	"10"	"0"	"0"	"5"	"0"	"9"	"12"	"4"	"7"	"0"	"8"	"2"	"1"	"6"	"0"	"23"	"8"	"1"	"2"	"0"	"0"	"0"	"0"	"150"	"150"	"15"	"6"	"0"	"171"	"171"	"1"	"0"
"4248"	"3"	"1"	"15"	"2"	"400"	"12"	"9"	"16"	"14"	"15"	"4"	"2"	"27"	"0"	"6"	"4"	"2"	"23"	"13"	"7"	"8"	"2"	"20"	"2"	"7"	"4"	"1"	"13"	"11"	"2"	"7"	"0"	"0"	"0"	"0"	"231"	"231"	"22"	"7"	"29"	"260"	"260"	"1"	"0"
"4249"	"3"	"1"	"15"	"2"	"400"	"26"	"13"	"12"	"6"	"10"	"5"	"0"	"22"	"0"	"5"	"1"	"3"	"21"	"12"	"9"	"8"	"4"	"22"	"7"	"6"	"4"	"1"	"22"	"8"	"2"	"9"	"0"	"0"	"0"	"0"	"238"	"238"	"26"	"10"	"0"	"274"	"274"	"1"	"0"
"4250"	"3"	"1"	"15"	"2"	"400"	"28"	"11"	"11"	"11"	"13"	"7"	"5"	"15"	"1"	"4"	"2"	"5"	"16"	"15"	"5"	"4"	"3"	"14"	"4"	"6"	"5"	"4"	"17"	"9"	"3"	"7"	"0"	"0"	"0"	"0"	"225"	"225"	"31"	"4"	"0"	"260"	"260"	"1"	"0"
"4251"	"3"	"1"	"15"	"2"	"400"	"12"	"4"	"14"	"10"	"11"	"9"	"3"	"25"	"1"	"6"	"2"	"8"	"19"	"12"	"6"	"12"	"2"	"11"	"3"	"6"	"3"	"0"	"21"	"18"	"1"	"2"	"0"	"0"	"0"	"0"	"221"	"221"	"20"	"7"	"0"	"248"	"248"	"1"	"0"
"4252"	"3"	"1"	"15"	"2"	"400"	"24"	"5"	"15"	"13"	"9"	"7"	"4"	"26"	"2"	"0"	"1"	"6"	"12"	"18"	"6"	"14"	"2"	"8"	"6"	"13"	"6"	"1"	"10"	"12"	"2"	"14"	"0"	"0"	"0"	"0"	"236"	"236"	"19"	"13"	"1"	"268"	"268"	"1"	"0"
"4253"	"3"	"1"	"15"	"2"	"400"	"13"	"4"	"16"	"11"	"13"	"4"	"7"	"20"	"1"	"3"	"3"	"11"	"20"	"22"	"5"	"10"	"1"	"17"	"4"	"6"	"3"	"2"	"13"	"9"	"2"	"4"	"0"	"0"	"0"	"0"	"224"	"224"	"30"	"4"	"0"	"258"	"258"	"1"	"0"
"4254"	"3"	"1"	"15"	"2"	"397"	"12"	"17"	"17"	"8"	"7"	"7"	"0"	"18"	"1"	"4"	"0"	"4"	"17"	"19"	"7"	"8"	"0"	"10"	"2"	"5"	"4"	"7"	"17"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"205"	"26"	"7"	"0"	"245"	"238"	"0"	"0"
"4255"	"3"	"1"	"15"	"2"	"397"	"14"	"8"	"9"	"8"	"8"	"11"	"3"	"15"	"1"	"3"	"2"	"8"	"26"	"10"	"7"	"6"	"1"	"4"	"3"	"6"	"5"	"0"	"18"	"17"	"1"	"7"	"0"	"0"	"0"	"0"	"211"	"201"	"38"	"0"	"0"	"249"	"239"	"0"	"0"
"4256"	"3"	"1"	"15"	"2"	"400"	"20"	"7"	"13"	"15"	"8"	"7"	"1"	"1"	"1"	"2"	"2"	"2"	"15"	"21"	"6"	"14"	"2"	"9"	"3"	"5"	"7"	"0"	"16"	"10"	"0"	"14"	"0"	"0"	"0"	"0"	"221"	"201"	"18"	"2"	"0"	"241"	"221"	"0"	"0"
"4257"	"3"	"1"	"15"	"2"	"400"	"14"	"8"	"10"	"12"	"8"	"3"	"1"	"26"	"0"	"6"	"1"	"5"	"22"	"27"	"4"	"4"	"1"	"15"	"3"	"3"	"7"	"1"	"18"	"11"	"6"	"6"	"0"	"0"	"0"	"0"	"222"	"222"	"22"	"8"	"0"	"252"	"252"	"1"	"0"
"4258"	"3"	"1"	"15"	"2"	"402"	"16"	"11"	"16"	"13"	"9"	"6"	"3"	"18"	"0"	"6"	"2"	"2"	"17"	"17"	"7"	"9"	"1"	"11"	"5"	"11"	"2"	"1"	"12"	"8"	"2"	"7"	"0"	"0"	"0"	"0"	"212"	"212"	"16"	"7"	"23"	"235"	"235"	"1"	"0"
"4259"	"3"	"1"	"15"	"2"	"400"	"16"	"15"	"11"	"9"	"13"	"2"	"0"	"23"	"2"	"4"	"2"	"5"	"21"	"15"	"7"	"6"	"2"	"11"	"2"	"7"	"6"	"0"	"21"	"16"	"3"	"4"	"0"	"0"	"0"	"0"	"225"	"223"	"23"	"8"	"0"	"256"	"254"	"0"	"0"
"4260"	"3"	"1"	"15"	"2"	"397"	"16"	"14"	"19"	"8"	"12"	"14"	"3"	"21"	"2"	"4"	"4"	"3"	"11"	"10"	"9"	"2"	"0"	"15"	"4"	"3"	"5"	"1"	"15"	"8"	"4"	"9"	"0"	"0"	"0"	"0"	"216"	"216"	"25"	"10"	"0"	"251"	"251"	"1"	"0"
"4261"	"3"	"1"	"15"	"2"	"400"	"11"	"5"	"13"	"14"	"16"	"10"	"4"	"31"	"0"	"7"	"2"	"2"	"10"	"12"	"8"	"7"	"1"	"7"	"4"	"9"	"7"	"3"	"17"	"15"	"5"	"3"	"0"	"0"	"0"	"0"	"223"	"223"	"10"	"4"	"0"	"237"	"237"	"1"	"0"
"4262"	"3"	"1"	"15"	"2"	"400"	"12"	"9"	"17"	"7"	"8"	"4"	"1"	"13"	"0"	"4"	"2"	"6"	"16"	"10"	"7"	"9"	"3"	"16"	"5"	"4"	"7"	"0"	"16"	"10"	"2"	"10"	"0"	"0"	"0"	"0"	"198"	"198"	"13"	"7"	"1"	"218"	"218"	"1"	"0"
"4263"	"3"	"1"	"15"	"2"	"397"	"15"	"8"	"12"	"6"	"7"	"3"	"1"	"17"	"1"	"5"	"1"	"5"	"22"	"15"	"9"	"9"	"0"	"11"	"0"	"3"	"4"	"2"	"13"	"15"	"5"	"3"	"0"	"0"	"0"	"0"	"192"	"192"	"21"	"9"	"0"	"222"	"222"	"1"	"0"
"4264"	"3"	"1"	"15"	"2"	"400"	"16"	"10"	"12"	"10"	"8"	"9"	"1"	"25"	"2"	"9"	"1"	"7"	"12"	"14"	"6"	"2"	"1"	"9"	"4"	"4"	"3"	"2"	"16"	"16"	"0"	"4"	"0"	"0"	"0"	"0"	"203"	"203"	"12"	"8"	"0"	"223"	"223"	"1"	"0"
"4265"	"3"	"1"	"15"	"2"	"400"	"14"	"12"	"13"	"14"	"8"	"9"	"4"	"24"	"0"	"7"	"3"	"2"	"9"	"21"	"5"	"3"	"1"	"13"	"3"	"3"	"7"	"3"	"15"	"5"	"3"	"7"	"0"	"0"	"0"	"0"	"208"	"208"	"20"	"6"	"0"	"234"	"234"	"1"	"0"
"4266"	"3"	"1"	"15"	"2"	"155"	"18"	"8"	"14"	"6"	"6"	"11"	"0"	"17"	"3"	"3"	"2"	"5"	"15"	"14"	"3"	"9"	"1"	"11"	"1"	"8"	"7"	"4"	"25"	"9"	"2"	"8"	"0"	"0"	"0"	"0"	"210"	"210"	"32"	"3"	"0"	"245"	"245"	"1"	"0"
"4267"	"3"	"1"	"15"	"2"	"400"	"14"	"10"	"29"	"7"	"19"	"4"	"1"	"20"	"2"	"3"	"2"	"3"	"20"	"17"	"5"	"12"	"4"	"9"	"3"	"9"	"6"	"1"	"38"	"6"	"6"	"8"	"0"	"0"	"0"	"0"	"258"	"258"	"24"	"4"	"0"	"286"	"286"	"1"	"0"
"4268"	"3"	"1"	"15"	"2"	"216"	"8"	"8"	"8"	"6"	"9"	"2"	"2"	"3"	"1"	"2"	"3"	"1"	"5"	"4"	"1"	"7"	"1"	"6"	"2"	"5"	"3"	"0"	"11"	"7"	"0"	"7"	"0"	"0"	"0"	"0"	"112"	"112"	"11"	"6"	"0"	"129"	"129"	"1"	"0"
"4269"	"3"	"1"	"15"	"2"	"215"	"10"	"7"	"5"	"8"	"6"	"3"	"0"	"6"	"0"	"0"	"0"	"2"	"7"	"9"	"4"	"3"	"0"	"6"	"1"	"1"	"0"	"0"	"6"	"5"	"1"	"4"	"0"	"0"	"0"	"0"	"94"	"94"	"5"	"2"	"0"	"101"	"101"	"1"	"0"
"4270"	"3"	"1"	"15"	"2"	"598"	"17"	"15"	"13"	"11"	"10"	"3"	"3"	"21"	"2"	"8"	"1"	"0"	"7"	"10"	"12"	"0"	"1"	"8"	"6"	"6"	"11"	"1"	"0"	"12"	"2"	"5"	"0"	"0"	"0"	"0"	"195"	"185"	"31"	"10"	"0"	"236"	"226"	"0"	"0"
"4271"	"3"	"1"	"15"	"1"	"600"	"15"	"10"	"9"	"15"	"7"	"11"	"5"	"19"	"2"	"3"	"3"	"2"	"8"	"10"	"7"	"10"	"3"	"18"	"5"	"8"	"8"	"2"	"10"	"10"	"6"	"6"	"0"	"0"	"0"	"0"	"240"	"212"	"21"	"7"	"7"	"268"	"240"	"0"	"0"
"4272"	"3"	"1"	"15"	"1"	"600"	"13"	"14"	"7"	"20"	"13"	"4"	"5"	"20"	"0"	"4"	"1"	"1"	"7"	"13"	"7"	"8"	"2"	"5"	"6"	"4"	"9"	"0"	"10"	"14"	"2"	"3"	"0"	"0"	"0"	"0"	"192"	"192"	"29"	"7"	"2"	"230"	"228"	"0"	"0"
"4273"	"3"	"1"	"15"	"1"	"227"	"15"	"14"	"6"	"19"	"9"	"8"	"4"	"8"	"0"	"9"	"1"	"5"	"13"	"6"	"6"	"9"	"2"	"12"	"7"	"5"	"8"	"1"	"10"	"6"	"1"	"3"	"0"	"0"	"0"	"0"	"187"	"187"	"28"	"12"	"0"	"227"	"227"	"1"	"3"
"4274"	"3"	"1"	"15"	"1"	"600"	"9"	"14"	"6"	"14"	"5"	"5"	"4"	"17"	"0"	"4"	"3"	"4"	"5"	"9"	"4"	"5"	"2"	"11"	"5"	"9"	"21"	"2"	"11"	"16"	"3"	"5"	"0"	"0"	"0"	"0"	"193"	"193"	"24"	"5"	"0"	"222"	"222"	"1"	"0"
"4275"	"3"	"1"	"15"	"1"	"241"	"16"	"9"	"11"	"14"	"9"	"12"	"4"	"13"	"3"	"4"	"3"	"5"	"5"	"18"	"6"	"5"	"2"	"8"	"3"	"6"	"11"	"0"	"12"	"20"	"2"	"3"	"0"	"0"	"0"	"0"	"205"	"204"	"30"	"6"	"1"	"241"	"240"	"0"	"0"
"4276"	"3"	"1"	"15"	"1"	"192"	"18"	"5"	"8"	"16"	"3"	"7"	"2"	"12"	"2"	"6"	"1"	"2"	"9"	"10"	"5"	"5"	"1"	"9"	"3"	"6"	"9"	"1"	"12"	"12"	"1"	"2"	"0"	"0"	"0"	"0"	"167"	"167"	"21"	"4"	"0"	"192"	"192"	"1"	"0"
"4277"	"3"	"1"	"15"	"1"	"600"	"19"	"9"	"9"	"15"	"4"	"1"	"2"	"9"	"0"	"6"	"1"	"2"	"9"	"6"	"8"	"10"	"3"	"10"	"7"	"9"	"8"	"1"	"12"	"18"	"2"	"6"	"0"	"0"	"0"	"0"	"188"	"186"	"30"	"5"	"0"	"223"	"221"	"0"	"0"
"4278"	"3"	"1"	"15"	"1"	"600"	"22"	"11"	"8"	"24"	"9"	"6"	"5"	"24"	"2"	"6"	"3"	"0"	"14"	"9"	"10"	"7"	"2"	"12"	"4"	"7"	"8"	"2"	"0"	"14"	"5"	"4"	"0"	"0"	"0"	"0"	"231"	"218"	"26"	"5"	"0"	"262"	"249"	"0"	"0"
"4279"	"3"	"1"	"15"	"1"	"600"	"6"	"19"	"7"	"18"	"8"	"11"	"2"	"16"	"1"	"3"	"4"	"3"	"10"	"19"	"8"	"8"	"1"	"6"	"3"	"7"	"10"	"2"	"7"	"7"	"4"	"1"	"0"	"0"	"0"	"0"	"191"	"191"	"29"	"15"	"0"	"235"	"235"	"1"	"0"
"4280"	"3"	"1"	"15"	"1"	"240"	"14"	"12"	"11"	"22"	"8"	"6"	"4"	"28"	"2"	"6"	"2"	"0"	"6"	"19"	"7"	"2"	"0"	"14"	"5"	"7"	"12"	"0"	"8"	"10"	"4"	"5"	"0"	"0"	"0"	"0"	"214"	"214"	"14"	"12"	"0"	"240"	"240"	"1"	"0"
"4281"	"3"	"1"	"15"	"1"	"600"	"17"	"15"	"9"	"15"	"12"	"8"	"3"	"25"	"0"	"8"	"2"	"4"	"13"	"13"	"13"	"4"	"0"	"10"	"7"	"6"	"7"	"2"	"8"	"12"	"3"	"3"	"0"	"0"	"0"	"0"	"251"	"219"	"25"	"7"	"0"	"283"	"251"	"0"	"0"
"4282"	"3"	"1"	"15"	"1"	"211"	"12"	"7"	"11"	"16"	"4"	"7"	"5"	"15"	"4"	"7"	"0"	"3"	"6"	"12"	"11"	"5"	"1"	"13"	"3"	"5"	"10"	"1"	"15"	"9"	"2"	"4"	"0"	"0"	"0"	"0"	"190"	"188"	"14"	"7"	"2"	"211"	"209"	"0"	"0"
"4283"	"3"	"1"	"15"	"2"	"600"	"8"	"8"	"7"	"13"	"10"	"3"	"4"	"18"	"0"	"4"	"3"	"6"	"10"	"12"	"7"	"10"	"0"	"8"	"9"	"4"	"8"	"1"	"11"	"15"	"1"	"3"	"0"	"0"	"0"	"0"	"183"	"183"	"27"	"4"	"1"	"215"	"214"	"0"	"0"
"4284"	"3"	"1"	"15"	"2"	"600"	"6"	"6"	"6"	"16"	"8"	"3"	"1"	"16"	"1"	"4"	"1"	"5"	"10"	"12"	"7"	"7"	"1"	"13"	"3"	"3"	"10"	"3"	"11"	"21"	"0"	"2"	"0"	"0"	"0"	"0"	"176"	"176"	"10"	"2"	"0"	"188"	"188"	"1"	"0"
"4285"	"3"	"1"	"15"	"2"	"600"	"11"	"8"	"6"	"15"	"8"	"8"	"0"	"12"	"2"	"6"	"1"	"3"	"6"	"9"	"9"	"14"	"1"	"7"	"1"	"6"	"6"	"1"	"7"	"12"	"1"	"4"	"0"	"0"	"0"	"0"	"164"	"164"	"21"	"7"	"1"	"192"	"192"	"1"	"0"
"4286"	"3"	"1"	"15"	"2"	"600"	"6"	"11"	"7"	"17"	"3"	"3"	"3"	"14"	"1"	"6"	"1"	"2"	"2"	"12"	"9"	"6"	"3"	"5"	"3"	"3"	"4"	"0"	"12"	"5"	"2"	"5"	"0"	"0"	"0"	"0"	"145"	"145"	"19"	"6"	"1"	"171"	"170"	"0"	"0"
"4287"	"3"	"1"	"15"	"2"	"598"	"13"	"5"	"6"	"13"	"8"	"2"	"0"	"9"	"0"	"4"	"3"	"3"	"6"	"8"	"8"	"3"	"1"	"5"	"2"	"2"	"8"	"1"	"5"	"10"	"1"	"2"	"0"	"0"	"0"	"0"	"128"	"128"	"22"	"4"	"0"	"154"	"154"	"1"	"0"
"4288"	"3"	"1"	"15"	"2"	"578"	"1"	"3"	"5"	"6"	"2"	"0"	"2"	"6"	"1"	"3"	"0"	"3"	"1"	"1"	"3"	"1"	"1"	"5"	"1"	"2"	"6"	"1"	"5"	"3"	"0"	"3"	"0"	"0"	"0"	"0"	"65"	"65"	"15"	"5"	"0"	"85"	"85"	"1"	"0"
"4289"	"3"	"1"	"15"	"2"	"577"	"4"	"1"	"1"	"4"	"0"	"0"	"1"	"4"	"0"	"0"	"0"	"0"	"1"	"0"	"3"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"24"	"24"	"5"	"3"	"0"	"32"	"32"	"1"	"0"
"4290"	"3"	"1"	"16"	"2"	"400"	"7"	"4"	"10"	"30"	"20"	"32"	"2"	"20"	"2"	"3"	"3"	"5"	"12"	"17"	"6"	"4"	"2"	"6"	"4"	"13"	"6"	"4"	"16"	"11"	"2"	"3"	"0"	"0"	"0"	"0"	"244"	"244"	"30"	"9"	"0"	"283"	"283"	"1"	"0"
"4291"	"3"	"1"	"16"	"2"	"400"	"15"	"5"	"6"	"17"	"14"	"33"	"8"	"17"	"2"	"5"	"0"	"2"	"7"	"16"	"5"	"4"	"1"	"3"	"7"	"10"	"3"	"4"	"23"	"9"	"0"	"9"	"0"	"0"	"0"	"0"	"225"	"225"	"33"	"11"	"131"	"269"	"269"	"1"	"0"
"4292"	"3"	"1"	"16"	"2"	"397"	"19"	"1"	"7"	"13"	"18"	"22"	"3"	"17"	"1"	"1"	"2"	"5"	"8"	"17"	"6"	"5"	"3"	"13"	"9"	"5"	"8"	"3"	"25"	"15"	"2"	"3"	"0"	"0"	"0"	"0"	"231"	"231"	"33"	"9"	"0"	"273"	"273"	"1"	"0"
"4293"	"3"	"1"	"16"	"2"	"400"	"15"	"1"	"14"	"21"	"13"	"28"	"5"	"18"	"0"	"1"	"4"	"2"	"12"	"19"	"4"	"9"	"3"	"5"	"8"	"8"	"10"	"2"	"20"	"15"	"0"	"12"	"0"	"0"	"0"	"0"	"250"	"249"	"22"	"13"	"0"	"285"	"284"	"0"	"0"
"4294"	"3"	"1"	"16"	"2"	"400"	"15"	"2"	"10"	"25"	"17"	"19"	"10"	"17"	"0"	"5"	"0"	"6"	"9"	"9"	"6"	"6"	"2"	"9"	"6"	"10"	"3"	"2"	"24"	"8"	"5"	"2"	"0"	"0"	"0"	"0"	"227"	"227"	"46"	"15"	"0"	"288"	"288"	"1"	"0"
"4295"	"3"	"1"	"16"	"2"	"400"	"11"	"6"	"7"	"22"	"18"	"33"	"2"	"24"	"1"	"2"	"3"	"4"	"8"	"12"	"5"	"8"	"2"	"8"	"7"	"11"	"1"	"6"	"17"	"15"	"1"	"3"	"0"	"0"	"0"	"0"	"237"	"237"	"24"	"11"	"0"	"272"	"272"	"1"	"0"
"4296"	"3"	"1"	"16"	"2"	"397"	"14"	"6"	"6"	"21"	"14"	"40"	"9"	"19"	"0"	"1"	"4"	"6"	"8"	"17"	"4"	"13"	"3"	"10"	"4"	"8"	"1"	"4"	"24"	"8"	"2"	"5"	"0"	"0"	"0"	"0"	"251"	"251"	"34"	"6"	"0"	"291"	"291"	"1"	"0"
"4297"	"3"	"1"	"16"	"2"	"400"	"12"	"1"	"18"	"18"	"13"	"38"	"5"	"16"	"1"	"2"	"2"	"2"	"17"	"11"	"7"	"5"	"1"	"6"	"6"	"6"	"3"	"3"	"26"	"11"	"2"	"1"	"0"	"0"	"0"	"0"	"233"	"233"	"23"	"7"	"0"	"263"	"263"	"1"	"0"
"4298"	"3"	"1"	"16"	"2"	"400"	"8"	"3"	"9"	"16"	"21"	"26"	"8"	"20"	"2"	"0"	"1"	"3"	"11"	"24"	"4"	"5"	"3"	"5"	"2"	"15"	"3"	"4"	"14"	"7"	"2"	"7"	"0"	"0"	"0"	"0"	"223"	"223"	"16"	"16"	"0"	"255"	"255"	"1"	"0"
"4299"	"3"	"1"	"16"	"2"	"400"	"11"	"5"	"8"	"20"	"18"	"25"	"5"	"18"	"0"	"3"	"1"	"2"	"12"	"26"	"5"	"10"	"1"	"7"	"5"	"11"	"3"	"2"	"20"	"12"	"3"	"5"	"0"	"0"	"0"	"0"	"238"	"238"	"24"	"10"	"0"	"272"	"272"	"1"	"0"
"4300"	"3"	"1"	"16"	"2"	"400"	"7"	"3"	"7"	"13"	"14"	"36"	"6"	"19"	"2"	"2"	"1"	"1"	"7"	"21"	"6"	"6"	"2"	"10"	"6"	"4"	"6"	"6"	"27"	"7"	"2"	"9"	"0"	"0"	"0"	"0"	"230"	"230"	"33"	"7"	"0"	"270"	"270"	"1"	"1"
"4301"	"3"	"1"	"16"	"2"	"400"	"9"	"4"	"10"	"18"	"14"	"27"	"7"	"19"	"2"	"4"	"1"	"6"	"10"	"21"	"5"	"3"	"0"	"4"	"8"	"8"	"3"	"7"	"23"	"13"	"3"	"6"	"0"	"0"	"0"	"0"	"235"	"235"	"34"	"7"	"0"	"276"	"276"	"1"	"0"
"4302"	"3"	"1"	"16"	"2"	"400"	"6"	"5"	"9"	"16"	"14"	"24"	"6"	"16"	"0"	"4"	"0"	"1"	"12"	"25"	"6"	"5"	"0"	"4"	"4"	"9"	"3"	"5"	"34"	"8"	"1"	"6"	"0"	"0"	"0"	"0"	"223"	"223"	"29"	"6"	"0"	"258"	"258"	"1"	"0"
"4303"	"3"	"1"	"16"	"2"	"400"	"15"	"2"	"12"	"16"	"17"	"33"	"4"	"22"	"3"	"2"	"0"	"5"	"12"	"15"	"9"	"8"	"1"	"9"	"3"	"5"	"2"	"4"	"27"	"6"	"1"	"6"	"0"	"0"	"0"	"0"	"239"	"239"	"26"	"11"	"0"	"276"	"276"	"1"	"0"
