"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"TODOS"	"WINAQ"	"PPT"	"FCN_NACION"	"VALOR"	"FUERZA"	"CREO"	"URNG_MAIZ"	"PAN"	"VIVA"	"UCN"	"PC"	"CONVERGENCIA"	"PHG"	"UNE"	"BIEN"	"LIBRE"	"VICTORIA"	"PODEMOS"	"EG"	"UNIONISTA"	"SEMILLA"	"MLP"	"UNIDOS"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"9136"	"3"	"9"	"1"	"2"	"400"	"12"	"9"	"39"	"2"	"2"	"16"	"9"	"9"	"7"	"5"	"17"	"2"	"5"	"8"	"22"	"4"	"0"	"8"	"0"	"7"	"2"	"3"	"39"	"5"	"8"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"35"	"2"	"0"	"277"	"277"	"1"	"0"
"9137"	"3"	"9"	"1"	"2"	"400"	"20"	"5"	"39"	"1"	"2"	"14"	"13"	"16"	"5"	"6"	"16"	"2"	"3"	"4"	"25"	"7"	"3"	"5"	"0"	"2"	"7"	"0"	"31"	"3"	"11"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"45"	"3"	"0"	"288"	"288"	"1"	"0"
"9138"	"3"	"9"	"1"	"2"	"400"	"17"	"2"	"49"	"1"	"3"	"12"	"7"	"13"	"7"	"9"	"15"	"2"	"4"	"3"	"13"	"4"	"4"	"4"	"4"	"6"	"12"	"4"	"35"	"4"	"8"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"48"	"5"	"0"	"295"	"295"	"1"	"0"
"9139"	"3"	"9"	"1"	"2"	"400"	"21"	"4"	"45"	"1"	"3"	"8"	"9"	"6"	"6"	"8"	"25"	"2"	"4"	"5"	"20"	"1"	"2"	"0"	"1"	"0"	"7"	"4"	"39"	"6"	"9"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"32"	"9"	"0"	"277"	"277"	"1"	"0"
"9140"	"3"	"9"	"1"	"2"	"400"	"22"	"1"	"40"	"3"	"0"	"7"	"1"	"12"	"9"	"4"	"12"	"5"	"3"	"3"	"13"	"6"	"3"	"5"	"1"	"3"	"1"	"4"	"50"	"9"	"9"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"46"	"4"	"0"	"276"	"276"	"1"	"0"
"9141"	"3"	"9"	"1"	"2"	"400"	"23"	"2"	"39"	"2"	"2"	"17"	"6"	"8"	"10"	"13"	"15"	"3"	"1"	"4"	"17"	"2"	"5"	"10"	"2"	"1"	"8"	"3"	"36"	"10"	"4"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"43"	"5"	"0"	"291"	"291"	"1"	"0"
"9142"	"3"	"9"	"1"	"2"	"400"	"26"	"4"	"52"	"1"	"2"	"7"	"6"	"7"	"9"	"2"	"23"	"2"	"1"	"3"	"22"	"8"	"3"	"4"	"3"	"4"	"4"	"2"	"33"	"11"	"8"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"54"	"2"	"0"	"303"	"303"	"1"	"0"
"9143"	"3"	"9"	"1"	"2"	"399"	"24"	"2"	"38"	"2"	"3"	"12"	"5"	"8"	"6"	"7"	"24"	"4"	"1"	"7"	"15"	"2"	"1"	"1"	"1"	"6"	"7"	"2"	"52"	"9"	"4"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"42"	"5"	"0"	"290"	"290"	"1"	"0"
"9144"	"3"	"9"	"1"	"2"	"400"	"15"	"13"	"48"	"2"	"0"	"12"	"10"	"6"	"5"	"11"	"20"	"8"	"3"	"2"	"1"	"6"	"3"	"11"	"1"	"8"	"8"	"1"	"40"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"242"	"241"	"49"	"9"	"0"	"300"	"299"	"0"	"0"
"9145"	"3"	"9"	"1"	"2"	"400"	"20"	"4"	"37"	"1"	"2"	"17"	"4"	"12"	"8"	"19"	"17"	"3"	"5"	"1"	"19"	"2"	"2"	"6"	"1"	"4"	"8"	"3"	"37"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"242"	"241"	"56"	"5"	"0"	"303"	"302"	"0"	"0"
"9146"	"3"	"9"	"1"	"2"	"400"	"23"	"5"	"40"	"1"	"0"	"15"	"6"	"7"	"11"	"5"	"22"	"4"	"2"	"4"	"18"	"2"	"1"	"9"	"1"	"5"	"10"	"3"	"25"	"3"	"10"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"51"	"9"	"0"	"292"	"292"	"1"	"0"
"9147"	"3"	"9"	"1"	"2"	"398"	"22"	"1"	"27"	"3"	"1"	"22"	"9"	"7"	"12"	"9"	"22"	"4"	"4"	"1"	"17"	"8"	"4"	"3"	"2"	"4"	"9"	"2"	"30"	"4"	"7"	"0"	"0"	"0"	"0"	"0"	"232"	"234"	"47"	"2"	"0"	"281"	"283"	"0"	"0"
"9148"	"3"	"9"	"1"	"2"	"400"	"27"	"4"	"28"	"1"	"3"	"15"	"4"	"8"	"6"	"9"	"13"	"3"	"3"	"2"	"11"	"4"	"4"	"4"	"1"	"5"	"4"	"1"	"35"	"7"	"12"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"38"	"5"	"0"	"257"	"257"	"1"	"0"
"9149"	"3"	"9"	"1"	"2"	"399"	"23"	"4"	"39"	"4"	"3"	"10"	"3"	"6"	"5"	"4"	"12"	"2"	"3"	"3"	"29"	"4"	"3"	"10"	"0"	"3"	"7"	"4"	"30"	"10"	"8"	"0"	"0"	"0"	"0"	"0"	"278"	"229"	"48"	"4"	"0"	"278"	"281"	"0"	"0"
"9150"	"3"	"9"	"1"	"2"	"400"	"22"	"3"	"33"	"2"	"1"	"13"	"12"	"12"	"7"	"6"	"13"	"5"	"7"	"2"	"20"	"2"	"2"	"5"	"1"	"5"	"8"	"5"	"43"	"7"	"8"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"49"	"2"	"0"	"295"	"295"	"1"	"0"
"9151"	"3"	"9"	"1"	"2"	"277"	"17"	"2"	"24"	"3"	"2"	"10"	"5"	"9"	"5"	"2"	"16"	"2"	"6"	"3"	"21"	"2"	"3"	"2"	"2"	"7"	"5"	"2"	"17"	"4"	"8"	"0"	"0"	"0"	"0"	"0"	"179"	"179"	"36"	"6"	"0"	"221"	"221"	"1"	"0"
"9152"	"3"	"9"	"1"	"2"	"277"	"11"	"1"	"24"	"1"	"2"	"9"	"5"	"7"	"3"	"4"	"10"	"3"	"4"	"0"	"14"	"1"	"3"	"7"	"1"	"3"	"2"	"1"	"21"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"145"	"145"	"31"	"7"	"0"	"183"	"183"	"1"	"0"
"9153"	"3"	"9"	"1"	"2"	"400"	"14"	"3"	"42"	"0"	"4"	"9"	"4"	"9"	"9"	"11"	"14"	"3"	"4"	"2"	"28"	"6"	"0"	"6"	"3"	"7"	"5"	"6"	"30"	"4"	"8"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"44"	"10"	"0"	"285"	"285"	"1"	"0"
"9154"	"3"	"9"	"1"	"2"	"365"	"20"	"1"	"24"	"3"	"0"	"8"	"5"	"9"	"6"	"11"	"15"	"6"	"4"	"1"	"23"	"3"	"2"	"4"	"3"	"3"	"10"	"6"	"28"	"3"	"12"	"0"	"0"	"0"	"0"	"0"	"211"	"210"	"49"	"6"	"0"	"266"	"265"	"0"	"0"
"9155"	"3"	"9"	"1"	"2"	"400"	"25"	"1"	"37"	"5"	"8"	"12"	"2"	"13"	"16"	"9"	"29"	"2"	"1"	"1"	"22"	"7"	"1"	"3"	"0"	"0"	"9"	"3"	"19"	"6"	"9"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"40"	"11"	"0"	"291"	"291"	"1"	"0"
"9156"	"3"	"9"	"1"	"2"	"0"	"19"	"6"	"27"	"3"	"2"	"12"	"10"	"8"	"5"	"10"	"18"	"6"	"1"	"0"	"17"	"11"	"6"	"5"	"3"	"2"	"6"	"4"	"22"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"54"	"6"	"0"	"270"	"270"	"1"	"0"
"9157"	"3"	"9"	"1"	"2"	"400"	"20"	"2"	"25"	"3"	"1"	"16"	"8"	"9"	"6"	"12"	"17"	"12"	"2"	"5"	"17"	"12"	"5"	"1"	"4"	"3"	"8"	"6"	"33"	"2"	"8"	"0"	"0"	"0"	"0"	"0"	"231"	"237"	"41"	"7"	"0"	"279"	"285"	"0"	"0"
"9158"	"3"	"9"	"1"	"2"	"400"	"24"	"5"	"40"	"3"	"1"	"6"	"6"	"9"	"5"	"9"	"20"	"3"	"6"	"6"	"20"	"3"	"3"	"3"	"2"	"2"	"2"	"0"	"30"	"7"	"7"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"36"	"4"	"0"	"262"	"262"	"1"	"0"
"9159"	"3"	"9"	"1"	"2"	"400"	"12"	"3"	"38"	"2"	"6"	"11"	"4"	"10"	"9"	"4"	"24"	"4"	"2"	"4"	"23"	"10"	"3"	"5"	"2"	"8"	"9"	"6"	"26"	"4"	"13"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"40"	"2"	"0"	"284"	"284"	"1"	"0"
"9160"	"3"	"9"	"1"	"2"	"400"	"20"	"3"	"35"	"0"	"3"	"9"	"4"	"6"	"8"	"7"	"26"	"2"	"3"	"4"	"21"	"7"	"3"	"9"	"2"	"2"	"5"	"3"	"33"	"7"	"7"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"39"	"10"	"0"	"278"	"278"	"1"	"0"
"9161"	"3"	"9"	"1"	"2"	"0"	"16"	"2"	"14"	"4"	"4"	"7"	"3"	"7"	"7"	"7"	"12"	"2"	"3"	"6"	"25"	"4"	"2"	"5"	"1"	"2"	"9"	"11"	"51"	"6"	"7"	"0"	"0"	"0"	"0"	"0"	"224"	"217"	"53"	"3"	"0"	"280"	"273"	"0"	"0"
"9162"	"3"	"9"	"1"	"2"	"400"	"17"	"0"	"36"	"3"	"2"	"14"	"6"	"11"	"9"	"17"	"30"	"3"	"3"	"3"	"12"	"3"	"3"	"1"	"2"	"6"	"9"	"5"	"28"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"233"	"230"	"52"	"11"	"0"	"296"	"293"	"0"	"0"
