"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"UNE"	"URNG_MAIZ"	"FCN_NACION"	"CONVERGENCIA"	"WINAQ"	"BIEN"	"UNIONISTA"	"PHG"	"FUERZA"	"VIVA"	"MLP"	"VALOR"	"VICTORIA"	"CREO"	"TODOS"	"EG"	"SEMILLA"	"VAMOS"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"11884"	"4"	"12"	"7"	"2"	"400"	"0"	"37"	"12"	"8"	"1"	"1"	"59"	"2"	"1"	"2"	"1"	"8"	"2"	"2"	"17"	"1"	"0"	"7"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"166"	"166"	"13"	"8"	"0"	"187"	"187"	"1"	"0"
"11885"	"4"	"12"	"7"	"2"	"400"	"0"	"20"	"9"	"11"	"0"	"4"	"35"	"1"	"0"	"0"	"0"	"5"	"0"	"0"	"7"	"1"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"96"	"96"	"7"	"2"	"0"	"105"	"105"	"1"	"0"
"11886"	"4"	"12"	"7"	"2"	"214"	"0"	"14"	"12"	"6"	"0"	"1"	"24"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"7"	"2"	"0"	"6"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"81"	"81"	"6"	"3"	"0"	"90"	"90"	"1"	"0"
"11887"	"4"	"12"	"7"	"2"	"400"	"0"	"37"	"3"	"15"	"0"	"3"	"107"	"1"	"1"	"0"	"2"	"2"	"3"	"1"	"28"	"5"	"0"	"3"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"12"	"8"	"0"	"242"	"242"	"1"	"0"
"11888"	"4"	"12"	"7"	"2"	"400"	"2"	"40"	"9"	"8"	"0"	"1"	"86"	"3"	"3"	"5"	"2"	"3"	"2"	"2"	"27"	"4"	"0"	"7"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"18"	"12"	"0"	"250"	"250"	"1"	"0"
"11889"	"4"	"12"	"7"	"2"	"400"	"0"	"35"	"12"	"11"	"0"	"0"	"103"	"2"	"0"	"2"	"1"	"4"	"2"	"3"	"23"	"0"	"0"	"15"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"19"	"7"	"0"	"252"	"252"	"1"	"0"
"11890"	"4"	"12"	"7"	"2"	"400"	"0"	"54"	"5"	"4"	"0"	"1"	"93"	"0"	"1"	"2"	"2"	"0"	"0"	"3"	"37"	"1"	"0"	"9"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"21"	"7"	"0"	"262"	"262"	"1"	"0"
"11891"	"4"	"12"	"7"	"2"	"400"	"0"	"43"	"19"	"8"	"0"	"1"	"96"	"0"	"4"	"1"	"0"	"2"	"0"	"3"	"18"	"0"	"1"	"10"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"15"	"16"	"0"	"240"	"240"	"1"	"0"
"11892"	"4"	"12"	"7"	"2"	"400"	"0"	"37"	"10"	"10"	"0"	"3"	"67"	"1"	"1"	"4"	"0"	"1"	"0"	"1"	"15"	"2"	"0"	"12"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"173"	"173"	"6"	"4"	"0"	"183"	"183"	"1"	"0"
"11893"	"4"	"12"	"7"	"2"	"400"	"1"	"35"	"11"	"18"	"1"	"1"	"73"	"1"	"1"	"1"	"2"	"1"	"4"	"3"	"28"	"3"	"1"	"7"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"201"	"10"	"9"	"0"	"220"	"220"	"1"	"0"
"11894"	"4"	"12"	"7"	"2"	"257"	"0"	"14"	"5"	"7"	"2"	"0"	"36"	"0"	"0"	"0"	"2"	"2"	"1"	"2"	"18"	"2"	"1"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"102"	"102"	"4"	"1"	"0"	"107"	"107"	"1"	"0"
"11895"	"4"	"12"	"7"	"2"	"257"	"0"	"11"	"11"	"5"	"0"	"0"	"30"	"0"	"1"	"0"	"0"	"2"	"0"	"7"	"17"	"0"	"0"	"6"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"97"	"97"	"1"	"1"	"0"	"99"	"99"	"1"	"0"
"11896"	"4"	"12"	"7"	"2"	"380"	"0"	"17"	"4"	"38"	"2"	"1"	"56"	"1"	"1"	"0"	"0"	"1"	"1"	"3"	"31"	"2"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"162"	"162"	"18"	"11"	"0"	"191"	"191"	"1"	"0"
"11897"	"4"	"12"	"7"	"2"	"380"	"0"	"29"	"6"	"18"	"0"	"0"	"56"	"3"	"0"	"3"	"3"	"0"	"0"	"0"	"25"	"1"	"1"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"151"	"151"	"16"	"9"	"0"	"176"	"176"	"1"	"0"
"11898"	"4"	"12"	"7"	"2"	"380"	"0"	"17"	"15"	"18"	"1"	"0"	"35"	"0"	"0"	"2"	"1"	"4"	"0"	"0"	"24"	"0"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"121"	"121"	"11"	"8"	"0"	"140"	"140"	"1"	"0"
"11899"	"4"	"12"	"7"	"2"	"199"	"0"	"4"	"2"	"15"	"2"	"0"	"26"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"14"	"2"	"0"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"74"	"74"	"11"	"3"	"0"	"88"	"88"	"1"	"0"
"11900"	"4"	"12"	"7"	"2"	"199"	"0"	"5"	"5"	"6"	"1"	"0"	"35"	"1"	"0"	"0"	"0"	"2"	"0"	"0"	"6"	"2"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"65"	"65"	"4"	"3"	"0"	"72"	"72"	"1"	"0"
"11901"	"4"	"12"	"7"	"2"	"380"	"0"	"33"	"52"	"22"	"0"	"14"	"9"	"3"	"9"	"1"	"2"	"18"	"0"	"1"	"5"	"3"	"1"	"11"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"190"	"190"	"19"	"6"	"0"	"215"	"215"	"1"	"0"
"11902"	"4"	"12"	"7"	"2"	"383"	"0"	"49"	"10"	"21"	"1"	"6"	"4"	"4"	"8"	"2"	"2"	"13"	"4"	"0"	"40"	"0"	"0"	"3"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"175"	"175"	"11"	"10"	"0"	"196"	"196"	"1"	"0"
"11903"	"4"	"12"	"7"	"2"	"225"	"0"	"18"	"13"	"11"	"0"	"4"	"11"	"0"	"6"	"2"	"2"	"18"	"0"	"1"	"7"	"1"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"98"	"98"	"4"	"2"	"0"	"104"	"104"	"1"	"0"
"11904"	"4"	"12"	"7"	"2"	"225"	"1"	"13"	"18"	"9"	"1"	"6"	"7"	"2"	"0"	"1"	"0"	"18"	"0"	"2"	"7"	"4"	"0"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"97"	"97"	"6"	"1"	"0"	"104"	"104"	"1"	"0"
"11905"	"4"	"12"	"7"	"2"	"380"	"6"	"64"	"12"	"16"	"1"	"2"	"25"	"3"	"4"	"8"	"5"	"0"	"0"	"0"	"39"	"4"	"0"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"20"	"8"	"0"	"224"	"224"	"1"	"0"
"11906"	"4"	"12"	"7"	"2"	"380"	"1"	"61"	"16"	"13"	"4"	"3"	"37"	"2"	"3"	"4"	"7"	"0"	"1"	"1"	"19"	"1"	"0"	"1"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"183"	"183"	"17"	"11"	"0"	"211"	"211"	"1"	"0"
"11907"	"4"	"12"	"7"	"2"	"380"	"3"	"39"	"14"	"13"	"2"	"6"	"33"	"2"	"2"	"0"	"1"	"0"	"2"	"0"	"41"	"3"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"165"	"165"	"10"	"19"	"0"	"194"	"194"	"1"	"0"
"11908"	"4"	"12"	"7"	"2"	"326"	"1"	"33"	"10"	"10"	"1"	"4"	"14"	"2"	"1"	"0"	"2"	"0"	"5"	"0"	"27"	"1"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"115"	"115"	"10"	"4"	"0"	"129"	"129"	"1"	"0"
"11909"	"4"	"12"	"7"	"2"	"326"	"5"	"39"	"4"	"13"	"2"	"2"	"14"	"0"	"3"	"0"	"0"	"0"	"2"	"1"	"19"	"7"	"0"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"116"	"116"	"6"	"8"	"0"	"130"	"130"	"1"	"0"
"11910"	"4"	"12"	"7"	"2"	"380"	"0"	"23"	"18"	"39"	"0"	"33"	"21"	"0"	"0"	"2"	"3"	"14"	"0"	"0"	"12"	"0"	"1"	"2"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"177"	"177"	"27"	"10"	"0"	"214"	"214"	"1"	"0"
"11911"	"4"	"12"	"7"	"2"	"380"	"0"	"25"	"21"	"40"	"3"	"33"	"17"	"2"	"2"	"2"	"0"	"14"	"1"	"2"	"20"	"0"	"0"	"6"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"27"	"4"	"0"	"226"	"226"	"1"	"0"
"11912"	"4"	"12"	"7"	"2"	"400"	"2"	"23"	"12"	"30"	"0"	"43"	"22"	"1"	"0"	"1"	"0"	"7"	"0"	"2"	"13"	"4"	"0"	"3"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"19"	"11"	"30"	"201"	"201"	"1"	"0"
"11913"	"4"	"12"	"7"	"2"	"380"	"0"	"23"	"10"	"28"	"2"	"32"	"23"	"0"	"1"	"0"	"0"	"8"	"0"	"0"	"5"	"0"	"0"	"5"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"142"	"142"	"12"	"8"	"0"	"162"	"162"	"1"	"0"
"11914"	"4"	"12"	"7"	"2"	"329"	"1"	"27"	"7"	"22"	"5"	"23"	"16"	"1"	"0"	"2"	"3"	"8"	"1"	"0"	"4"	"0"	"0"	"5"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"133"	"133"	"14"	"9"	"0"	"156"	"156"	"1"	"0"
"11915"	"4"	"12"	"7"	"2"	"329"	"0"	"14"	"8"	"34"	"0"	"25"	"18"	"0"	"0"	"0"	"1"	"4"	"1"	"0"	"4"	"0"	"0"	"2"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"121"	"121"	"8"	"7"	"0"	"136"	"136"	"1"	"0"
