"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"URNG_MAIZ"	"UCN"	"UNE"	"WINAQ"	"LIBRE"	"UNIONISTA"	"FCN_NACION"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"13947"	"4"	"13"	"18"	"2"	"400"	"3"	"127"	"12"	"7"	"84"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"4"	"5"	"0"	"246"	"246"	"1"	"0"
"13948"	"4"	"13"	"18"	"2"	"400"	"8"	"135"	"9"	"4"	"91"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"7"	"2"	"0"	"256"	"256"	"1"	"0"
"13949"	"4"	"13"	"18"	"2"	"367"	"1"	"135"	"6"	"4"	"94"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"6"	"5"	"0"	"251"	"251"	"1"	"0"
"13950"	"4"	"13"	"18"	"2"	"368"	"3"	"102"	"17"	"2"	"89"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"4"	"4"	"145"	"223"	"223"	"1"	"0"
"13951"	"4"	"13"	"18"	"2"	"403"	"2"	"59"	"10"	"38"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"114"	"114"	"11"	"1"	"12"	"126"	"126"	"1"	"0"
"13952"	"4"	"13"	"18"	"2"	"400"	"2"	"16"	"12"	"66"	"5"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"102"	"102"	"2"	"4"	"0"	"108"	"108"	"1"	"0"
"13953"	"4"	"13"	"18"	"2"	"399"	"8"	"50"	"17"	"33"	"5"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"121"	"121"	"5"	"0"	"0"	"126"	"126"	"1"	"0"
"13954"	"4"	"13"	"18"	"2"	"364"	"4"	"58"	"15"	"31"	"6"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"117"	"117"	"5"	"3"	"0"	"125"	"125"	"1"	"0"
"13955"	"4"	"13"	"18"	"2"	"364"	"2"	"62"	"11"	"36"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"114"	"114"	"3"	"7"	"0"	"124"	"124"	"1"	"0"
"13956"	"4"	"13"	"18"	"2"	"380"	"2"	"118"	"1"	"179"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"302"	"302"	"4"	"4"	"0"	"310"	"310"	"1"	"0"
"13957"	"4"	"13"	"18"	"2"	"379"	"2"	"90"	"4"	"187"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"5"	"5"	"0"	"295"	"295"	"1"	"0"
"13958"	"4"	"13"	"18"	"2"	"380"	"1"	"129"	"5"	"137"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"2"	"3"	"0"	"280"	"280"	"1"	"0"
"13959"	"4"	"13"	"18"	"2"	"378"	"3"	"111"	"3"	"142"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"3"	"4"	"0"	"277"	"277"	"1"	"0"
"13960"	"4"	"13"	"18"	"2"	"380"	"3"	"125"	"2"	"142"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"4"	"3"	"0"	"280"	"280"	"1"	"0"
"13961"	"4"	"13"	"18"	"2"	"377"	"1"	"85"	"3"	"195"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"3"	"3"	"0"	"292"	"292"	"1"	"0"
"13962"	"4"	"13"	"18"	"2"	"355"	"1"	"105"	"3"	"162"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"2"	"6"	"0"	"280"	"280"	"1"	"0"
"13963"	"4"	"13"	"18"	"2"	"351"	"3"	"89"	"3"	"174"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"2"	"2"	"0"	"277"	"277"	"1"	"0"
"13964"	"4"	"13"	"18"	"2"	"333"	"9"	"19"	"14"	"21"	"5"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"72"	"72"	"6"	"4"	"0"	"82"	"82"	"1"	"0"
