"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"URNG_MAIZ"	"UCN"	"TODOS"	"SEMILLA"	"CONVERGENCIA"	"UNE"	"PC"	"PAN"	"UNIONISTA"	"VALOR"	"FCN_NACION"	"CREO"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"13302"	"4"	"13"	"6"	"2"	"400"	"17"	"106"	"32"	"2"	"3"	"4"	"4"	"2"	"4"	"15"	"90"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"283"	"20"	"4"	"0"	"307"	"307"	"1"	"0"
"13303"	"4"	"13"	"6"	"2"	"400"	"16"	"86"	"34"	"0"	"4"	"15"	"15"	"0"	"6"	"14"	"89"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"12"	"4"	"0"	"295"	"295"	"1"	"0"
"13304"	"4"	"13"	"6"	"2"	"400"	"21"	"87"	"20"	"2"	"1"	"9"	"11"	"1"	"10"	"10"	"99"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"12"	"4"	"0"	"287"	"287"	"1"	"0"
"13305"	"4"	"13"	"6"	"2"	"400"	"22"	"73"	"33"	"1"	"2"	"19"	"8"	"2"	"5"	"9"	"109"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"18"	"10"	"0"	"312"	"312"	"1"	"0"
"13306"	"4"	"13"	"6"	"2"	"396"	"34"	"62"	"14"	"3"	"4"	"9"	"18"	"0"	"5"	"12"	"85"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"14"	"13"	"0"	"274"	"274"	"1"	"0"
"13307"	"4"	"13"	"6"	"2"	"396"	"28"	"69"	"44"	"1"	"2"	"11"	"9"	"1"	"7"	"7"	"101"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"8"	"11"	"0"	"299"	"299"	"1"	"0"
"13308"	"4"	"13"	"6"	"2"	"400"	"19"	"67"	"39"	"4"	"1"	"9"	"10"	"0"	"6"	"13"	"69"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"2"	"4"	"0"	"243"	"243"	"1"	"0"
"13309"	"4"	"13"	"6"	"2"	"400"	"15"	"58"	"29"	"2"	"3"	"8"	"23"	"0"	"8"	"14"	"61"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"5"	"4"	"0"	"230"	"230"	"1"	"0"
"13310"	"4"	"13"	"6"	"2"	"393"	"19"	"56"	"26"	"2"	"2"	"8"	"10"	"4"	"10"	"10"	"75"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"8"	"5"	"0"	"235"	"235"	"1"	"0"
"13311"	"4"	"13"	"6"	"2"	"397"	"31"	"49"	"21"	"3"	"2"	"10"	"6"	"1"	"7"	"14"	"53"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"9"	"8"	"0"	"214"	"214"	"1"	"0"
"13312"	"4"	"13"	"6"	"2"	"396"	"27"	"53"	"15"	"2"	"2"	"15"	"17"	"0"	"1"	"22"	"42"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"14"	"7"	"1"	"217"	"217"	"1"	"0"
"13313"	"4"	"13"	"6"	"2"	"396"	"19"	"60"	"27"	"7"	"0"	"1"	"15"	"0"	"12"	"16"	"51"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"3"	"9"	"0"	"222"	"222"	"1"	"0"
"13314"	"4"	"13"	"6"	"2"	"396"	"28"	"56"	"24"	"3"	"3"	"6"	"11"	"0"	"11"	"11"	"67"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"8"	"3"	"0"	"231"	"231"	"1"	"0"
"13315"	"4"	"13"	"6"	"2"	"400"	"19"	"53"	"24"	"0"	"2"	"4"	"11"	"0"	"9"	"19"	"69"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"6"	"1"	"0"	"217"	"217"	"1"	"0"
"13316"	"4"	"13"	"6"	"2"	"400"	"26"	"57"	"32"	"1"	"1"	"5"	"16"	"0"	"10"	"12"	"82"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"1"	"3"	"0"	"246"	"246"	"1"	"0"
"13317"	"4"	"13"	"6"	"2"	"208"	"11"	"32"	"21"	"2"	"1"	"4"	"8"	"0"	"6"	"16"	"33"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"134"	"134"	"1"	"1"	"0"	"136"	"136"	"1"	"0"
