"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"FUERZA"	"UNE"	"VALOR"	"PPT"	"URNG_MAIZ"	"CREO"	"VAMOS"	"PHG"	"CONVERGENCIA"	"BIEN"	"TODOS"	"CCO"	"UNIONISTA"	"PC"	"PODEMOS"	"SEMILLA"	"UCN"	"UNIDOS"	"PAN"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"9560"	"4"	"9"	"9"	"2"	"405"	"32"	"81"	"37"	"11"	"4"	"3"	"15"	"25"	"2"	"2"	"11"	"13"	"5"	"3"	"1"	"3"	"0"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"9"	"15"	"0"	"279"	"279"	"1"	"0"
"9561"	"4"	"9"	"9"	"2"	"380"	"34"	"61"	"35"	"10"	"5"	"0"	"13"	"23"	"2"	"1"	"10"	"19"	"3"	"4"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"10"	"15"	"0"	"250"	"250"	"1"	"0"
"9562"	"4"	"9"	"9"	"2"	"378"	"24"	"56"	"47"	"8"	"5"	"0"	"18"	"29"	"3"	"4"	"8"	"16"	"3"	"7"	"0"	"3"	"2"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"3"	"6"	"0"	"249"	"249"	"1"	"0"
"9563"	"4"	"9"	"9"	"2"	"375"	"63"	"47"	"45"	"7"	"2"	"0"	"10"	"19"	"0"	"1"	"15"	"9"	"8"	"3"	"2"	"4"	"0"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"4"	"5"	"0"	"250"	"250"	"1"	"0"
"9564"	"4"	"9"	"9"	"2"	"396"	"70"	"50"	"37"	"9"	"6"	"0"	"6"	"10"	"0"	"0"	"17"	"20"	"3"	"4"	"1"	"3"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"21"	"9"	"0"	"267"	"267"	"1"	"0"
"9565"	"4"	"9"	"9"	"2"	"395"	"75"	"59"	"20"	"15"	"4"	"1"	"3"	"8"	"1"	"0"	"16"	"17"	"2"	"7"	"0"	"1"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"14"	"13"	"0"	"259"	"259"	"1"	"0"
"9566"	"4"	"9"	"9"	"2"	"400"	"63"	"65"	"19"	"6"	"0"	"0"	"8"	"16"	"1"	"0"	"26"	"21"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"23"	"20"	"0"	"273"	"273"	"1"	"0"
"9567"	"4"	"9"	"9"	"2"	"402"	"52"	"69"	"23"	"6"	"5"	"2"	"8"	"15"	"1"	"2"	"17"	"18"	"2"	"7"	"0"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"25"	"26"	"0"	"281"	"281"	"1"	"0"
"9568"	"4"	"9"	"9"	"2"	"373"	"78"	"54"	"26"	"6"	"2"	"0"	"8"	"13"	"0"	"2"	"20"	"18"	"4"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"15"	"14"	"0"	"263"	"263"	"1"	"0"
"9569"	"4"	"9"	"9"	"2"	"380"	"74"	"33"	"26"	"2"	"4"	"0"	"9"	"12"	"0"	"1"	"21"	"12"	"4"	"3"	"1"	"1"	"1"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"5"	"12"	"0"	"225"	"225"	"1"	"0"
"9570"	"4"	"9"	"9"	"2"	"374"	"71"	"41"	"30"	"10"	"3"	"0"	"3"	"8"	"0"	"0"	"30"	"26"	"1"	"7"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"9"	"7"	"0"	"248"	"248"	"1"	"0"
"9571"	"4"	"9"	"9"	"2"	"325"	"57"	"27"	"31"	"6"	"0"	"0"	"9"	"6"	"0"	"0"	"27"	"14"	"2"	"3"	"1"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"186"	"12"	"5"	"0"	"203"	"203"	"1"	"0"
"9572"	"4"	"9"	"9"	"2"	"324"	"66"	"40"	"28"	"5"	"3"	"0"	"5"	"12"	"0"	"0"	"29"	"15"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"4"	"3"	"0"	"215"	"215"	"1"	"0"
"9573"	"4"	"9"	"9"	"2"	"597"	"22"	"10"	"9"	"21"	"3"	"2"	"9"	"19"	"2"	"1"	"2"	"19"	"1"	"7"	"1"	"2"	"0"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"136"	"136"	"14"	"17"	"0"	"167"	"167"	"1"	"0"
"9574"	"4"	"9"	"9"	"2"	"600"	"13"	"17"	"14"	"18"	"2"	"3"	"10"	"11"	"0"	"5"	"15"	"13"	"6"	"5"	"2"	"3"	"1"	"1"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"152"	"152"	"16"	"12"	"0"	"180"	"180"	"1"	"0"
"9575"	"4"	"9"	"9"	"2"	"600"	"27"	"13"	"16"	"45"	"5"	"5"	"11"	"10"	"0"	"4"	"11"	"26"	"3"	"12"	"2"	"3"	"2"	"1"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"17"	"7"	"0"	"231"	"231"	"1"	"0"
"9576"	"4"	"9"	"9"	"2"	"600"	"21"	"13"	"16"	"20"	"4"	"4"	"19"	"21"	"11"	"8"	"12"	"32"	"1"	"12"	"3"	"4"	"1"	"2"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"11"	"6"	"0"	"231"	"231"	"1"	"0"
"9577"	"4"	"9"	"9"	"2"	"600"	"13"	"14"	"17"	"26"	"11"	"8"	"11"	"12"	"2"	"7"	"8"	"27"	"3"	"8"	"4"	"6"	"1"	"2"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"5"	"16"	"0"	"216"	"216"	"1"	"0"
