"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VALOR"	"UNE"	"CREO"	"WINAQ"	"PC"	"TODOS"	"FCN_NACION"	"BIEN"	"LIBRE"	"SEMILLA"	"PPT"	"VICTORIA"	"PODEMOS"	"FUERZA"	"UCN"	"UNIONISTA"	"JUSTICIA"	"VAMOS"	"URNG_MAIZ"	"PHG"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"16198"	"4"	"16"	"1"	"2"	"400"	"93"	"10"	"39"	"2"	"13"	"13"	"3"	"1"	"1"	"5"	"3"	"0"	"14"	"1"	"5"	"7"	"29"	"4"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"14"	"1"	"0"	"262"	"262"	"1"	"0"
"16199"	"4"	"16"	"1"	"2"	"400"	"105"	"8"	"51"	"2"	"8"	"8"	"4"	"4"	"1"	"2"	"2"	"2"	"7"	"1"	"5"	"6"	"0"	"10"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"227"	"10"	"6"	"0"	"274"	"243"	"0"	"0"
"16200"	"4"	"16"	"1"	"2"	"400"	"108"	"8"	"44"	"2"	"16"	"6"	"8"	"3"	"1"	"4"	"4"	"1"	"8"	"1"	"5"	"8"	"26"	"10"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"15"	"9"	"0"	"289"	"289"	"1"	"0"
"16201"	"4"	"16"	"1"	"2"	"400"	"114"	"2"	"42"	"3"	"9"	"11"	"4"	"3"	"1"	"5"	"0"	"2"	"15"	"1"	"2"	"2"	"27"	"9"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"14"	"8"	"0"	"276"	"276"	"1"	"0"
"16202"	"4"	"16"	"1"	"2"	"400"	"86"	"7"	"41"	"0"	"18"	"4"	"6"	"4"	"1"	"2"	"1"	"2"	"13"	"6"	"5"	"5"	"21"	"8"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"18"	"5"	"0"	"258"	"258"	"1"	"0"
"16203"	"4"	"16"	"1"	"2"	"399"	"80"	"10"	"44"	"3"	"11"	"11"	"6"	"4"	"0"	"3"	"0"	"2"	"15"	"1"	"5"	"6"	"18"	"8"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"24"	"5"	"0"	"261"	"261"	"1"	"0"
"16204"	"4"	"16"	"1"	"2"	"392"	"89"	"8"	"44"	"1"	"12"	"13"	"2"	"2"	"0"	"4"	"0"	"1"	"16"	"2"	"3"	"3"	"27"	"9"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"17"	"6"	"0"	"262"	"262"	"1"	"0"
"16205"	"4"	"16"	"1"	"2"	"400"	"103"	"13"	"37"	"2"	"15"	"7"	"3"	"1"	"1"	"4"	"1"	"1"	"10"	"2"	"3"	"1"	"16"	"11"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"17"	"4"	"0"	"255"	"255"	"1"	"0"
"16206"	"4"	"16"	"1"	"2"	"400"	"86"	"7"	"34"	"0"	"8"	"11"	"7"	"1"	"0"	"4"	"1"	"2"	"12"	"3"	"3"	"4"	"19"	"8"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"16"	"7"	"0"	"240"	"240"	"1"	"0"
"16207"	"4"	"16"	"1"	"2"	"400"	"108"	"8"	"36"	"1"	"10"	"12"	"2"	"2"	"1"	"4"	"4"	"2"	"13"	"4"	"5"	"7"	"16"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"28"	"2"	"0"	"272"	"272"	"1"	"0"
