"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CREO"	"UNE"	"UCN"	"URNG_MAIZ"	"CONVERGENCIA"	"PHG"	"UNIONISTA"	"VAMOS"	"FUERZA"	"LIBRE"	"VICTORIA"	"SEMILLA"	"TODOS"	"EG"	"VALOR"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"12319"	"4"	"12"	"15"	"2"	"0"	"45"	"46"	"0"	"5"	"15"	"38"	"3"	"5"	"0"	"0"	"1"	"5"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"164"	"165"	"16"	"10"	"0"	"190"	"191"	"0"	"0"
"12320"	"4"	"12"	"15"	"2"	"378"	"35"	"43"	"1"	"5"	"24"	"39"	"6"	"5"	"1"	"0"	"3"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"168"	"168"	"19"	"10"	"0"	"197"	"197"	"1"	"0"
"12321"	"4"	"12"	"15"	"2"	"375"	"41"	"28"	"2"	"2"	"15"	"35"	"10"	"2"	"2"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"140"	"140"	"15"	"11"	"0"	"166"	"166"	"1"	"0"
"12322"	"4"	"12"	"15"	"2"	"374"	"40"	"41"	"3"	"1"	"31"	"40"	"7"	"0"	"2"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"167"	"167"	"18"	"5"	"0"	"190"	"190"	"1"	"0"
"12323"	"4"	"12"	"15"	"2"	"379"	"40"	"33"	"1"	"0"	"15"	"32"	"6"	"1"	"2"	"1"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"136"	"136"	"20"	"3"	"0"	"159"	"159"	"1"	"0"
"12324"	"4"	"12"	"15"	"2"	"380"	"45"	"32"	"1"	"4"	"25"	"39"	"4"	"4"	"0"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"158"	"158"	"10"	"11"	"0"	"179"	"179"	"1"	"0"
"12325"	"4"	"12"	"15"	"2"	"378"	"38"	"49"	"2"	"0"	"14"	"55"	"6"	"1"	"1"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"169"	"169"	"19"	"1"	"0"	"189"	"189"	"1"	"0"
"12326"	"4"	"12"	"15"	"2"	"376"	"39"	"29"	"4"	"4"	"20"	"29"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"134"	"134"	"19"	"18"	"0"	"134"	"171"	"0"	"0"
"12327"	"4"	"12"	"15"	"2"	"376"	"47"	"28"	"1"	"2"	"22"	"30"	"5"	"2"	"0"	"0"	"1"	"3"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"142"	"142"	"22"	"6"	"0"	"170"	"170"	"1"	"0"
"12328"	"4"	"12"	"15"	"2"	"246"	"30"	"28"	"1"	"1"	"14"	"32"	"4"	"0"	"0"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"114"	"114"	"4"	"5"	"0"	"123"	"123"	"1"	"0"
