"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"PPT"	"C_I_P_"	"VALOR"	"VIVA"	"UNE"	"CONVERGENCIA"	"LIBRE"	"PODEMOS"	"FUERZA"	"FCN_NACION"	"UCN"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"9830"	"4"	"9"	"17"	"2"	"376"	"0"	"36"	"34"	"11"	"66"	"2"	"0"	"1"	"7"	"36"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"24"	"5"	"0"	"227"	"227"	"1"	"0"
"9831"	"4"	"9"	"17"	"2"	"380"	"1"	"55"	"25"	"7"	"67"	"0"	"1"	"0"	"5"	"25"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"20"	"7"	"0"	"215"	"215"	"1"	"0"
"9832"	"4"	"9"	"17"	"2"	"376"	"2"	"63"	"18"	"3"	"53"	"0"	"1"	"0"	"7"	"21"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"172"	"172"	"11"	"4"	"0"	"187"	"187"	"1"	"0"
"9833"	"4"	"9"	"17"	"2"	"380"	"0"	"52"	"16"	"2"	"66"	"0"	"1"	"0"	"6"	"13"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"164"	"164"	"11"	"5"	"0"	"180"	"180"	"1"	"0"
"9834"	"4"	"9"	"17"	"2"	"246"	"1"	"22"	"15"	"2"	"38"	"2"	"0"	"0"	"8"	"11"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"101"	"101"	"9"	"3"	"0"	"113"	"113"	"1"	"0"
"9835"	"4"	"9"	"17"	"2"	"245"	"1"	"31"	"14"	"4"	"35"	"0"	"0"	"0"	"1"	"16"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"103"	"103"	"1"	"0"	"0"	"104"	"104"	"1"	"0"
"9836"	"4"	"9"	"17"	"2"	"380"	"0"	"9"	"34"	"12"	"93"	"2"	"2"	"2"	"3"	"24"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"182"	"13"	"9"	"0"	"204"	"204"	"1"	"0"
"9837"	"4"	"9"	"17"	"2"	"380"	"3"	"8"	"30"	"7"	"95"	"0"	"2"	"1"	"0"	"35"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"13"	"7"	"0"	"201"	"201"	"1"	"0"
"9838"	"4"	"9"	"17"	"2"	"380"	"1"	"18"	"18"	"7"	"66"	"0"	"2"	"0"	"2"	"49"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"165"	"165"	"14"	"12"	"0"	"191"	"191"	"1"	"0"
"9839"	"4"	"9"	"17"	"2"	"380"	"0"	"16"	"44"	"4"	"88"	"0"	"0"	"1"	"2"	"23"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"179"	"17"	"8"	"0"	"204"	"204"	"1"	"0"
"9840"	"4"	"9"	"17"	"2"	"380"	"3"	"10"	"40"	"2"	"59"	"0"	"0"	"0"	"1"	"20"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"138"	"138"	"9"	"5"	"0"	"152"	"152"	"1"	"0"
"9841"	"4"	"9"	"17"	"2"	"380"	"0"	"6"	"34"	"5"	"85"	"0"	"0"	"0"	"4"	"22"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"158"	"158"	"12"	"9"	"0"	"179"	"179"	"1"	"0"
"9842"	"4"	"9"	"17"	"2"	"380"	"1"	"15"	"33"	"2"	"65"	"0"	"2"	"1"	"4"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"145"	"145"	"11"	"9"	"0"	"165"	"165"	"1"	"0"
"9843"	"4"	"9"	"17"	"2"	"285"	"1"	"4"	"24"	"2"	"48"	"0"	"0"	"0"	"1"	"23"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"107"	"107"	"5"	"5"	"0"	"117"	"117"	"1"	"0"
"9844"	"4"	"9"	"17"	"2"	"284"	"0"	"3"	"22"	"1"	"45"	"1"	"0"	"1"	"2"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"94"	"94"	"4"	"5"	"0"	"103"	"103"	"1"	"0"
