"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"TODOS"	"VAMOS"	"VIVA"	"BIEN"	"PPT"	"FUERZA"	"URNG_MAIZ"	"CREO"	"SEMILLA"	"VALOR"	"PODEMOS"	"FCN_NACION"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"9724"	"4"	"9"	"14"	"2"	"398"	"77"	"18"	"34"	"78"	"2"	"21"	"18"	"23"	"22"	"8"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"309"	"309"	"8"	"5"	"0"	"322"	"322"	"1"	"0"
"9725"	"4"	"9"	"14"	"2"	"399"	"111"	"13"	"27"	"46"	"4"	"14"	"15"	"29"	"23"	"10"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"5"	"3"	"0"	"302"	"302"	"1"	"0"
"9726"	"4"	"9"	"14"	"2"	"400"	"70"	"9"	"32"	"47"	"3"	"8"	"11"	"26"	"24"	"20"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"8"	"4"	"0"	"264"	"264"	"1"	"0"
"9727"	"4"	"9"	"14"	"2"	"399"	"83"	"9"	"30"	"37"	"2"	"18"	"15"	"25"	"15"	"13"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"7"	"5"	"0"	"262"	"262"	"1"	"0"
"9728"	"4"	"9"	"14"	"2"	"398"	"94"	"9"	"32"	"51"	"3"	"14"	"14"	"13"	"13"	"20"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"12"	"4"	"0"	"284"	"284"	"1"	"0"
"9729"	"4"	"9"	"14"	"2"	"400"	"75"	"16"	"22"	"45"	"0"	"10"	"13"	"18"	"20"	"12"	"3"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"7"	"3"	"0"	"250"	"250"	"1"	"0"
"9730"	"4"	"9"	"14"	"2"	"266"	"77"	"7"	"22"	"33"	"1"	"12"	"10"	"17"	"12"	"10"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"0"	"0"	"0"	"209"	"209"	"1"	"0"
"9731"	"4"	"9"	"14"	"2"	"277"	"60"	"6"	"21"	"31"	"1"	"6"	"8"	"21"	"13"	"7"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"1"	"0"	"0"	"177"	"177"	"1"	"0"
"9732"	"4"	"9"	"14"	"2"	"600"	"56"	"17"	"29"	"33"	"4"	"19"	"21"	"9"	"17"	"15"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"3"	"3"	"0"	"234"	"234"	"1"	"0"
"9733"	"4"	"9"	"14"	"2"	"596"	"65"	"21"	"21"	"35"	"4"	"20"	"18"	"12"	"14"	"9"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"8"	"9"	"0"	"240"	"240"	"1"	"0"
"9734"	"4"	"9"	"14"	"2"	"360"	"21"	"10"	"14"	"14"	"4"	"4"	"6"	"6"	"8"	"5"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"94"	"94"	"2"	"7"	"0"	"103"	"103"	"1"	"0"
"9735"	"4"	"9"	"14"	"2"	"359"	"20"	"6"	"11"	"10"	"1"	"3"	"5"	"6"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"73"	"73"	"2"	"2"	"0"	"77"	"77"	"1"	"0"
