"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"FUERZA"	"PC"	"PODEMOS"	"SEMILLA"	"URNG_MAIZ"	"_ATS_"	"SUD"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7904"	"4"	"7"	"1"	"2"	"400"	"2"	"0"	"1"	"2"	"210"	"18"	"80"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"313"	"313"	"5"	"1"	"0"	"319"	"319"	"1"	"0"
"7905"	"4"	"7"	"1"	"2"	"400"	"1"	"0"	"2"	"2"	"185"	"21"	"106"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"317"	"317"	"7"	"2"	"0"	"326"	"326"	"1"	"0"
"7906"	"4"	"7"	"1"	"2"	"396"	"0"	"0"	"2"	"0"	"227"	"11"	"82"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"322"	"322"	"13"	"3"	"0"	"338"	"338"	"1"	"0"
"7907"	"4"	"7"	"1"	"2"	"400"	"0"	"0"	"1"	"0"	"208"	"14"	"105"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"328"	"328"	"5"	"2"	"0"	"335"	"335"	"1"	"0"
"7908"	"4"	"7"	"1"	"2"	"396"	"1"	"1"	"1"	"0"	"199"	"11"	"100"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"313"	"313"	"5"	"3"	"0"	"321"	"321"	"1"	"0"
"7909"	"4"	"7"	"1"	"2"	"400"	"1"	"0"	"2"	"1"	"192"	"12"	"116"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"324"	"324"	"16"	"6"	"0"	"346"	"346"	"1"	"0"
"7910"	"4"	"7"	"1"	"2"	"396"	"0"	"2"	"6"	"0"	"164"	"17"	"114"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"303"	"303"	"11"	"8"	"0"	"322"	"322"	"1"	"0"
"7911"	"4"	"7"	"1"	"2"	"400"	"1"	"1"	"2"	"2"	"200"	"22"	"97"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"325"	"325"	"7"	"3"	"0"	"335"	"335"	"1"	"0"
"7912"	"4"	"7"	"1"	"2"	"400"	"1"	"1"	"2"	"0"	"174"	"19"	"131"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"328"	"328"	"6"	"2"	"0"	"336"	"336"	"1"	"0"
"7913"	"4"	"7"	"1"	"2"	"393"	"4"	"2"	"2"	"3"	"128"	"83"	"103"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"325"	"325"	"11"	"3"	"0"	"339"	"339"	"1"	"0"
"7914"	"4"	"7"	"1"	"2"	"400"	"4"	"1"	"9"	"3"	"135"	"43"	"110"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"305"	"305"	"13"	"5"	"0"	"323"	"323"	"1"	"0"
"7915"	"4"	"7"	"1"	"2"	"396"	"6"	"2"	"7"	"4"	"144"	"40"	"98"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"301"	"301"	"12"	"6"	"0"	"319"	"319"	"1"	"0"
"7916"	"4"	"7"	"1"	"2"	"400"	"6"	"1"	"8"	"2"	"163"	"21"	"113"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"314"	"314"	"11"	"1"	"0"	"326"	"326"	"1"	"0"
"7917"	"4"	"7"	"1"	"2"	"400"	"9"	"3"	"8"	"2"	"147"	"36"	"96"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"301"	"301"	"8"	"4"	"0"	"313"	"313"	"1"	"0"
"7918"	"4"	"7"	"1"	"2"	"398"	"6"	"4"	"7"	"1"	"159"	"29"	"108"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"314"	"314"	"7"	"9"	"0"	"330"	"330"	"1"	"0"
"7919"	"4"	"7"	"1"	"2"	"398"	"1"	"2"	"4"	"1"	"156"	"35"	"116"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"315"	"315"	"11"	"4"	"0"	"330"	"330"	"1"	"0"
"7920"	"4"	"7"	"1"	"2"	"400"	"4"	"3"	"4"	"2"	"135"	"63"	"111"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"322"	"322"	"11"	"1"	"0"	"334"	"334"	"1"	"0"
"7921"	"4"	"7"	"1"	"2"	"396"	"3"	"4"	"9"	"1"	"138"	"71"	"91"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"317"	"317"	"6"	"5"	"0"	"328"	"328"	"1"	"0"
"7922"	"4"	"7"	"1"	"2"	"400"	"5"	"1"	"3"	"1"	"169"	"24"	"89"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"292"	"292"	"14"	"8"	"0"	"314"	"314"	"1"	"0"
"7923"	"4"	"7"	"1"	"2"	"396"	"4"	"3"	"6"	"2"	"155"	"28"	"135"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"333"	"333"	"4"	"4"	"0"	"341"	"341"	"1"	"0"
"7924"	"4"	"7"	"1"	"2"	"400"	"6"	"1"	"9"	"3"	"168"	"21"	"116"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"324"	"324"	"14"	"2"	"0"	"340"	"340"	"1"	"0"
"7925"	"4"	"7"	"1"	"2"	"400"	"5"	"2"	"23"	"5"	"167"	"29"	"77"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"308"	"308"	"9"	"1"	"0"	"318"	"318"	"1"	"0"
"7926"	"4"	"7"	"1"	"2"	"400"	"4"	"2"	"16"	"5"	"156"	"26"	"109"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"318"	"318"	"7"	"3"	"0"	"328"	"328"	"1"	"0"
