"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VAMOS"	"PODEMOS"	"FUERZA"	"UCN"	"MLP"	"SEMILLA"	"CREO"	"BIEN"	"LIBRE"	"UNIONISTA"	"PC"	"PHG"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7172"	"4"	"5"	"13"	"2"	"327"	"69"	"16"	"31"	"42"	"2"	"0"	"0"	"4"	"14"	"9"	"0"	"63"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"3"	"1"	"0"	"258"	"258"	"1"	"0"
"7173"	"4"	"5"	"13"	"2"	"323"	"56"	"13"	"19"	"35"	"3"	"0"	"1"	"0"	"8"	"11"	"0"	"30"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"179"	"9"	"3"	"0"	"191"	"191"	"1"	"0"
"7174"	"4"	"5"	"13"	"2"	"391"	"105"	"10"	"42"	"30"	"4"	"0"	"2"	"3"	"2"	"4"	"2"	"27"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"19"	"5"	"0"	"260"	"260"	"1"	"0"
"7175"	"4"	"5"	"13"	"2"	"398"	"81"	"21"	"31"	"44"	"3"	"1"	"1"	"11"	"2"	"11"	"1"	"23"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"11"	"3"	"0"	"249"	"249"	"1"	"0"
"7176"	"4"	"5"	"13"	"2"	"400"	"84"	"14"	"38"	"34"	"0"	"1"	"3"	"4"	"2"	"3"	"0"	"25"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"16"	"2"	"0"	"231"	"231"	"1"	"0"
"7177"	"4"	"5"	"13"	"2"	"400"	"81"	"7"	"44"	"33"	"2"	"1"	"2"	"1"	"2"	"6"	"1"	"23"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"23"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"17"	"2"	"0"	"226"	"226"	"1"	"0"
"7178"	"4"	"5"	"13"	"2"	"370"	"64"	"9"	"26"	"28"	"3"	"0"	"2"	"4"	"2"	"2"	"2"	"22"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"22"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"169"	"169"	"24"	"5"	"0"	"198"	"198"	"1"	"0"
"7179"	"4"	"5"	"13"	"2"	"370"	"95"	"9"	"28"	"43"	"2"	"0"	"1"	"2"	"2"	"5"	"0"	"26"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"26"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"6"	"3"	"0"	"228"	"228"	"1"	"0"
"7180"	"4"	"5"	"13"	"2"	"394"	"80"	"9"	"46"	"22"	"2"	"3"	"1"	"8"	"5"	"17"	"2"	"49"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"22"	"8"	"0"	"277"	"277"	"1"	"0"
"7181"	"4"	"5"	"13"	"2"	"396"	"76"	"11"	"47"	"26"	"8"	"3"	"1"	"5"	"6"	"15"	"1"	"58"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"15"	"5"	"0"	"284"	"284"	"1"	"0"
