"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"FCN_NACION"	"TODOS"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"6200"	"4"	"4"	"7"	"2"	"385"	"9"	"106"	"102"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"12"	"4"	"0"	"236"	"236"	"1"	"0"
"6201"	"4"	"4"	"7"	"2"	"380"	"7"	"126"	"122"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"10"	"3"	"0"	"275"	"275"	"1"	"0"
"6202"	"4"	"4"	"7"	"2"	"380"	"6"	"115"	"134"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"13"	"2"	"0"	"283"	"283"	"1"	"0"
"6203"	"4"	"4"	"7"	"2"	"380"	"13"	"120"	"102"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"5"	"6"	"0"	"253"	"253"	"1"	"0"
"6204"	"4"	"4"	"7"	"2"	"380"	"11"	"99"	"122"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"9"	"4"	"0"	"247"	"247"	"1"	"0"
"6205"	"4"	"4"	"7"	"2"	"237"	"3"	"62"	"64"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"133"	"133"	"7"	"1"	"0"	"141"	"141"	"1"	"0"
"6206"	"4"	"4"	"7"	"2"	"237"	"7"	"71"	"70"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"153"	"153"	"0"	"1"	"0"	"154"	"154"	"1"	"0"
"6207"	"4"	"4"	"7"	"2"	"380"	"4"	"115"	"80"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"23"	"11"	"0"	"242"	"242"	"1"	"0"
"6208"	"4"	"4"	"7"	"2"	"380"	"3"	"138"	"61"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"16"	"2"	"0"	"230"	"230"	"1"	"0"
"6209"	"4"	"4"	"7"	"2"	"380"	"9"	"143"	"79"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"19"	"4"	"0"	"260"	"260"	"1"	"0"
"6210"	"4"	"4"	"7"	"2"	"380"	"5"	"157"	"57"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"14"	"4"	"0"	"240"	"240"	"1"	"0"
"6211"	"4"	"4"	"7"	"2"	"354"	"5"	"112"	"61"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"10"	"7"	"0"	"198"	"198"	"1"	"0"
"6212"	"4"	"4"	"7"	"2"	"353"	"6"	"127"	"65"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"9"	"3"	"0"	"215"	"215"	"1"	"0"
"6213"	"4"	"4"	"7"	"2"	"600"	"15"	"113"	"70"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"3"	"7"	"0"	"230"	"230"	"1"	"0"
"6214"	"4"	"4"	"7"	"2"	"597"	"18"	"130"	"73"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"7"	"3"	"0"	"244"	"244"	"1"	"0"
"6215"	"4"	"4"	"7"	"2"	"596"	"6"	"48"	"29"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"90"	"90"	"4"	"0"	"0"	"94"	"94"	"1"	"0"
