"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"VIVA"	"CONVERGENCIA"	"UCN"	"EG"	"SEMILLA"	"UNE"	"FCN_NACION"	"CREO"	"FUERZA"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"2447"	"4"	"1"	"7"	"1"	"275"	"40"	"4"	"2"	"18"	"20"	"9"	"72"	"17"	"17"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"6"	"1"	"0"	"211"	"211"	"1"	"0"
"2448"	"4"	"1"	"7"	"1"	"375"	"26"	"7"	"2"	"16"	"26"	"9"	"86"	"9"	"30"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"9"	"2"	"0"	"224"	"224"	"1"	"0"
"2449"	"4"	"1"	"7"	"1"	"380"	"37"	"3"	"5"	"18"	"23"	"12"	"70"	"12"	"32"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"7"	"1"	"0"	"225"	"225"	"1"	"0"
"2450"	"4"	"1"	"7"	"1"	"375"	"27"	"4"	"5"	"17"	"25"	"3"	"61"	"17"	"26"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	"193"	"9"	"0"	"0"	"202"	"202"	"1"	"0"
"2451"	"4"	"1"	"7"	"1"	"375"	"26"	"9"	"4"	"32"	"32"	"7"	"71"	"5"	"30"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"10"	"146"	"0"	"375"	"376"	"0"	"0"
"2452"	"4"	"1"	"7"	"2"	"376"	"32"	"4"	"2"	"19"	"18"	"5"	"71"	"9"	"25"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"12"	"3"	"0"	"207"	"207"	"1"	"0"
"2453"	"4"	"1"	"7"	"1"	"380"	"32"	"7"	"0"	"25"	"22"	"8"	"62"	"17"	"45"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"7"	"6"	"0"	"238"	"238"	"1"	"0"
"2454"	"4"	"1"	"7"	"2"	"376"	"23"	"8"	"5"	"19"	"0"	"6"	"76"	"13"	"20"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"174"	"174"	"8"	"8"	"0"	"190"	"190"	"1"	"0"
"2455"	"4"	"1"	"7"	"2"	"374"	"28"	"10"	"2"	"29"	"24"	"5"	"57"	"15"	"35"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"8"	"2"	"0"	"219"	"219"	"1"	"0"
"2456"	"4"	"1"	"7"	"2"	"375"	"22"	"8"	"3"	"16"	"25"	"9"	"74"	"15"	"39"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"8"	"1"	"0"	"225"	"225"	"1"	"0"
"2457"	"4"	"1"	"7"	"2"	"376"	"26"	"5"	"2"	"24"	"35"	"10"	"76"	"4"	"31"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"9"	"5"	"0"	"231"	"231"	"1"	"0"
"2458"	"4"	"1"	"7"	"2"	"380"	"23"	"4"	"5"	"15"	"25"	"4"	"63"	"10"	"25"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"177"	"177"	"10"	"3"	"0"	"190"	"190"	"1"	"0"
