"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VALOR"	"CREO"	"WINAQ"	"UCN"	"PAN"	"UNIONISTA"	"MLP"	"FCN_NACION"	"AVANZA"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7873"	"4"	"6"	"14"	"2"	"376"	"72"	"3"	"1"	"0"	"127"	"0"	"2"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"9"	"2"	"0"	"223"	"223"	"1"	"0"
"7874"	"4"	"6"	"14"	"2"	"380"	"86"	"5"	"3"	"0"	"118"	"2"	"2"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"14"	"1"	"0"	"239"	"239"	"1"	"0"
"7875"	"4"	"6"	"14"	"2"	"313"	"69"	"3"	"4"	"0"	"97"	"0"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"12"	"13"	"0"	"203"	"203"	"1"	"0"
"7876"	"4"	"6"	"14"	"2"	"315"	"74"	"4"	"2"	"0"	"110"	"0"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"1"	"1"	"0"	"198"	"198"	"1"	"0"
"7877"	"4"	"6"	"14"	"2"	"376"	"89"	"13"	"7"	"1"	"59"	"1"	"16"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"16"	"4"	"0"	"208"	"208"	"1"	"0"
"7878"	"4"	"6"	"14"	"2"	"380"	"85"	"16"	"7"	"1"	"87"	"4"	"10"	"3"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"18"	"5"	"0"	"238"	"238"	"1"	"0"
"7879"	"4"	"6"	"14"	"2"	"376"	"102"	"13"	"2"	"2"	"75"	"2"	"18"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"21"	"7"	"0"	"243"	"243"	"1"	"0"
"7880"	"4"	"6"	"14"	"2"	"321"	"86"	"9"	"0"	"0"	"46"	"2"	"5"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"152"	"152"	"10"	"4"	"1"	"166"	"166"	"1"	"0"
"7881"	"4"	"6"	"14"	"2"	"322"	"72"	"6"	"1"	"2"	"56"	"0"	"11"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"150"	"150"	"8"	"5"	"0"	"163"	"163"	"1"	"0"
"7882"	"4"	"6"	"14"	"2"	"594"	"64"	"3"	"3"	"3"	"38"	"5"	"3"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"124"	"124"	"8"	"7"	"0"	"139"	"139"	"1"	"0"
"7883"	"4"	"6"	"14"	"2"	"594"	"64"	"8"	"4"	"1"	"35"	"6"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"123"	"123"	"12"	"0"	"0"	"135"	"135"	"1"	"0"
"7884"	"4"	"6"	"14"	"2"	"594"	"47"	"13"	"3"	"0"	"32"	"5"	"7"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"108"	"108"	"3"	"4"	"0"	"115"	"115"	"1"	"0"
"7885"	"4"	"6"	"14"	"2"	"344"	"14"	"2"	"0"	"0"	"11"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"30"	"30"	"4"	"0"	"0"	"34"	"34"	"1"	"0"
"7886"	"4"	"6"	"14"	"2"	"344"	"14"	"1"	"1"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"24"	"24"	"1"	"1"	"0"	"26"	"26"	"1"	"0"
