"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"UNE"	"SEMILLA"	"FCN_NACION"	"URNG_MAIZ"	"LIBRE"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"14049"	"4"	"13"	"20"	"2"	"193"	"39"	"30"	"68"	"17"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"155"	"155"	"1"	"6"	"0"	"162"	"162"	"1"	"0"
"14050"	"4"	"13"	"20"	"2"	"380"	"121"	"115"	"8"	"58"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"307"	"307"	"0"	"9"	"0"	"316"	"316"	"1"	"0"
"14051"	"4"	"13"	"20"	"2"	"376"	"125"	"117"	"5"	"67"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"316"	"316"	"2"	"14"	"0"	"332"	"332"	"1"	"0"
"14052"	"4"	"13"	"20"	"2"	"380"	"132"	"125"	"5"	"54"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"317"	"317"	"7"	"7"	"0"	"331"	"331"	"1"	"0"
"14053"	"4"	"13"	"20"	"2"	"381"	"133"	"121"	"5"	"54"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"316"	"316"	"2"	"11"	"0"	"329"	"329"	"1"	"0"
"14054"	"4"	"13"	"20"	"2"	"376"	"128"	"127"	"3"	"71"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"333"	"333"	"1"	"10"	"0"	"344"	"344"	"1"	"0"
"14055"	"4"	"13"	"20"	"2"	"376"	"133"	"103"	"7"	"54"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"299"	"299"	"2"	"4"	"0"	"305"	"305"	"1"	"0"
"14056"	"4"	"13"	"20"	"2"	"376"	"120"	"107"	"9"	"56"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"2"	"7"	"0"	"303"	"303"	"1"	"0"
"14057"	"4"	"13"	"20"	"2"	"307"	"117"	"93"	"2"	"54"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"2"	"1"	"0"	"270"	"270"	"1"	"0"
"14058"	"4"	"13"	"20"	"2"	"306"	"92"	"90"	"7"	"56"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"1"	"4"	"0"	"250"	"250"	"1"	"0"
"14059"	"4"	"13"	"20"	"2"	"380"	"73"	"93"	"35"	"63"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"11"	"12"	"0"	"290"	"290"	"1"	"0"
"14060"	"4"	"13"	"20"	"2"	"380"	"71"	"72"	"54"	"62"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"9"	"13"	"0"	"284"	"284"	"1"	"0"
"14061"	"4"	"13"	"20"	"2"	"380"	"66"	"108"	"40"	"53"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"10"	"23"	"0"	"303"	"303"	"1"	"0"
"14062"	"4"	"13"	"20"	"2"	"380"	"62"	"59"	"70"	"53"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"3"	"7"	"0"	"257"	"257"	"1"	"0"
"14063"	"4"	"13"	"20"	"2"	"268"	"32"	"55"	"35"	"47"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"1"	"6"	"0"	"178"	"178"	"1"	"0"
"14064"	"4"	"13"	"20"	"2"	"264"	"35"	"69"	"34"	"59"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"201"	"3"	"7"	"0"	"211"	"211"	"1"	"0"
