"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"TODOS"	"VICTORIA"	"UNE"	"FCN_NACION"	"VIVA"	"CONVERGENCIA"	"CREO"	"WINAQ"	"UNIONISTA"	"FUERZA"	"LIBRE"	"PPT"	"PHG"	"BIEN"	"UCN"	"MLP"	"PC"	"VALOR"	"SEMILLA"	"EG"	"UNIDOS"	"PAN"	"URNG_MAIZ"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"11471"	"3"	"12"	"1"	"2"	"381"	"3"	"2"	"1"	"40"	"26"	"5"	"1"	"18"	"7"	"5"	"1"	"1"	"0"	"5"	"3"	"3"	"0"	"0"	"5"	"4"	"12"	"0"	"10"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"159"	"159"	"8"	"30"	"0"	"197"	"197"	"1"	"0"
"11472"	"3"	"12"	"1"	"2"	"244"	"2"	"1"	"0"	"32"	"37"	"0"	"0"	"13"	"0"	"4"	"2"	"0"	"0"	"2"	"3"	"3"	"4"	"1"	"5"	"0"	"7"	"1"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"122"	"122"	"9"	"15"	"0"	"146"	"146"	"1"	"0"
"11473"	"3"	"12"	"1"	"2"	"243"	"0"	"2"	"0"	"34"	"11"	"4"	"0"	"17"	"5"	"3"	"1"	"4"	"1"	"3"	"2"	"2"	"0"	"0"	"5"	"1"	"10"	"2"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"111"	"111"	"5"	"24"	"0"	"140"	"140"	"1"	"0"
"11474"	"3"	"12"	"1"	"2"	"400"	"38"	"8"	"4"	"17"	"11"	"17"	"7"	"16"	"17"	"7"	"6"	"19"	"0"	"20"	"5"	"4"	"5"	"2"	"3"	"33"	"9"	"2"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"63"	"3"	"0"	"324"	"324"	"1"	"0"
"11475"	"3"	"12"	"1"	"2"	"400"	"42"	"8"	"5"	"10"	"13"	"10"	"6"	"13"	"18"	"5"	"7"	"17"	"0"	"14"	"0"	"1"	"5"	"6"	"4"	"29"	"9"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"53"	"7"	"0"	"286"	"286"	"1"	"0"
"11476"	"3"	"12"	"1"	"2"	"249"	"25"	"3"	"0"	"13"	"6"	"7"	"2"	"9"	"17"	"5"	"4"	"6"	"2"	"5"	"1"	"1"	"3"	"3"	"4"	"18"	"9"	"0"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"150"	"150"	"48"	"3"	"0"	"201"	"201"	"1"	"0"
"11477"	"3"	"12"	"1"	"2"	"248"	"34"	"4"	"0"	"8"	"8"	"4"	"3"	"8"	"15"	"3"	"3"	"3"	"0"	"8"	"3"	"1"	"3"	"3"	"4"	"19"	"5"	"1"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"144"	"144"	"39"	"3"	"0"	"186"	"186"	"1"	"0"
"11478"	"3"	"12"	"1"	"2"	"400"	"3"	"4"	"0"	"34"	"18"	"10"	"5"	"29"	"9"	"4"	"4"	"10"	"7"	"10"	"8"	"4"	"4"	"1"	"3"	"8"	"12"	"0"	"13"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"14"	"48"	"0"	"269"	"269"	"1"	"0"
"11479"	"3"	"12"	"1"	"2"	"396"	"8"	"7"	"1"	"29"	"23"	"14"	"2"	"19"	"7"	"3"	"2"	"8"	"18"	"9"	"4"	"4"	"3"	"0"	"6"	"11"	"17"	"0"	"6"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"36"	"43"	"0"	"287"	"287"	"1"	"0"
"11480"	"3"	"12"	"1"	"2"	"400"	"7"	"5"	"0"	"37"	"15"	"12"	"3"	"16"	"13"	"0"	"8"	"12"	"13"	"8"	"8"	"5"	"4"	"2"	"4"	"11"	"12"	"2"	"7"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"40"	"21"	"0"	"272"	"272"	"1"	"0"
"11481"	"3"	"12"	"1"	"2"	"0"	"6"	"4"	"3"	"39"	"16"	"9"	"4"	"17"	"9"	"5"	"8"	"10"	"16"	"11"	"2"	"1"	"6"	"2"	"1"	"8"	"19"	"2"	"7"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"12"	"37"	"0"	"258"	"258"	"1"	"0"
"11482"	"3"	"12"	"1"	"2"	"322"	"8"	"2"	"0"	"23"	"21"	"1"	"11"	"13"	"9"	"4"	"5"	"14"	"13"	"2"	"1"	"0"	"6"	"2"	"2"	"9"	"11"	"0"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"153"	"163"	"27"	"31"	"0"	"211"	"221"	"0"	"0"
"11483"	"3"	"12"	"1"	"2"	"322"	"7"	"5"	"1"	"21"	"14"	"10"	"2"	"10"	"7"	"0"	"14"	"7"	"13"	"10"	"3"	"0"	"2"	"3"	"4"	"6"	"13"	"2"	"7"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"164"	"164"	"18"	"15"	"0"	"197"	"197"	"1"	"0"
"11484"	"3"	"12"	"1"	"2"	"400"	"21"	"14"	"1"	"10"	"10"	"18"	"2"	"11"	"28"	"7"	"9"	"18"	"2"	"6"	"4"	"6"	"10"	"5"	"8"	"21"	"17"	"1"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"53"	"14"	"0"	"300"	"300"	"1"	"0"
"11485"	"3"	"12"	"1"	"2"	"400"	"19"	"9"	"3"	"16"	"9"	"13"	"5"	"11"	"25"	"7"	"5"	"20"	"1"	"10"	"9"	"8"	"8"	"5"	"10"	"29"	"15"	"7"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"321"	"248"	"62"	"11"	"0"	"321"	"321"	"0"	"0"
