"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"AVANZA"	"UNE"	"CREO"	"SEMILLA"	"PC"	"PHG"	"UNIONISTA"	"VAMOS"	"TODOS"	"FCN_NACION"	"C_C_E_S"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7294"	"4"	"6"	"1"	"2"	"400"	"12"	"4"	"40"	"8"	"1"	"120"	"13"	"11"	"11"	"11"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"9"	"0"	"0"	"247"	"247"	"1"	"0"
"7295"	"4"	"6"	"1"	"2"	"400"	"16"	"1"	"38"	"7"	"3"	"134"	"7"	"7"	"7"	"10"	"6"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"8"	"0"	"0"	"250"	"250"	"1"	"0"
"7296"	"4"	"6"	"1"	"2"	"400"	"12"	"7"	"32"	"4"	"4"	"123"	"12"	"6"	"5"	"7"	"3"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"5"	"4"	"0"	"233"	"233"	"1"	"0"
"7297"	"4"	"6"	"1"	"2"	"399"	"6"	"1"	"38"	"4"	"2"	"110"	"10"	"9"	"6"	"9"	"6"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"1"	"2"	"0"	"213"	"213"	"1"	"0"
"7298"	"4"	"6"	"1"	"2"	"400"	"10"	"2"	"52"	"6"	"4"	"100"	"5"	"6"	"5"	"5"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"9"	"3"	"1"	"215"	"215"	"1"	"0"
"7299"	"4"	"6"	"1"	"2"	"400"	"8"	"2"	"39"	"3"	"3"	"112"	"5"	"5"	"9"	"5"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"9"	"2"	"0"	"211"	"211"	"1"	"0"
"7300"	"4"	"6"	"1"	"2"	"399"	"18"	"0"	"40"	"2"	"1"	"103"	"6"	"10"	"5"	"7"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"2"	"3"	"0"	"203"	"203"	"1"	"0"
"7301"	"4"	"6"	"1"	"2"	"403"	"14"	"1"	"32"	"2"	"4"	"130"	"9"	"10"	"10"	"6"	"8"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"2"	"0"	"0"	"234"	"234"	"1"	"0"
"7302"	"4"	"6"	"1"	"2"	"394"	"6"	"1"	"45"	"0"	"1"	"129"	"4"	"13"	"6"	"2"	"11"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"3"	"1"	"0"	"225"	"225"	"1"	"0"
"7303"	"4"	"6"	"1"	"2"	"390"	"9"	"2"	"28"	"3"	"3"	"91"	"7"	"6"	"5"	"7"	"7"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"6"	"2"	"0"	"179"	"179"	"1"	"0"
"7304"	"4"	"6"	"1"	"2"	"360"	"4"	"0"	"104"	"2"	"11"	"32"	"2"	"4"	"6"	"4"	"19"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"17"	"4"	"0"	"212"	"212"	"1"	"0"
"7305"	"4"	"6"	"1"	"2"	"379"	"13"	"0"	"119"	"0"	"7"	"32"	"5"	"6"	"12"	"3"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"2"	"14"	"8"	"224"	"224"	"1"	"0"
"7306"	"4"	"6"	"1"	"2"	"381"	"12"	"0"	"118"	"4"	"3"	"31"	"0"	"4"	"9"	"1"	"14"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"12"	"7"	"0"	"219"	"219"	"1"	"0"
"7307"	"4"	"6"	"1"	"2"	"380"	"19"	"1"	"99"	"2"	"11"	"55"	"3"	"6"	"10"	"2"	"18"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"5"	"7"	"0"	"239"	"239"	"1"	"0"
"7308"	"4"	"6"	"1"	"2"	"380"	"13"	"2"	"103"	"0"	"10"	"34"	"2"	"8"	"16"	"3"	"23"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"23"	"7"	"0"	"246"	"246"	"1"	"0"
"7309"	"4"	"6"	"1"	"2"	"380"	"7"	"0"	"118"	"3"	"9"	"40"	"3"	"3"	"20"	"2"	"16"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"9"	"10"	"0"	"247"	"247"	"1"	"0"
"7310"	"4"	"6"	"1"	"2"	"380"	"9"	"1"	"98"	"1"	"11"	"67"	"5"	"6"	"22"	"5"	"7"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"14"	"7"	"0"	"256"	"256"	"1"	"0"
"7311"	"4"	"6"	"1"	"2"	"380"	"2"	"2"	"125"	"1"	"12"	"48"	"6"	"4"	"13"	"5"	"10"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"14"	"3"	"0"	"255"	"255"	"1"	"0"
"7312"	"4"	"6"	"1"	"2"	"380"	"7"	"0"	"103"	"0"	"10"	"37"	"4"	"5"	"9"	"6"	"10"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	"193"	"4"	"3"	"0"	"200"	"200"	"1"	"0"
"7313"	"4"	"6"	"1"	"2"	"0"	"5"	"1"	"91"	"5"	"8"	"40"	"2"	"5"	"11"	"4"	"9"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"185"	"185"	"7"	"2"	"0"	"194"	"194"	"1"	"0"
"7314"	"4"	"6"	"1"	"2"	"380"	"3"	"0"	"95"	"0"	"7"	"42"	"3"	"9"	"10"	"7"	"15"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"9"	"2"	"0"	"205"	"205"	"1"	"0"
"7315"	"4"	"6"	"1"	"2"	"380"	"5"	"0"	"84"	"3"	"11"	"45"	"3"	"6"	"16"	"3"	"11"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"190"	"190"	"4"	"7"	"0"	"201"	"201"	"1"	"0"
"7316"	"4"	"6"	"1"	"2"	"380"	"3"	"0"	"77"	"2"	"11"	"39"	"3"	"6"	"10"	"2"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"164"	"164"	"4"	"5"	"1"	"174"	"173"	"0"	"0"
"7317"	"4"	"6"	"1"	"2"	"337"	"6"	"0"	"81"	"0"	"7"	"52"	"1"	"5"	"7"	"2"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"170"	"170"	"0"	"1"	"0"	"171"	"171"	"1"	"0"
"7318"	"4"	"6"	"1"	"2"	"336"	"6"	"0"	"78"	"0"	"6"	"35"	"2"	"3"	"8"	"3"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"146"	"146"	"2"	"0"	"0"	"148"	"148"	"1"	"0"
"7319"	"4"	"6"	"1"	"2"	"357"	"11"	"2"	"75"	"2"	"3"	"56"	"8"	"18"	"16"	"5"	"17"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"14"	"4"	"2"	"236"	"236"	"1"	"2"
"7320"	"4"	"6"	"1"	"2"	"380"	"9"	"1"	"82"	"3"	"4"	"47"	"10"	"17"	"29"	"11"	"24"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"17"	"7"	"0"	"266"	"266"	"1"	"0"
"7321"	"4"	"6"	"1"	"2"	"380"	"4"	"0"	"91"	"1"	"2"	"65"	"8"	"16"	"22"	"9"	"13"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"10"	"8"	"0"	"254"	"254"	"1"	"0"
"7322"	"4"	"6"	"1"	"2"	"385"	"16"	"1"	"79"	"1"	"4"	"62"	"3"	"9"	"17"	"4"	"24"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"9"	"1"	"0"	"237"	"237"	"1"	"0"
"7323"	"4"	"6"	"1"	"2"	"318"	"9"	"1"	"61"	"2"	"2"	"40"	"2"	"9"	"20"	"6"	"12"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"167"	"167"	"7"	"3"	"0"	"177"	"177"	"1"	"0"
